Flight Information:
Launch Date:            	                        	Thursday, 09 May 2019	   	                   	Launch Time:    	           	21:06:30    	     	End of Ascent:	     	           	01:32:59
Station name:           	                        	                     	   	                   	Number of sonde:	           	00630247
Ground values:
Pressure:               	                        	1020.0 hPa           	   	                   	Temperature:    	           	14.6 ?C     	     	Humidity:     	     	           	29 %
Wind Direction:         	                        	150 ?                	   	                   	Wind Speed:     	           	3 m/s       	     	Cloud group:  	     	           	9////
Position:
Longitude:              	                        	-113.985 ?           	   	                   	Latitude:       	           	46.859 ?    	     	Altitude:     	     	           	978 m
Staff:
Company:                	                        	
Operator:               	                        	                     	   	                   	
Events:
Highest Point:          	                        	21.0 hPa             	   	                   	27012 m
Tropopauses:            	                        	1.: 247.5 hPa        	   	                   	                	           	
Max Winds:              	                        	1.: 284.1 hPa        	   	                   	                	           	
Remarks:

Profile Data:
Time                    	P                       	T                    	Hu 	Ws                 	Wd              	Long.      	Lat.        	Alt  	Geopot        	Dewp.	Virt. Temp 	Rs      	D
[sec]                   	[hPa]                   	[?C]                 	[%]	[m/s]              	[?]             	[?]        	[?]         	[m]  	[m]           	[?C] 	[?C]       	[m/s]   	[kg/m3]
0                       	1020.0                  	14.6                 	29 	2.5                	150             	-113.985000	46.859000   	978  	978           	-3.2 	15.1       	0.0     	1.235102
1                       	1019.1                  	14.6                 	28 	2.5                	150             	-113.984977	46.859032   	986  	986           	-3.6 	15.1       	7.7     	1.233969
2                       	1018.1                  	14.6                 	27 	2.5                	151             	-113.984954	46.859065   	993  	993           	-3.9 	15.1       	7.7     	1.232837
3                       	1017.2                  	14.6                 	27 	2.5                	151             	-113.984931	46.859097   	1001 	1001          	-4.3 	15.1       	7.7     	1.231705
4                       	1016.3                  	14.6                 	26 	2.6                	152             	-113.984908	46.859129   	1009 	1009          	-4.8 	15.1       	7.7     	1.230575
5                       	1015.4                  	14.6                 	25 	2.6                	152             	-113.984885	46.859162   	1017 	1016          	-5.2 	15.1       	7.7     	1.229446
6                       	1014.4                  	14.6                 	24 	2.6                	153             	-113.984862	46.859194   	1024 	1024          	-5.6 	15.0       	7.7     	1.228317
7                       	1013.5                  	14.5                 	23 	2.6                	154             	-113.984839	46.859226   	1032 	1032          	-6.1 	15.0       	7.7     	1.227488
8                       	1012.6                  	14.4                 	23 	2.6                	156             	-113.984816	46.859259   	1040 	1040          	-6.4 	14.8       	7.7     	1.226821
9                       	1011.7                  	14.3                 	23 	2.6                	158             	-113.984793	46.859291   	1047 	1047          	-6.5 	14.7       	7.7     	1.226155
10                      	1010.7                  	14.2                 	23 	2.7                	161             	-113.984770	46.859323   	1055 	1055          	-6.5 	14.6       	7.7     	1.225489
11                      	1009.8                  	14.1                 	23 	2.7                	167             	-113.984747	46.859356   	1063 	1063          	-6.6 	14.5       	7.7     	1.224824
12                      	1008.9                  	14.0                 	23 	2.7                	177             	-113.984724	46.859388   	1070 	1070          	-6.7 	14.4       	7.7     	1.224159
13                      	1008.0                  	13.9                 	23 	2.7                	201             	-113.984701	46.859420   	1078 	1078          	-6.8 	14.3       	7.7     	1.223484
14                      	1007.0                  	13.8                 	23 	2.7                	252             	-113.984678	46.859453   	1086 	1086          	-6.8 	14.2       	7.7     	1.222809
15                      	1006.1                  	13.7                 	23 	2.7                	287             	-113.984661	46.859441   	1093 	1093          	-6.9 	14.1       	7.7     	1.222136
16                      	1005.2                  	13.6                 	23 	2.8                	302             	-113.984644	46.859422   	1101 	1101          	-7.0 	14.0       	7.7     	1.221462
17                      	1004.3                  	13.5                 	23 	2.8                	308             	-113.984628	46.859403   	1109 	1109          	-7.0 	13.9       	7.8     	1.220790
18                      	1003.3                  	13.4                 	23 	2.8                	312             	-113.984612	46.859384   	1117 	1117          	-7.1 	13.8       	8.0     	1.220117
19                      	1002.4                  	13.3                 	23 	2.8                	315             	-113.984595	46.859365   	1125 	1125          	-7.2 	13.7       	8.0     	1.219410
20                      	1001.4                  	13.2                 	23 	2.8                	316             	-113.984579	46.859345   	1133 	1133          	-7.2 	13.5       	8.0     	1.218709
21                      	1000.5                  	13.1                 	23 	2.8                	318             	-113.984562	46.859326   	1141 	1141          	-7.3 	13.4       	8.0     	1.218017
22                      	999.5                   	12.9                 	24 	2.8                	319             	-113.984546	46.859307   	1149 	1149          	-7.3 	13.3       	8.0     	1.217326
23                      	998.6                   	12.8                 	24 	2.9                	319             	-113.984530	46.859288   	1157 	1157          	-7.3 	13.2       	8.0     	1.216635
24                      	997.6                   	12.7                 	24 	2.9                	320             	-113.984513	46.859269   	1165 	1165          	-7.4 	13.1       	8.0     	1.215945
25                      	996.7                   	12.6                 	24 	2.9                	320             	-113.984497	46.859250   	1173 	1173          	-7.4 	13.0       	8.0     	1.215252
26                      	995.7                   	12.5                 	24 	2.9                	321             	-113.984481	46.859231   	1181 	1181          	-7.5 	12.9       	8.0     	1.214560
27                      	994.8                   	12.4                 	24 	2.9                	321             	-113.984464	46.859212   	1189 	1189          	-7.5 	12.8       	8.0     	1.213869
28                      	993.9                   	12.3                 	24 	2.9                	322             	-113.984448	46.859193   	1197 	1196          	-7.5 	12.7       	8.0     	1.213178
29                      	992.9                   	12.2                 	24 	3.0                	322             	-113.984432	46.859173   	1205 	1204          	-7.6 	12.6       	8.0     	1.212488
30                      	992.0                   	12.1                 	24 	3.0                	322             	-113.984415	46.859154   	1213 	1212          	-7.6 	12.4       	8.0     	1.211798
31                      	991.0                   	12.0                 	25 	2.9                	323             	-113.984399	46.859135   	1220 	1220          	-7.6 	12.3       	8.0     	1.211107
32                      	990.1                   	11.9                 	25 	2.9                	324             	-113.984382	46.859116   	1228 	1228          	-7.7 	12.2       	8.0     	1.210415
33                      	989.1                   	11.7                 	25 	2.8                	324             	-113.984366	46.859097   	1236 	1236          	-7.7 	12.1       	8.0     	1.209725
34                      	988.2                   	11.7                 	25 	2.8                	325             	-113.984350	46.859078   	1244 	1244          	-7.7 	12.0       	8.0     	1.208955
35                      	987.2                   	11.6                 	25 	2.7                	326             	-113.984333	46.859059   	1252 	1252          	-7.7 	11.9       	8.0     	1.208150
36                      	986.3                   	11.5                 	25 	2.7                	327             	-113.984317	46.859040   	1260 	1260          	-7.7 	11.9       	8.0     	1.207346
37                      	985.4                   	11.4                 	25 	2.7                	328             	-113.984301	46.859021   	1268 	1268          	-7.8 	11.8       	8.0     	1.206540
38                      	984.4                   	11.3                 	25 	2.6                	329             	-113.984284	46.859001   	1276 	1276          	-7.8 	11.7       	8.0     	1.205735
39                      	983.5                   	11.2                 	25 	2.6                	330             	-113.984268	46.858982   	1284 	1284          	-7.8 	11.6       	8.0     	1.204931
40                      	982.5                   	11.2                 	26 	2.5                	331             	-113.984252	46.858963   	1292 	1292          	-7.8 	11.5       	8.0     	1.204127
41                      	981.6                   	11.1                 	26 	2.5                	332             	-113.984235	46.858944   	1300 	1300          	-7.8 	11.5       	8.0     	1.203324
42                      	980.7                   	11.0                 	26 	2.4                	333             	-113.984219	46.858925   	1308 	1308          	-7.8 	11.4       	8.0     	1.202521
43                      	979.8                   	10.9                 	26 	2.4                	334             	-113.984203	46.858906   	1316 	1316          	-7.8 	11.3       	8.0     	1.201828
44                      	979.0                   	10.8                 	26 	2.3                	335             	-113.984186	46.858887   	1324 	1324          	-7.8 	11.2       	8.0     	1.201135
45                      	978.1                   	10.8                 	26 	2.3                	336             	-113.984170	46.858868   	1332 	1332          	-7.9 	11.1       	8.0     	1.200443
46                      	977.3                   	10.7                 	26 	2.3                	338             	-113.984195	46.858859   	1339 	1339          	-7.9 	11.0       	7.1     	1.199752
47                      	976.4                   	10.6                 	26 	2.2                	339             	-113.984223	46.858850   	1345 	1345          	-7.9 	11.0       	6.1     	1.199043
48                      	975.6                   	10.5                 	26 	2.2                	341             	-113.984251	46.858842   	1351 	1351          	-7.9 	10.9       	6.1     	1.198303
49                      	974.9                   	10.5                 	27 	2.1                	342             	-113.984279	46.858833   	1358 	1357          	-7.9 	10.8       	6.1     	1.197721
50                      	974.2                   	10.4                 	27 	2.1                	344             	-113.984306	46.858825   	1364 	1363          	-7.9 	10.8       	6.1     	1.197140
51                      	973.4                   	10.3                 	27 	2.0                	345             	-113.984334	46.858816   	1370 	1370          	-7.8 	10.7       	6.1     	1.196559
52                      	972.7                   	10.2                 	27 	2.0                	347             	-113.984362	46.858808   	1376 	1376          	-7.8 	10.6       	6.1     	1.195978
53                      	972.0                   	10.2                 	27 	1.9                	349             	-113.984390	46.858799   	1382 	1382          	-7.8 	10.5       	6.1     	1.195398
54                      	971.3                   	10.1                 	27 	1.9                	351             	-113.984417	46.858791   	1388 	1388          	-7.8 	10.5       	6.1     	1.194818
55                      	970.6                   	10.0                 	27 	1.9                	353             	-113.984445	46.858782   	1394 	1394          	-7.8 	10.4       	6.1     	1.194237
56                      	969.9                   	10.0                 	28 	1.8                	355             	-113.984473	46.858774   	1400 	1400          	-7.8 	10.3       	6.1     	1.193657
57                      	969.2                   	9.9                  	28 	1.8                	357             	-113.984500	46.858765   	1406 	1406          	-7.8 	10.3       	6.1     	1.193076
58                      	968.5                   	9.8                  	28 	1.7                	359             	-113.984528	46.858757   	1412 	1412          	-7.8 	10.2       	6.1     	1.192497
59                      	967.7                   	9.7                  	28 	1.7                	001             	-113.984556	46.858748   	1418 	1418          	-7.8 	10.1       	6.1     	1.191917
60                      	967.0                   	9.7                  	28 	1.6                	003             	-113.984584	46.858740   	1425 	1424          	-7.8 	10.1       	6.1     	1.191338
61                      	966.3                   	9.6                  	28 	1.7                	007             	-113.984611	46.858732   	1431 	1430          	-7.8 	10.0       	6.1     	1.190664
62                      	965.6                   	9.6                  	28 	1.7                	011             	-113.984639	46.858723   	1437 	1437          	-7.8 	10.0       	6.1     	1.189981
63                      	964.9                   	9.5                  	29 	1.8                	015             	-113.984667	46.858715   	1443 	1443          	-7.7 	9.9        	6.1     	1.189298
64                      	964.2                   	9.5                  	29 	1.8                	019             	-113.984695	46.858706   	1449 	1449          	-7.7 	9.9        	6.1     	1.188616
65                      	963.5                   	9.4                  	29 	1.9                	024             	-113.984722	46.858698   	1455 	1455          	-7.7 	9.8        	6.1     	1.187935
66                      	962.8                   	9.4                  	29 	1.9                	029             	-113.984750	46.858689   	1461 	1461          	-7.7 	9.8        	6.1     	1.187254
67                      	962.1                   	9.4                  	29 	1.9                	034             	-113.984778	46.858681   	1467 	1467          	-7.7 	9.7        	6.1     	1.186572
68                      	961.4                   	9.3                  	29 	2.0                	039             	-113.984806	46.858672   	1473 	1473          	-7.7 	9.7        	6.1     	1.185891
69                      	960.7                   	9.3                  	29 	2.0                	044             	-113.984833	46.858664   	1479 	1479          	-7.6 	9.6        	6.1     	1.185210
70                      	959.9                   	9.2                  	29 	2.1                	049             	-113.984861	46.858655   	1485 	1485          	-7.6 	9.6        	6.1     	1.184530
71                      	959.2                   	9.2                  	30 	2.1                	054             	-113.984889	46.858647   	1492 	1491          	-7.6 	9.6        	6.1     	1.183850
72                      	958.5                   	9.1                  	30 	2.2                	058             	-113.984916	46.858638   	1498 	1497          	-7.6 	9.5        	6.1     	1.183170
73                      	958.0                   	9.1                  	30 	2.2                	062             	-113.984944	46.858630   	1504 	1504          	-7.6 	9.5        	6.1     	1.182713
74                      	957.5                   	9.0                  	30 	2.3                	067             	-113.984972	46.858621   	1510 	1510          	-7.5 	9.4        	6.1     	1.182216
75                      	957.0                   	9.0                  	30 	2.3                	070             	-113.985000	46.858613   	1516 	1516          	-7.5 	9.4        	6.1     	1.181672
76                      	956.4                   	9.0                  	30 	2.3                	074             	-113.985028	46.858623   	1519 	1519          	-7.5 	9.4        	3.1     	1.181128
77                      	955.9                   	9.0                  	30 	2.4                	077             	-113.985056	46.858634   	1522 	1522          	-7.5 	9.4        	2.9     	1.180585
78                      	955.4                   	8.9                  	30 	2.4                	080             	-113.985084	46.858646   	1525 	1525          	-7.5 	9.3        	2.9     	1.180042
79                      	955.1                   	8.9                  	30 	2.5                	083             	-113.985112	46.858657   	1528 	1528          	-7.5 	9.3        	2.9     	1.179731
80                      	954.7                   	8.9                  	30 	2.5                	085             	-113.985141	46.858668   	1531 	1530          	-7.5 	9.3        	2.9     	1.179421
81                      	954.4                   	8.9                  	30 	2.6                	087             	-113.985169	46.858680   	1534 	1533          	-7.5 	9.3        	2.9     	1.179110
82                      	954.0                   	8.8                  	30 	2.6                	089             	-113.985197	46.858691   	1536 	1536          	-7.5 	9.2        	2.9     	1.178799
83                      	953.7                   	8.8                  	31 	2.7                	091             	-113.985225	46.858702   	1539 	1539          	-7.5 	9.2        	2.9     	1.178489
84                      	953.4                   	8.8                  	31 	2.7                	093             	-113.985253	46.858714   	1542 	1542          	-7.5 	9.2        	2.9     	1.178178
85                      	953.0                   	8.8                  	31 	2.7                	095             	-113.985282	46.858725   	1545 	1545          	-7.5 	9.2        	2.9     	1.177868
86                      	952.7                   	8.8                  	31 	2.8                	096             	-113.985310	46.858737   	1548 	1548          	-7.5 	9.1        	2.9     	1.177557
87                      	952.4                   	8.7                  	31 	2.8                	097             	-113.985338	46.858748   	1551 	1551          	-7.5 	9.1        	2.9     	1.177247
88                      	952.0                   	8.7                  	31 	2.9                	099             	-113.985366	46.858759   	1554 	1554          	-7.5 	9.1        	2.9     	1.176942
89                      	951.7                   	8.7                  	31 	2.9                	100             	-113.985394	46.858771   	1557 	1557          	-7.5 	9.1        	2.9     	1.176636
90                      	951.4                   	8.6                  	31 	3.0                	101             	-113.985423	46.858782   	1560 	1560          	-7.5 	9.0        	2.9     	1.176331
91                      	951.0                   	8.6                  	31 	2.9                	102             	-113.985451	46.858793   	1563 	1562          	-7.5 	9.0        	2.9     	1.176025
92                      	950.7                   	8.6                  	31 	2.8                	102             	-113.985479	46.858805   	1566 	1565          	-7.5 	9.0        	2.9     	1.175720
93                      	950.4                   	8.6                  	31 	2.8                	103             	-113.985507	46.858816   	1568 	1568          	-7.5 	9.0        	2.9     	1.175415
94                      	950.0                   	8.5                  	31 	2.7                	104             	-113.985535	46.858827   	1571 	1571          	-7.5 	8.9        	2.9     	1.175110
95                      	949.7                   	8.5                  	31 	2.7                	104             	-113.985564	46.858839   	1574 	1574          	-7.5 	8.9        	2.9     	1.174804
96                      	949.4                   	8.5                  	31 	2.6                	105             	-113.985592	46.858850   	1577 	1577          	-7.5 	8.9        	2.9     	1.174499
97                      	949.0                   	8.5                  	31 	2.6                	106             	-113.985620	46.858862   	1580 	1580          	-7.5 	8.9        	2.9     	1.174194
98                      	948.7                   	8.4                  	31 	2.5                	107             	-113.985648	46.858873   	1583 	1583          	-7.5 	8.8        	2.9     	1.173889
99                      	948.4                   	8.4                  	31 	2.5                	108             	-113.985676	46.858884   	1586 	1586          	-7.5 	8.8        	2.9     	1.173584
100                     	948.0                   	8.4                  	31 	2.4                	109             	-113.985705	46.858896   	1589 	1589          	-7.5 	8.8        	2.9     	1.173279
101                     	947.7                   	8.4                  	32 	2.4                	110             	-113.985733	46.858907   	1592 	1592          	-7.5 	8.7        	2.9     	1.173003
102                     	947.4                   	8.3                  	32 	2.3                	111             	-113.985761	46.858918   	1595 	1594          	-7.5 	8.7        	2.9     	1.172746
103                     	946.9                   	8.3                  	32 	2.3                	112             	-113.985789	46.858930   	1598 	1597          	-7.5 	8.7        	2.9     	1.172393
104                     	946.5                   	8.2                  	32 	2.2                	113             	-113.985817	46.858941   	1600 	1600          	-7.6 	8.6        	2.9     	1.172039
105                     	946.1                   	8.2                  	32 	2.2                	115             	-113.985845	46.858952   	1603 	1603          	-7.6 	8.6        	2.9     	1.171686
106                     	945.7                   	8.2                  	32 	2.1                	116             	-113.985869	46.858966   	1608 	1607          	-7.6 	8.6        	4.2     	1.171333
107                     	945.3                   	8.1                  	32 	2.0                	117             	-113.985893	46.858980   	1612 	1612          	-7.6 	8.5        	4.3     	1.170980
108                     	944.9                   	8.1                  	32 	2.0                	119             	-113.985917	46.858994   	1616 	1616          	-7.6 	8.5        	4.3     	1.170627
109                     	944.4                   	8.1                  	32 	1.9                	120             	-113.985941	46.859008   	1620 	1620          	-7.6 	8.4        	4.3     	1.170174
110                     	943.9                   	8.0                  	32 	1.9                	122             	-113.985964	46.859022   	1625 	1625          	-7.7 	8.4        	4.3     	1.169720
111                     	943.4                   	8.0                  	32 	1.9                	122             	-113.985988	46.859036   	1629 	1629          	-7.7 	8.4        	4.3     	1.169267
112                     	942.9                   	7.9                  	32 	1.9                	123             	-113.986012	46.859050   	1633 	1633          	-7.7 	8.3        	4.3     	1.168814
113                     	942.4                   	7.9                  	32 	2.0                	124             	-113.986035	46.859064   	1638 	1637          	-7.7 	8.3        	4.3     	1.168362
114                     	941.9                   	7.9                  	32 	2.0                	125             	-113.986059	46.859078   	1642 	1642          	-7.7 	8.3        	4.3     	1.167914
115                     	941.5                   	7.8                  	32 	2.0                	125             	-113.986083	46.859092   	1646 	1646          	-7.7 	8.2        	4.3     	1.167491
116                     	941.0                   	7.8                  	32 	2.1                	126             	-113.986106	46.859106   	1650 	1650          	-7.7 	8.2        	4.3     	1.167068
117                     	940.5                   	7.7                  	32 	2.1                	126             	-113.986130	46.859120   	1655 	1655          	-7.7 	8.1        	4.3     	1.166646
118                     	940.0                   	7.7                  	32 	2.1                	127             	-113.986154	46.859133   	1659 	1659          	-7.7 	8.1        	4.3     	1.166224
119                     	939.5                   	7.6                  	32 	2.2                	128             	-113.986178	46.859147   	1663 	1663          	-7.7 	8.0        	4.3     	1.165802
120                     	939.0                   	7.6                  	33 	2.2                	128             	-113.986201	46.859161   	1668 	1667          	-7.7 	8.0        	4.3     	1.165380
121                     	938.5                   	7.6                  	33 	2.3                	129             	-113.986225	46.859175   	1672 	1672          	-7.7 	7.9        	4.3     	1.164958
122                     	938.0                   	7.5                  	33 	2.3                	129             	-113.986249	46.859189   	1676 	1676          	-7.8 	7.9        	4.3     	1.164536
123                     	937.5                   	7.5                  	33 	2.3                	130             	-113.986272	46.859203   	1681 	1680          	-7.8 	7.8        	4.3     	1.164114
124                     	937.0                   	7.4                  	33 	2.4                	130             	-113.986296	46.859217   	1685 	1685          	-7.8 	7.8        	4.3     	1.163692
125                     	936.6                   	7.4                  	33 	2.4                	131             	-113.986320	46.859231   	1689 	1689          	-7.8 	7.8        	4.3     	1.163271
126                     	936.1                   	7.3                  	33 	2.4                	131             	-113.986343	46.859245   	1693 	1693          	-7.8 	7.7        	4.3     	1.162849
