Profile Data:
Time                    	P                      	T    	Hu                 	Ws   	Wd          	Geopot	Dewp.	Virt. Temp 	Rs   	D
[sec]                   	[hPa]                  	[?C] 	[%]                	[m/s]	[?]         	[m]   	[?C] 	[?C]       	[m/s]	[kg/m3]
0                       	1020.0                 	14.6 	29                 	2.5  	150         	978   	-3.2 	15.1       	0.0  	1.235102
2                       	1018.1                 	14.6 	27                 	2.5  	151         	993   	-3.9 	15.1       	7.7  	1.232810
4                       	1016.3                 	14.6 	26                 	2.6  	152         	1009  	-4.7 	15.1       	7.7  	1.230521
6                       	1014.5                 	14.6 	24                 	2.6  	153         	1024  	-5.5 	15.1       	7.7  	1.228237
8                       	1012.6                 	14.5 	24                 	2.7  	156         	1039  	-6.0 	14.9       	7.7  	1.226700
10                      	1010.7                 	14.3 	24                 	2.7  	162         	1055  	-6.2 	14.7       	7.7  	1.225325
12                      	1008.9                 	14.1 	24                 	2.7  	182         	1070  	-6.3 	14.5       	7.8  	1.223953
14                      	1007.0                 	13.9 	24                 	2.8  	269         	1086  	-6.5 	14.3       	7.8  	1.222564
16                      	1005.2                 	13.7 	24                 	2.8  	305         	1101  	-6.6 	14.1       	7.8  	1.221177
18                      	1003.3                 	13.5 	24                 	2.9  	314         	1117  	-6.8 	13.8       	7.8  	1.219793
20                      	1001.5                 	13.2 	24                 	2.9  	317         	1132  	-6.9 	13.6       	7.8  	1.218444
22                      	999.6                  	13.0 	24                 	3.0  	319         	1148  	-7.0 	13.4       	7.8  	1.217141
24                      	997.8                  	12.8 	24                 	3.0  	320         	1163  	-7.2 	13.2       	7.8  	1.215840
26                      	995.9                  	12.6 	24                 	3.0  	321         	1179  	-7.3 	13.0       	7.8  	1.214536
28                      	994.1                  	12.3 	24                 	3.1  	322         	1194  	-7.4 	12.7       	7.8  	1.213235
30                      	992.3                  	12.1 	24                 	3.1  	322         	1210  	-7.6 	12.5       	7.8  	1.211935
32                      	990.4                  	11.9 	25                 	3.0  	324         	1225  	-7.7 	12.3       	7.8  	1.210633
34                      	988.6                  	11.7 	25                 	2.9  	325         	1241  	-7.7 	12.1       	7.8  	1.209170
36                      	986.7                  	11.6 	25                 	2.9  	326         	1257  	-7.7 	11.9       	7.8  	1.207630
38                      	984.9                  	11.4 	25                 	2.8  	328         	1272  	-7.8 	11.8       	7.8  	1.206089
40                      	983.1                  	11.2 	25                 	2.7  	330         	1288  	-7.8 	11.6       	7.8  	1.204550
42                      	981.3                  	11.1 	26                 	2.6  	331         	1303  	-7.8 	11.4       	7.8  	1.203013
44                      	979.6                  	10.9 	26                 	2.5  	333         	1319  	-7.8 	11.3       	7.8  	1.201681
46                      	977.9                  	10.7 	26                 	2.4  	335         	1333  	-7.9 	11.1       	7.2  	1.200351
48                      	976.3                  	10.6 	26                 	2.3  	338         	1345  	-7.9 	10.9       	6.2  	1.198950
50                      	974.8                  	10.4 	27                 	2.2  	340         	1358  	-7.8 	10.8       	6.2  	1.197771
52                      	973.4                  	10.3 	27                 	2.1  	343         	1370  	-7.8 	10.7       	6.2  	1.196594
54                      	971.9                  	10.1 	27                 	2.1  	346         	1383  	-7.8 	10.5       	6.2  	1.195418
56                      	970.5                  	10.0 	28                 	2.0  	349         	1395  	-7.8 	10.4       	6.2  	1.194241
58                      	969.0                  	9.9  	28                 	1.9  	352         	1407  	-7.8 	10.2       	6.2  	1.193065
60                      	967.6                  	9.7  	28                 	1.8  	356         	1420  	-7.8 	10.1       	6.2  	1.191874
62                      	966.1                  	9.6  	28                 	1.9  	003         	1432  	-7.8 	10.0       	6.2  	1.190485
64                      	964.7                  	9.5  	29                 	2.0  	011         	1445  	-7.7 	9.9        	6.2  	1.189098
66                      	963.2                  	9.4  	29                 	2.1  	021         	1457  	-7.7 	9.8        	6.2  	1.187713
68                      	961.8                  	9.3  	29                 	2.1  	032         	1469  	-7.7 	9.7        	6.2  	1.186328
70                      	960.4                  	9.2  	29                 	2.2  	043         	1482  	-7.6 	9.6        	6.2  	1.184945
72                      	958.9                  	9.2  	30                 	2.3  	054         	1494  	-7.6 	9.5        	6.2  	1.183563
74                      	957.8                  	9.1  	30                 	2.4  	064         	1507  	-7.6 	9.5        	6.2  	1.182555
76                      	956.8                  	9.0  	30                 	2.5  	072         	1516  	-7.6 	9.4        	4.9  	1.181433
78                      	955.7                  	9.0  	30                 	2.6  	079         	1522  	-7.5 	9.4        	2.9  	1.180311
80                      	955.0                  	8.9  	30                 	2.7  	085         	1528  	-7.5 	9.3        	2.9  	1.179685
82                      	954.3                  	8.9  	30                 	2.8  	090         	1534  	-7.5 	9.3        	2.9  	1.179060
84                      	953.7                  	8.8  	31                 	2.8  	093         	1540  	-7.5 	9.2        	2.9  	1.178435
86                      	953.0                  	8.8  	31                 	2.9  	097         	1546  	-7.5 	9.2        	2.9  	1.177810
88                      	952.3                  	8.7  	31                 	3.0  	099         	1551  	-7.5 	9.1        	2.9  	1.177187
90                      	951.6                  	8.7  	31                 	3.1  	102         	1557  	-7.5 	9.1        	2.9  	1.176566
92                      	951.0                  	8.6  	31                 	3.0  	103         	1563  	-7.5 	9.0        	2.9  	1.175944
94                      	950.3                  	8.6  	31                 	2.8  	104         	1569  	-7.5 	9.0        	2.9  	1.175322
96                      	949.6                  	8.5  	31                 	2.7  	106         	1575  	-7.5 	8.9        	2.9  	1.174701
98                      	948.9                  	8.5  	31                 	2.6  	107         	1581  	-7.5 	8.9        	2.9  	1.174079
100                     	948.3                  	8.4  	31                 	2.5  	109         	1587  	-7.5 	8.8        	2.9  	1.173459
102                     	947.6                  	8.3  	32                 	2.4  	111         	1593  	-7.5 	8.7        	2.9  	1.172919
104                     	946.8                  	8.3  	32                 	2.2  	114         	1598  	-7.6 	8.7        	2.9  	1.172242
106                     	946.0                  	8.2  	32                 	2.1  	116         	1605  	-7.6 	8.6        	3.1  	1.171566
108                     	945.2                  	8.1  	32                 	2.0  	119         	1613  	-7.6 	8.5        	4.3  	1.170890
110                     	944.2                  	8.0  	32                 	1.9  	122         	1622  	-7.7 	8.4        	4.3  	1.169975
112                     	943.2                  	8.0  	32                 	1.9  	123         	1630  	-7.7 	8.4        	4.3  	1.169061
114                     	942.3                  	7.9  	32                 	2.0  	125         	1639  	-7.7 	8.3        	4.3  	1.168148
