Profile Data:
Time                    	P                      	T                  	Hu 	 	Ws          	Wd 	Geopot	Dewp.	Rs
[sec]                   	[hPa]                  	[?C]               	[%]	 	[m/s]       	[?]	[m]   	[?C] 	[m/s]
0                       	1003.0                 	16.7               	54 	 	1.7         	335	986   	7.4  	0.0
2                       	997.9                  	16.4               	54 	 	2.2         	354	995   	7.2  	4.7
4                       	992.9                  	16.1               	55 	 	2.7         	009	1005  	7.0  	4.7
6                       	987.8                  	15.9               	55 	 	3.1         	020	1014  	6.8  	4.7
8                       	982.8                  	15.7               	55 	 	3.6         	028	1023  	6.7  	4.7
10                      	977.8                  	15.6               	55 	 	4.1         	034	1033  	6.7  	4.7
12                      	972.9                  	15.5               	56 	 	4.6         	038	1042  	6.7  	4.7
14                      	967.9                  	15.4               	56 	 	5.1         	041	1051  	6.6  	4.7
16                      	963.0                  	15.3               	56 	 	5.6         	044	1061  	6.6  	4.7
18                      	958.1                  	15.1               	56 	 	6.0         	046	1069  	6.5  	4.2
20                      	953.3                  	15.0               	56 	 	6.5         	047	1076  	6.5  	3.4
22                      	948.4                  	15.0               	57 	 	7.0         	049	1083  	6.5  	3.4
24                      	943.6                  	14.9               	57 	 	7.5         	050	1090  	6.4  	3.4
26                      	938.8                  	14.8               	57 	 	8.0         	051	1097  	6.4  	3.4
28                      	934.1                  	14.7               	57 	 	8.5         	052	1103  	6.4  	3.4
30                      	929.3                  	14.7               	58 	 	8.9         	053	1110  	6.4  	3.4
32                      	924.6                  	14.6               	58 	 	8.9         	055	1117  	6.4  	3.4
34                      	919.9                  	14.5               	58 	 	9.1         	056	1124  	6.4  	3.4
36                      	915.3                  	14.5               	58 	 	9.2         	058	1131  	6.4  	3.4
38                      	910.6                  	14.5               	59 	 	9.2         	060	1138  	6.5  	3.4
40                      	906.0                  	14.4               	59 	 	9.3         	062	1145  	6.5  	3.4
42                      	901.4                  	14.4               	59 	 	9.4         	064	1152  	6.5  	3.4
44                      	896.9                  	14.4               	59 	 	9.5         	066	1159  	6.6  	3.4
46                      	892.3                  	14.3               	60 	 	9.6         	067	1165  	6.6  	3.4
48                      	887.8                  	14.3               	60 	 	9.6         	069	1171  	6.6  	3.1
50                      	883.3                  	14.2               	60 	 	9.7         	071	1178  	6.6  	3.1
52                      	878.8                  	14.2               	60 	 	9.8         	073	1184  	6.6  	3.1
54                      	874.3                  	14.1               	60 	 	9.9         	074	1190  	6.5  	3.1
56                      	870.0                  	14.0               	60 	 	9.9         	076	1196  	6.5  	3.1
58                      	869.4                  	14.0               	61 	 	10.0        	077	1202  	6.5  	3.1
60                      	868.9                  	13.9               	61 	 	10.1        	079	1208  	6.5  	3.1
62                      	868.2                  	13.9               	61 	 	10.2        	079	1214  	6.5  	3.1
64                      	867.6                  	13.8               	61 	 	10.2        	079	1220  	6.4  	3.1
66                      	866.8                  	13.7               	61 	 	10.3        	079	1226  	6.4  	3.1
68                      	866.1                  	13.7               	61 	 	10.4        	080	1233  	6.4  	3.1
70                      	865.4                  	13.6               	62 	 	10.5        	080	1239  	6.4  	3.1
72                      	864.7                  	13.5               	62 	 	10.6        	080	1245  	6.3  	3.1
74                      	864.0                  	13.5               	62 	 	10.6        	080	1251  	6.3  	3.1
76                      	863.3                  	13.4               	62 	 	10.7        	080	1257  	6.3  	3.1
78                      	862.7                  	13.3               	62 	 	10.8        	081	1263  	6.3  	3.2
80                      	862.0                  	13.3               	62 	 	10.9        	081	1270  	6.3  	3.2
82                      	861.4                  	13.2               	63 	 	11.0        	081	1276  	6.3  	3.2
84                      	860.8                  	13.2               	63 	 	11.0        	081	1283  	6.3  	3.2
86                      	860.2                  	13.1               	63 	 	11.1        	081	1289  	6.3  	3.2
88                      	859.4                  	13.1               	63 	 	11.2        	081	1296  	6.3  	3.2
90                      	858.7                  	13.0               	63 	 	11.3        	081	1302  	6.2  	3.2
92                      	858.0                  	13.0               	63 	 	11.2        	082	1309  	6.2  	3.2
94                      	857.5                  	12.9               	63 	 	11.1        	082	1315  	6.2  	3.2
96                      	857.0                  	12.9               	64 	 	11.0        	082	1321  	6.1  	3.2
98                      	856.4                  	12.8               	64 	 	10.9        	082	1328  	6.1  	3.2
100                     	855.8                  	12.8               	64 	 	10.8        	082	1334  	6.1  	3.2
102                     	855.2                  	12.7               	64 	 	10.7        	082	1341  	6.1  	3.2
104                     	854.5                  	12.6               	64 	 	10.6        	083	1347  	6.0  	3.2
106                     	853.8                  	12.6               	64 	 	10.5        	083	1354  	6.0  	3.2
108                     	853.1                  	12.5               	64 	 	10.5        	083	1362  	5.9  	4.2
110                     	852.4                  	12.4               	64 	 	10.4        	083	1371  	5.9  	4.6
112                     	851.5                  	12.4               	64 	 	10.5        	083	1380  	5.8  	4.6
114                     	850.7                  	12.3               	64 	 	10.5        	083	1389  	5.7  	4.6
116                     	850.2                  	12.2               	64 	 	10.6        	083	1399  	5.7  	4.6
118                     	849.6                  	12.1               	65 	 	10.7        	083	1408  	5.6  	4.6
120                     	848.7                  	12.0               	65 	 	10.8        	083	1417  	5.6  	4.6
122                     	847.8                  	11.9               	65 	 	10.9        	083	1426  	5.5  	4.6
124                     	846.8                  	11.8               	65 	 	10.9        	083	1435  	5.5  	4.6
126                     	845.7                  	11.7               	65 	 	11.0        	083	1444  	5.4  	4.6
128                     	844.5                  	11.6               	66 	 	11.1        	083	1453  	5.4  	4.6
130                     	843.2                  	11.5               	66 	 	11.2        	083	1462  	5.3  	4.6
132                     	841.9                  	11.4               	66 	 	11.3        	082	1472  	5.3  	4.6
134                     	840.8                  	11.3               	66 	 	11.5        	081	1481  	5.2  	4.6
136                     	839.7                  	11.2               	66 	 	11.6        	081	1490  	5.1  	4.6
138                     	838.6                  	11.1               	66 	 	11.8        	080	1501  	5.0  	5.6
140                     	837.5                  	11.0               	66 	 	11.9        	079	1514  	5.0  	6.7
142                     	836.2                  	10.9               	67 	 	12.1        	078	1528  	4.9  	6.7
144                     	834.8                  	10.8               	67 	 	12.2        	077	1541  	4.9  	6.7
146                     	833.5                  	10.6               	67 	 	12.4        	076	1554  	4.8  	6.7
148                     	832.3                  	10.5               	68 	 	12.5        	075	1568  	4.8  	6.7
150                     	831.1                  	10.4               	68 	 	12.7        	075	1581  	4.8  	6.7
152                     	829.8                  	10.3               	68 	 	12.6        	076	1594  	4.7  	6.7
154                     	828.5                  	10.2               	68 	 	12.4        	077	1607  	4.7  	6.7
156                     	827.2                  	10.1               	69 	 	12.3        	078	1621  	4.7  	6.7
158                     	825.9                  	10.0               	69 	 	12.2        	079	1634  	4.6  	6.7
160                     	824.3                  	9.8                	70 	 	12.1        	080	1647  	4.6  	6.7
162                     	822.6                  	9.7                	71 	 	12.0        	081	1661  	4.6  	6.7
164                     	821.0                  	9.6                	71 	 	11.9        	082	1674  	4.6  	6.7
166                     	819.5                  	9.4                	72 	 	11.8        	083	1687  	4.6  	6.7
168                     	818.0                  	9.3                	72 	 	11.7        	085	1701  	4.6  	6.6
170                     	816.6                  	9.2                	73 	 	11.6        	086	1714  	4.6  	6.6
172                     	815.2                  	9.1                	73 	 	11.5        	087	1727  	4.6  	6.6
174                     	814.1                  	9.0                	74 	 	11.4        	089	1740  	4.6  	6.6
176                     	812.9                  	8.9                	74 	 	11.4        	091	1753  	4.6  	6.6
178                     	811.8                  	8.8                	75 	 	11.4        	093	1766  	4.6  	6.6
180                     	810.7                  	8.7                	75 	 	11.4        	094	1779  	4.6  	6.6
182                     	809.6                  	8.7                	76 	 	11.4        	096	1793  	4.6  	6.6
184                     	808.6                  	8.6                	76 	 	11.2        	098	1806  	4.6  	6.6
186                     	807.4                  	8.5                	76 	 	11.2        	100	1819  	4.5  	6.6
188                     	806.1                  	8.4                	76 	 	11.2        	101	1832  	4.5  	6.6
190                     	804.8                  	8.3                	77 	 	11.3        	103	1845  	4.5  	6.6
192                     	803.4                  	8.2                	77 	 	11.2        	104	1858  	4.4  	6.6
194                     	802.1                  	8.2                	77 	 	11.1        	105	1871  	4.4  	6.6
196                     	800.6                  	8.1                	77 	 	11.1        	106	1884  	4.3  	6.6
198                     	799.1                  	8.0                	77 	 	11.0        	108	1898  	4.3  	6.8
200                     	797.7                  	8.0                	78 	 	11.0        	109	1913  	4.3  	7.5
202                     	796.3                  	7.9                	78 	 	10.9        	110	1928  	4.3  	7.5
204                     	794.9                  	7.9                	78 	 	10.9        	111	1943  	4.3  	7.5
206                     	793.5                  	7.8                	78 	 	10.8        	112	1958  	4.3  	7.5
208                     	792.1                  	7.8                	79 	 	10.8        	113	1973  	4.3  	7.5
210                     	790.6                  	7.7                	79 	 	10.8        	114	1988  	4.3  	7.5
212                     	789.0                  	7.6                	79 	 	10.8        	115	2003  	4.2  	7.5
214                     	787.6                  	7.5                	79 	 	10.8        	116	2017  	4.1  	7.5
