Flight Information:
Launch Date:            	     	                       	Thursday, 23 May 2019	     	                   	           	Launch Time:    	     	             	18:50:00	       	     	End of Ascent:	     	         	01:33:39
Station name:           	     	                       	                     	     	                   	           	Number of sonde:	     	             	00629941
Ground values:
Pressure:               	     	                       	901.0 hPa            	     	                   	           	Temperature:    	     	             	18.4 ?C 	       	     	Humidity:     	     	         	26 %
Wind Direction:         	     	                       	45 ?                 	     	                   	           	Wind Speed:     	     	             	1 m/s   	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-113.985 ?           	     	                   	           	Latitude:       	     	             	46.859 ?	       	     	Altitude:     	     	         	986 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                     	     	                   	           	
Events:
Highest Point:          	     	                       	9.1 hPa              	     	                   	           	32046 m
Tropopauses:            	     	                       	1.: 218.9 hPa        	     	                   	           	                	     	             	
Max Winds:              	     	                       	                     	     	                   	           	                	     	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                   	Ws   	Wd                 	Long.      	Lat.            	Alt  	Geopot       	MRI     	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[?C]                   	[%]                  	[m/s]	[?]                	[?]        	[?]             	[m]  	[m]          	        	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]  	[kg/m3]
0                       	901.0	18.4                   	26                   	1.0  	045                	-113.985000	46.859000       	986  	986          	395.756 	240.954	-1.4 	19.1          	0.0  	46.9     	360     	1    	1.076787
1                       	900.4	18.2                   	26                   	1.1  	046                	-113.985056	46.859024       	992  	992          	396.641 	240.975	-1.8 	18.8          	5.5  	48.1     	306     	8    	1.076952
2                       	899.8	17.9                   	25                   	1.3  	047                	-113.985113	46.859049       	997  	997          	397.525 	240.996	-2.2 	18.6          	5.5  	47.7     	304     	15   	1.077118
3                       	899.3	17.7                   	25                   	1.4  	047                	-113.985169	46.859073       	1003 	1003         	398.410 	241.018	-2.6 	18.3          	5.5  	47.6     	303     	23   	1.077285
4                       	898.7	17.5                   	24                   	1.5  	048                	-113.985225	46.859098       	1008 	1008         	399.311 	241.039	-3.0 	18.1          	5.5  	47.6     	303     	30   	1.077453
5                       	898.1	17.2                   	24                   	1.7  	048                	-113.985282	46.859122       	1014 	1014         	400.196 	241.060	-3.5 	17.8          	5.5  	47.6     	303     	38   	1.077621
6                       	897.5	17.0                   	24                   	1.8  	049                	-113.985338	46.859146       	1019 	1019         	401.081 	241.082	-3.9 	17.6          	5.5  	47.5     	303     	45   	1.077790
7                       	896.9	16.9                   	23                   	1.9  	049                	-113.985394	46.859171       	1025 	1025         	401.868 	241.006	-4.2 	17.4          	5.5  	47.5     	303     	53   	1.077524
8                       	896.4	16.8                   	23                   	2.1  	049                	-113.985451	46.859195       	1030 	1030         	402.617 	240.892	-4.3 	17.4          	5.5  	47.5     	303     	60   	1.077021
9                       	895.8	16.8                   	23                   	2.2  	049                	-113.985507	46.859219       	1036 	1036         	403.371 	240.782	-4.3 	17.3          	5.5  	47.4     	303     	68   	1.076519
10                      	895.2	16.7                   	23                   	2.3  	050                	-113.985563	46.859244       	1041 	1041         	404.140 	240.672	-4.3 	17.3          	5.5  	47.5     	303     	75   	1.076018
11                      	894.6	16.7                   	23                   	2.5  	050                	-113.985620	46.859268       	1047 	1047         	404.894 	240.562	-4.4 	17.2          	5.5  	47.4     	303     	83   	1.075516
12                      	894.0	16.6                   	23                   	2.6  	050                	-113.985676	46.859293       	1052 	1052         	405.648 	240.452	-4.4 	17.2          	5.5  	47.4     	303     	90   	1.075015
13                      	893.5	16.6                   	23                   	2.7  	050                	-113.985732	46.859317       	1058 	1058         	406.410 	240.351	-4.4 	17.1          	5.5  	47.4     	303     	98   	1.074552
14                      	892.9	16.5                   	23                   	2.9  	050                	-113.985789	46.859341       	1063 	1063         	407.172 	240.250	-4.4 	17.1          	5.5  	47.4     	303     	105  	1.074089
15                      	892.4	16.5                   	23                   	3.0  	050                	-113.985845	46.859366       	1069 	1069         	407.935 	240.149	-4.5 	17.0          	5.5  	47.4     	302     	113  	1.073627
16                      	891.8	16.4                   	23                   	3.2  	051                	-113.985925	46.859344       	1074 	1074         	408.697 	240.048	-4.5 	16.9          	5.5  	47.8     	299     	120  	1.073164
17                      	891.3	16.4                   	23                   	3.3  	051                	-113.986008	46.859315       	1079 	1079         	409.318 	239.947	-4.5 	16.9          	4.6  	47.7     	295     	126  	1.072702
18                      	890.8	16.3                   	23                   	3.4  	051                	-113.986092	46.859286       	1083 	1083         	409.939 	239.846	-4.5 	16.8          	4.6  	47.6     	291     	132  	1.072241
19                      	890.3	16.3                   	24                   	3.6  	051                	-113.986176	46.859256       	1088 	1088         	410.577 	239.761	-4.6 	16.8          	4.6  	47.4     	288     	139  	1.071854
20                      	889.8	16.2                   	24                   	3.7  	051                	-113.986259	46.859227       	1093 	1093         	411.231 	239.677	-4.6 	16.7          	4.6  	47.1     	285     	146  	1.071464
21                      	889.3	16.2                   	24                   	3.8  	051                	-113.986343	46.859198       	1097 	1097         	411.865 	239.589	-4.6 	16.7          	4.6  	46.8     	282     	153  	1.071052
