Flight Information:
Launch Date:            	                       	Thursday, 30 May 2019	      	                   	Launch Time:    	           	18:25:34     	     	End of Ascent:	        	           	01:37:50
Station name:           	                       	                     	      	                   	Number of sonde:	           	17033311
Ground values:
Pressure:               	                       	903.7 hPa            	      	                   	Temperature:    	           	19.4 ?C      	     	Humidity:     	        	           	45 %
Wind Direction:         	                       	48 ?                 	      	                   	Wind Speed:     	           	1 m/s        	     	Cloud group:  	        	           	9////
Position:
Longitude:              	                       	-113.985 ?           	      	                   	Latitude:       	           	46.859 ?     	     	Altitude:     	        	           	985 m
Staff:
Company:                	                       	
Operator:               	                       	                     	      	                   	
Events:
Highest Point:          	                       	7.6 hPa              	      	                   	33335 m
Tropopauses:            	                       	1.: 216.6 hPa        	      	                   	                	           	
Max Winds:              	                       	                     	      	                   	                	           	
Remarks:

Profile Data:
Time                    	P                      	T                    	Hu    	Ws                 	Wd              	Long.      	Lat.         	Alt  	Geopot        	Dewp.   	Virt. Temp 	Rs      	D
[sec]                   	[hPa]                  	[?C]                 	[%]   	[m/s]              	[?]             	[?]        	[?]          	[m]  	[m]           	[?C]    	[?C]       	[m/s]   	[kg/m3]
0                       	903.7                  	19.4                 	45    	1.2                	048             	-113.985000	46.859000    	985  	985           	7.2     	20.6       	0.0     	1.076322
1                       	902.5                  	19.4                 	44    	1.2                	047             	-113.985022	46.859041    	990  	990           	7.0     	20.7       	5.0     	1.074754
2                       	901.3                  	19.5                 	44    	1.2                	046             	-113.985044	46.859082    	995  	995           	6.8     	20.7       	5.0     	1.073189
3                       	900.1                  	19.5                 	43    	1.2                	045             	-113.985066	46.859123    	1000 	1000          	6.6     	20.7       	5.0     	1.071625
4                       	899.4                  	19.6                 	42    	1.2                	044             	-113.985087	46.859164    	1005 	1005          	6.3     	20.7       	5.0     	1.070600
5                       	899.0                  	19.6                 	41    	1.2                	043             	-113.985109	46.859205    	1010 	1010          	6.1     	20.8       	5.0     	1.069969
6                       	898.6                  	19.6                 	41    	1.2                	041             	-113.985131	46.859246    	1015 	1015          	5.9     	20.8       	5.0     	1.069383
7                       	898.1                  	19.6                 	40    	1.2                	040             	-113.985153	46.859288    	1020 	1020          	5.6     	20.7       	5.0     	1.068923
8                       	897.6                  	19.6                 	40    	1.2                	039             	-113.985175	46.859329    	1025 	1025          	5.5     	20.7       	5.0     	1.068443
9                       	897.1                  	19.5                 	40    	1.2                	038             	-113.985197	46.859370    	1030 	1030          	5.5     	20.7       	5.0     	1.067964
10                      	896.6                  	19.5                 	40    	1.2                	037             	-113.985219	46.859411    	1035 	1035          	5.5     	20.6       	5.0     	1.067485
11                      	896.2                  	19.5                 	40    	1.2                	036             	-113.985240	46.859452    	1040 	1040          	5.5     	20.6       	5.0     	1.067067
12                      	895.8                  	19.5                 	40    	1.3                	035             	-113.985262	46.859493    	1045 	1045          	5.5     	20.6       	5.0     	1.066754
13                      	895.5                  	19.4                 	40    	1.3                	034             	-113.985284	46.859534    	1050 	1050          	5.4     	20.5       	5.0     	1.066442
14                      	895.1                  	19.4                 	40    	1.3                	033             	-113.985306	46.859575    	1055 	1055          	5.4     	20.5       	5.0     	1.066129
15                      	894.8                  	19.4                 	40    	1.3                	032             	-113.985325	46.859610    	1060 	1060          	5.4     	20.5       	5.0     	1.065817
16                      	894.4                  	19.3                 	40    	1.3                	031             	-113.985319	46.859593    	1065 	1065          	5.4     	20.4       	4.4     	1.065468
17                      	894.0                  	19.3                 	40    	1.3                	030             	-113.985313	46.859577    	1069 	1069          	5.4     	20.4       	4.4     	1.065113
18                      	893.6                  	19.3                 	40    	1.3                	029             	-113.985307	46.859561    	1073 	1073          	5.3     	20.4       	4.4     	1.064758
19                      	893.2                  	19.2                 	40    	1.3                	028             	-113.985301	46.859544    	1078 	1078          	5.3     	20.3       	4.4     	1.064458
20                      	892.8                  	19.2                 	40    	1.3                	027             	-113.985295	46.859528    	1082 	1082          	5.3     	20.3       	4.4     	1.064103
