Flight Information:
Launch Date:            	     	                       	Thursday, 06 June 2019	     	                   	           	Launch Time:    	       	             	03:22:36  	       	     	End of Ascent:	     	         	01:49:43
Station name:           	     	                       	                      	     	                   	           	Number of sonde:	       	             	17045749
Ground values:
Pressure:               	     	                       	898.7 hPa             	     	                   	           	Temperature:    	       	             	19.6 ?C   	       	     	Humidity:     	     	         	47 %
Wind Direction:         	     	                       	0 ?                   	     	                   	           	Wind Speed:     	       	             	0 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-113.985 ?            	     	                   	           	Latitude:       	       	             	46.859 ?  	       	     	Altitude:     	     	         	990 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                      	     	                   	           	
Events:
Highest Point:          	     	                       	16.1 hPa              	     	                   	           	28359 m
Tropopauses:            	     	                       	1.: 224.6 hPa         	     	                   	           	                	       	             	
Max Winds:              	     	                       	1.: 212.8 hPa         	     	                   	           	                	       	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                    	Ws   	Wd                 	Long.      	Lat.            	Alt    	Geopot       	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[?C]                   	[%]                   	[m/s]	[?]                	[?]        	[?]             	[m]    	[m]          	          	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]    	[kg/m3]
0                       	898.7	19.6                   	47                    	0.0  	000                	-113.985000	46.859000       	990    	990          	395.696   	240.266	8.0  	20.9          	0.0  	46.9     	360     	1      	1.069636
1                       	898.3	19.9                   	46                    	0.0  	125                	-113.985015	46.859050       	994    	994          	395.963   	239.873	7.9  	21.2          	4.2  	37.3     	349     	8      	1.068093
2                       	897.8	20.2                   	45                    	0.1  	125                	-113.985030	46.859100       	998    	998          	396.214   	239.481	7.8  	21.5          	4.2  	36.7     	349     	15     	1.066553
3                       	897.4	20.4                   	44                    	0.1  	125                	-113.985045	46.859150       	1003   	1003         	396.482   	239.090	7.7  	21.7          	4.2  	36.6     	349     	22     	1.065017
4                       	897.0	20.7                   	43                    	0.2  	125                	-113.985060	46.859200       	1007   	1007         	396.751   	238.699	7.6  	22.0          	4.2  	36.6     	349     	29     	1.063484
5                       	896.5	21.0                   	42                    	0.2  	125                	-113.985074	46.859249       	1011   	1011         	397.021   	238.309	7.5  	22.3          	4.2  	36.6     	349     	36     	1.061954
6                       	896.1	21.3                   	41                    	0.3  	125                	-113.985089	46.859299       	1015   	1015         	397.276   	237.921	7.4  	22.6          	4.2  	36.5     	349     	43     	1.060427
7                       	895.7	21.5                   	40                    	0.3  	125                	-113.985104	46.859349       	1019   	1019         	397.621   	237.607	7.2  	22.7          	4.2  	36.5     	349     	50     	1.059229
8                       	895.2	21.5                   	39                    	0.3  	125                	-113.985119	46.859399       	1023   	1023         	398.142   	237.468	7.0  	22.7          	4.2  	36.5     	349     	57     	1.058696
9                       	894.8	21.5                   	39                    	0.4  	125                	-113.985134	46.859449       	1028   	1028         	398.653   	237.335	6.9  	22.7          	4.2  	36.4     	349     	64     	1.058163
10                      	894.4	21.5                   	39                    	0.4  	125                	-113.985149	46.859499       	1032   	1032         	399.179   	237.202	6.8  	22.7          	4.2  	36.5     	349     	71     	1.057631
11                      	893.9	21.5                   	38                    	0.5  	125                	-113.985164	46.859549       	1036   	1036         	399.706   	237.070	6.7  	22.7          	4.2  	36.5     	349     	78     	1.057099
12                      	893.5	21.5                   	38                    	0.5  	125                	-113.985179	46.859599       	1040   	1040         	400.233   	236.937	6.6  	22.7          	4.2  	36.5     	348     	85     	1.056567
13                      	893.1	21.5                   	38                    	0.6  	125                	-113.985194	46.859649       	1044   	1044         	400.747   	236.808	6.4  	22.7          	4.2  	36.4     	348     	92     	1.056050
14                      	892.7	21.5                   	37                    	0.6  	125                	-113.985208	46.859699       	1048   	1048         	401.277   	236.678	6.3  	22.7          	4.2  	36.4     	348     	99     	1.055533
15                      	892.3	21.5                   	37                    	0.6  	125                	-113.985223	46.859748       	1053   	1053         	401.791   	236.549	6.2  	22.7          	4.1  	36.4     	348     	106    	1.055016
16                      	891.8	21.5                   	37                    	0.7  	125                	-113.985227	46.859773       	1057   	1056         	402.290   	236.420	6.1  	22.7          	3.9  	37.2     	349     	111    	1.054500
17                      	891.4	21.5                   	36                    	0.7  	125                	-113.985227	46.859789       	1060   	1060         	402.773   	236.291	6.0  	22.7          	3.9  	38.3     	349     	114    	1.053984
18                      	891.0	21.5                   	36                    	0.8  	125                	-113.985228	46.859804       	1064   	1064         	403.272   	236.162	5.8  	22.7          	3.9  	39.3     	349     	118    	1.053468
19                      	890.6	21.6                   	36                    	0.8  	125                	-113.985228	46.859820       	1068   	1068         	403.759   	236.036	5.7  	22.7          	3.9  	40.2     	349     	122    	1.052966
20                      	890.2	21.6                   	35                    	0.9  	125                	-113.985228	46.859835       	1072   	1072         	404.241   	235.906	5.6  	22.7          	3.9  	41.0     	349     	126    	1.052441
21                      	889.8	21.6                   	35                    	0.9  	125                	-113.985228	46.859851       	1076   	1076         	404.725   	235.762	5.6  	22.7          	3.9  	41.9     	350     	130    	1.051831
