Flight Information:
Launch Date:            	                       	Thursday, 06 June 2019	   	                   	Launch Time:    	           	04:19:37     	     	End of Ascent:	     	           	01:19:53
Station name:           	                       	                      	   	                   	Number of sonde:	           	17045593
Ground values:
Pressure:               	                       	898.0 hPa             	   	                   	Temperature:    	           	18.6 ?C      	     	Humidity:     	     	           	45 %
Wind Direction:         	                       	341 ?                 	   	                   	Wind Speed:     	           	1 m/s        	     	Cloud group:  	     	           	9////
Position:
Longitude:              	                       	-113.985 ?            	   	                   	Latitude:       	           	46.859 ?     	     	Altitude:     	     	           	990 m
Staff:
Company:                	                       	
Operator:               	                       	                      	   	                   	
Events:
Highest Point:          	                       	32.1 hPa              	   	                   	23648 m
Tropopauses:            	                       	1.: 200.4 hPa         	   	                   	                	           	
Max Winds:              	                       	1.: 209.8 hPa         	   	                   	                	           	
Remarks:

Profile Data:
Time                    	P                      	T                     	Hu 	Ws                 	Wd              	Long.      	Lat.         	Alt  	Geopot        	Dewp.	Virt. Temp 	Rs      	D
[sec]                   	[hPa]                  	[?C]                  	[%]	[m/s]              	[?]             	[?]        	[?]          	[m]  	[m]           	[?C] 	[?C]       	[m/s]   	[kg/m3]
0                       	898.0                  	18.6                  	45 	1.1                	341             	-113.985000	46.859000    	990  	990           	6.5  	19.8       	0.0     	1.072466
1                       	897.5                  	18.8                  	45 	1.1                	343             	-113.985021	46.859048    	995  	995           	6.5  	20.0       	5.1     	1.071042
2                       	896.9                  	19.0                  	44 	1.1                	346             	-113.985042	46.859096    	1000 	1000          	6.6  	20.2       	5.1     	1.069620
3                       	896.4                  	19.2                  	44 	1.1                	349             	-113.985063	46.859144    	1005 	1005          	6.6  	20.5       	5.1     	1.068201
4                       	895.9                  	19.5                  	43 	1.1                	353             	-113.985084	46.859192    	1010 	1010          	6.7  	20.7       	5.1     	1.066784
5                       	895.4                  	19.7                  	43 	1.2                	356             	-113.985104	46.859240    	1015 	1015          	6.7  	20.9       	5.1     	1.065369
6                       	894.8                  	19.9                  	42 	1.2                	360             	-113.985125	46.859287    	1021 	1020          	6.8  	21.1       	5.1     	1.063957
7                       	894.3                  	20.0                  	42 	1.2                	005             	-113.985146	46.859335    	1026 	1026          	6.8  	21.3       	5.1     	1.062829
8                       	893.8                  	20.1                  	42 	1.2                	010             	-113.985167	46.859383    	1031 	1031          	6.7  	21.3       	5.1     	1.062121
9                       	893.2                  	20.1                  	41 	1.2                	015             	-113.985188	46.859431    	1036 	1036          	6.6  	21.3       	5.1     	1.061414
10                      	892.7                  	20.1                  	41 	1.2                	021             	-113.985209	46.859479    	1041 	1041          	6.5  	21.3       	5.1     	1.060707
11                      	892.2                  	20.1                  	41 	1.2                	026             	-113.985230	46.859527    	1046 	1046          	6.4  	21.3       	5.1     	1.060000
12                      	891.7                  	20.1                  	40 	1.2                	032             	-113.985251	46.859575    	1051 	1051          	6.3  	21.3       	5.2     	1.059295
13                      	891.1                  	20.2                  	40 	1.3                	038             	-113.985272	46.859623    	1057 	1057          	6.2  	21.3       	5.6     	1.058522
14                      	890.5                  	20.2                  	40 	1.3                	044             	-113.985292	46.859671    	1062 	1062          	6.1  	21.4       	5.6     	1.057749
15                      	889.9                  	20.2                  	40 	1.3                	049             	-113.985307	46.859702    	1068 	1068          	6.0  	21.4       	5.6     	1.056977
16                      	889.3                  	20.2                  	39 	1.3                	055             	-113.985314	46.859711    	1074 	1074          	5.9  	21.4       	5.6     	1.056206
17                      	888.7                  	20.3                  	39 	1.3                	059             	-113.985321	46.859719    	1079 	1079          	5.8  	21.4       	5.6     	1.055436
18                      	888.2                  	20.3                  	39 	1.3                	064             	-113.985327	46.859727    	1085 	1085          	5.7  	21.4       	5.6     	1.054665
19                      	887.6                  	20.3                  	38 	1.3                	068             	-113.985334	46.859736    	1091 	1091          	5.6  	21.4       	5.6     	1.053896
20                      	887.0                  	20.3                  	38 	1.3                	072             	-113.985340	46.859744    	1096 	1096          	5.5  	21.4       	5.6     	1.053133
21                      	886.4                  	20.3                  	38 	1.4                	075             	-113.985347	46.859753    	1102 	1102          	5.5  	21.5       	5.6     	1.052385
22                      	885.8                  	20.3                  	38 	1.4                	078             	-113.985354	46.859761    	1108 	1107          	5.4  	21.5       	5.6     	1.051637
23                      	885.3                  	20.4                  	37 	1.4                	081             	-113.985360	46.859769    	1113 	1113          	5.3  	21.5       	5.6     	1.050889
24                      	884.7                  	20.4                  	37 	1.4                	083             	-113.985367	46.859778    	1119 	1119          	5.3  	21.5       	5.6     	1.050142
25                      	884.1                  	20.4                  	37 	1.4                	085             	-113.985373	46.859786    	1124 	1124          	5.2  	21.5       	5.6     	1.049396
26                      	883.5                  	20.4                  	37 	1.4                	087             	-113.985380	46.859795    	1130 	1130          	5.2  	21.5       	5.6     	1.048650
27                      	882.9                  	20.4                  	37 	1.4                	089             	-113.985386	46.859803    	1136 	1136          	5.1  	21.5       	5.6     	1.047905
28                      	882.4                  	20.4                  	36 	1.4                	091             	-113.985393	46.859811    	1141 	1141          	5.0  	21.5       	5.6     	1.047160
29                      	881.8                  	20.5                  	36 	1.5                	092             	-113.985400	46.859820    	1147 	1147          	5.0  	21.6       	5.6     	1.046416
30                      	881.2                  	20.5                  	36 	1.5                	094             	-113.985406	46.859828    	1153 	1153          	4.9  	21.6       	5.6     	1.045672
31                      	880.6                  	20.5                  	36 	1.5                	096             	-113.985413	46.859837    	1158 	1158          	4.8  	21.6       	5.6     	1.044929
32                      	880.1                  	20.5                  	36 	1.5                	098             	-113.985419	46.859845    	1164 	1164          	4.8  	21.6       	5.6     	1.044187
