Flight Information:
Launch Date:            	                       	Thursday, 13 June 2019	   	                        	Launch Time:    	           	16:06:35     	       	End of Ascent:	     	           	01:29:14
Station name:           	                       	                      	   	                        	Number of sonde:	           	17045847
Ground values:
Pressure:               	                       	873.8 hPa             	   	                        	Temperature:    	           	19.6 ?C      	       	Humidity:     	     	           	50 %
Wind Direction:         	                       	0 ?                   	   	                        	Wind Speed:     	           	0 m/s        	       	Cloud group:  	     	           	9////
Position:
Longitude:              	                       	-113.401 ?            	   	                        	Latitude:       	           	46.893 ?     	       	Altitude:     	     	           	1252 m
Staff:
Company:                	                       	
Operator:               	                       	                      	   	                        	
Events:
Highest Point:          	                       	22.9 hPa              	   	                        	26005 m
Tropopauses:            	                       	1.: 182.2 hPa         	   	                        	2.: 112.1 hPa   	           	
Max Winds:              	                       	                      	   	                        	                	           	
Remarks:

Profile Data:
Time                    	P                      	T                     	Hu 	Ws                      	Wd              	Long.      	Lat.         	Alt    	Geopot        	Dewp.	Virt. Temp 	Rs      	D
[sec]                   	[hPa]                  	[?C]                  	[%]	[m/s]                   	[?]             	[?]        	[?]          	[m]    	[m]           	[?C] 	[?C]       	[m/s]   	[kg/m3]
0                       	873.8                  	19.6                  	50 	0.0                     	000             	-113.400600	46.892730    	1252   	1252          	8.9  	21.0       	0.0     	1.040000
1                       	873.1                  	19.6                  	50 	0.1                     	234             	-113.403989	46.892769    	1259   	1259          	8.8  	21.1       	6.9     	1.039026
2                       	872.4                  	19.7                  	49 	0.3                     	234             	-113.407378	46.892807    	1266   	1266          	8.7  	21.1       	6.9     	1.038052
3                       	871.7                  	19.7                  	49 	0.4                     	234             	-113.410767	46.892846    	1273   	1273          	8.6  	21.1       	6.9     	1.037080
4                       	871.0                  	19.8                  	48 	0.5                     	234             	-113.414156	46.892885    	1280   	1280          	8.6  	21.2       	6.9     	1.036108
5                       	870.3                  	19.8                  	48 	0.7                     	234             	-113.417544	46.892923    	1287   	1287          	8.5  	21.2       	6.9     	1.035138
6                       	869.6                  	19.8                  	48 	0.8                     	234             	-113.420933	46.892962    	1293   	1293          	8.4  	21.2       	6.9     	1.034168
7                       	868.9                  	19.8                  	47 	0.9                     	234             	-113.424322	46.893001    	1300   	1300          	8.2  	21.2       	6.9     	1.033542
8                       	868.2                  	19.7                  	47 	1.1                     	234             	-113.427711	46.893039    	1307   	1307          	8.1  	21.1       	6.9     	1.032933
9                       	867.5                  	19.7                  	47 	1.2                     	234             	-113.431100	46.893078    	1314   	1314          	8.1  	21.0       	6.9     	1.032325
10                      	866.8                  	19.6                  	47 	1.3                     	234             	-113.434489	46.893117    	1321   	1321          	8.1  	21.0       	6.9     	1.031717
11                      	866.1                  	19.5                  	47 	1.5                     	234             	-113.437878	46.893155    	1328   	1328          	8.0  	20.9       	6.9     	1.031110
12                      	865.4                  	19.5                  	47 	1.6                     	234             	-113.441267	46.893194    	1335   	1335          	8.0  	20.8       	6.9     	1.030503
13                      	864.9                  	19.4                  	47 	1.7                     	234             	-113.444656	46.893232    	1342   	1342          	7.9  	20.8       	6.9     	1.030035
14                      	864.3                  	19.3                  	47 	1.9                     	234             	-113.448045	46.893271    	1349   	1349          	7.9  	20.7       	6.9     	1.029567
15                      	863.7                  	19.3                  	48 	2.0                     	234             	-113.448917	46.893298    	1354   	1354          	7.9  	20.7       	5.5     	1.029099
16                      	863.1                  	19.2                  	48 	2.1                     	234             	-113.448855	46.893321    	1359   	1359          	7.8  	20.6       	5.0     	1.028631
17                      	862.6                  	19.2                  	48 	2.3                     	234             	-113.448794	46.893344    	1364   	1364          	7.8  	20.5       	5.0     	1.028164
18                      	862.0                  	19.1                  	48 	2.4                     	234             	-113.448732	46.893367    	1369   	1369          	7.8  	20.5       	5.0     	1.027697
19                      	861.5                  	19.0                  	48 	2.5                     	234             	-113.448671	46.893390    	1374   	1374          	7.7  	20.4       	5.0     	1.027314
20                      	861.0                  	19.0                  	48 	2.7                     	234             	-113.448610	46.893413    	1379   	1379          	7.7  	20.3       	5.0     	1.026910
21                      	860.5                  	18.9                  	48 	2.8                     	234             	-113.448548	46.893436    	1384   	1384          	7.7  	20.3       	5.0     	1.026436
22                      	860.0                  	18.9                  	48 	2.9                     	234             	-113.448487	46.893459    	1389   	1389          	7.6  	20.3       	5.0     	1.025963
23                      	859.5                  	18.9                  	48 	3.1                     	234             	-113.448425	46.893482    	1394   	1394          	7.5  	20.2       	5.0     	1.025490
24                      	859.0                  	18.8                  	47 	3.2                     	234             	-113.448364	46.893505    	1399   	1399          	7.5  	20.2       	5.0     	1.025017
25                      	858.5                  	18.8                  	47 	3.3                     	234             	-113.448302	46.893528    	1405   	1404          	7.4  	20.1       	5.0     	1.024543
26                      	858.0                  	18.8                  	47 	3.5                     	234             	-113.448241	46.893552    	1410   	1409          	7.3  	20.1       	5.0     	1.024070
27                      	857.5                  	18.7                  	47 	3.6                     	234             	-113.448179	46.893575    	1415   	1414          	7.3  	20.0       	5.0     	1.023597
28                      	857.0                  	18.7                  	47 	3.8                     	234             	-113.448118	46.893598    	1420   	1419          	7.2  	20.0       	5.0     	1.023125
29                      	856.5                  	18.7                  	47 	3.9                     	234             	-113.448056	46.893621    	1425   	1424          	7.1  	20.0       	5.0     	1.022652
30                      	856.0                  	18.6                  	47 	4.0                     	234             	-113.447995	46.893644    	1430   	1430          	7.1  	19.9       	5.0     	1.022180
31                      	855.5                  	18.6                  	47 	4.1                     	235             	-113.447933	46.893667    	1435   	1435          	7.0  	19.9       	5.0     	1.021708
32                      	855.0                  	18.5                  	47 	4.2                     	236             	-113.447872	46.893690    	1440   	1440          	6.9  	19.8       	5.0     	1.021235
33                      	854.5                  	18.5                  	46 	4.3                     	236             	-113.447810	46.893713    	1445   	1445          	6.9  	19.8       	5.0     	1.020762
34                      	854.0                  	18.5                  	46 	4.4                     	237             	-113.447749	46.893736    	1450   	1450          	6.8  	19.8       	5.0     	1.020268
35                      	853.5                  	18.5                  	46 	4.4                     	238             	-113.447688	46.893759    	1455   	1455          	6.7  	19.7       	5.0     	1.019775
36                      	853.0                  	18.4                  	46 	4.5                     	238             	-113.447626	46.893782    	1460   	1460          	6.7  	19.7       	5.0     	1.019282
37                      	852.5                  	18.4                  	46 	4.6                     	239             	-113.447565	46.893805    	1465   	1465          	6.6  	19.7       	5.0     	1.018788
38                      	852.0                  	18.4                  	46 	4.7                     	239             	-113.447503	46.893828    	1470   	1470          	6.5  	19.6       	5.0     	1.018295
39                      	851.5                  	18.3                  	46 	4.8                     	240             	-113.447442	46.893851    	1475   	1475          	6.5  	19.6       	5.0     	1.017802
40                      	851.0                  	18.3                  	46 	4.9                     	240             	-113.447380	46.893874    	1480   	1480          	6.4  	19.6       	5.0     	1.017310
41                      	850.5                  	18.3                  	46 	5.0                     	241             	-113.447319	46.893897    	1485   	1485          	6.4  	19.5       	5.0     	1.016817
42                      	850.0                  	18.2                  	46 	5.1                     	241             	-113.447257	46.893920    	1490   	1490          	6.3  	19.5       	5.0     	1.016325
43                      	849.5                  	18.2                  	45 	5.2                     	242             	-113.447196	46.893943    	1495   	1495          	6.2  	19.4       	5.0     	1.015866
44                      	849.0                  	18.2                  	45 	5.2                     	242             	-113.447134	46.893966    	1500   	1500          	6.2  	19.4       	5.0     	1.015407
45                      	848.5                  	18.2                  	45 	5.3                     	243             	-113.447062	46.893986    	1505   	1505          	6.1  	19.4       	4.8     	1.014948
46                      	848.1                  	18.1                  	45 	5.4                     	243             	-113.446971	46.894003    	1509   	1509          	6.0  	19.3       	4.5     	1.014489
47                      	847.6                  	18.1                  	45 	5.5                     	244             	-113.446880	46.894020    	1514   	1514          	6.0  	19.3       	4.5     	1.014062
48                      	847.1                  	18.0                  	45 	5.6                     	244             	-113.446789	46.894037    	1519   	1518          	5.9  	19.3       	4.5     	1.013642
49                      	846.7                  	18.0                  	45 	5.7                     	245             	-113.446698	46.894054    	1523   	1523          	5.9  	19.2       	4.5     	1.013247
50                      	846.2                  	18.0                  	45 	5.8                     	245             	-113.446607	46.894071    	1528   	1527          	5.9  	19.2       	4.5     	1.012852
51                      	845.8                  	17.9                  	45 	5.9                     	245             	-113.446516	46.894088    	1532   	1532          	5.9  	19.1       	4.5     	1.012457
52                      	845.3                  	17.9                  	45 	6.0                     	246             	-113.446426	46.894105    	1537   	1536          	5.8  	19.1       	4.5     	1.012063
53                      	844.9                  	17.8                  	45 	6.1                     	246             	-113.446335	46.894122    	1541   	1541          	5.8  	19.0       	4.5     	1.011669
54                      	844.4                  	17.8                  	45 	6.2                     	246             	-113.446244	46.894139    	1546   	1546          	5.8  	19.0       	4.5     	1.011275
55                      	844.0                  	17.8                  	45 	6.3                     	247             	-113.446153	46.894156    	1550   	1550          	5.8  	19.0       	4.5     	1.010880
56                      	843.5                  	17.7                  	45 	6.3                     	247             	-113.446062	46.894173    	1555   	1555          	5.7  	18.9       	4.5     	1.010486
57                      	843.1                  	17.7                  	45 	6.4                     	247             	-113.445971	46.894190    	1559   	1559          	5.7  	18.9       	4.5     	1.010092
58                      	842.7                  	17.6                  	45 	6.5                     	248             	-113.445880	46.894207    	1564   	1564          	5.7  	18.8       	4.5     	1.009698
59                      	842.2                  	17.6                  	45 	6.6                     	248             	-113.445789	46.894224    	1568   	1568          	5.7  	18.8       	4.5     	1.009305
60                      	841.8                  	17.6                  	45 	6.7                     	248             	-113.445698	46.894241    	1573   	1573          	5.6  	18.8       	4.5     	1.008897
61                      	841.3                  	17.5                  	45 	6.8                     	248             	-113.445608	46.894258    	1577   	1577          	5.6  	18.7       	4.5     	1.008471
62                      	840.9                  	17.5                  	45 	6.8                     	249             	-113.445517	46.894275    	1582   	1582          	5.6  	18.7       	4.5     	1.008046
63                      	840.4                  	17.5                  	45 	6.8                     	249             	-113.445426	46.894292    	1587   	1586          	5.6  	18.7       	4.5     	1.007620
64                      	840.0                  	17.4                  	46 	6.8                     	250             	-113.445335	46.894309    	1591   	1591          	5.6  	18.6       	4.5     	1.007195
65                      	839.5                  	17.4                  	46 	6.9                     	250             	-113.445244	46.894326    	1596   	1595          	5.5  	18.6       	4.5     	1.006770
66                      	839.1                  	17.4                  	46 	6.9                     	250             	-113.445153	46.894343    	1600   	1600          	5.5  	18.6       	4.5     	1.006346
