Flight Information:
Launch Date:            	     	                       	Thursday, 13 June 2019	     	                   	           	Launch Time:    	     	             	17:15:51  	          	        	End of Ascent:	     	         	01:32:10
Station name:           	     	                       	                      	     	                   	           	Number of sonde:	     	             	17045211
Ground values:
Pressure:               	     	                       	873.5 hPa             	     	                   	           	Temperature:    	     	             	20.9 ?C   	          	        	Humidity:     	     	         	46 %
Wind Direction:         	     	                       	246 ?                 	     	                   	           	Wind Speed:     	     	             	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-113.450 ?            	     	                   	           	Latitude:       	     	             	46.893 ?  	          	        	Altitude:     	     	         	1252 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                      	     	                   	           	
Events:
Highest Point:          	     	                       	17.0 hPa              	     	                   	           	27968 m
Tropopauses:            	     	                       	1.: 186.3 hPa         	     	                   	           	                	     	             	
Max Winds:              	     	                       	                      	     	                   	           	                	     	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                    	Ws   	Wd                 	Long.      	Lat.            	Alt  	Geopot       	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[?C]                   	[%]                   	[m/s]	[?]                	[?]        	[?]             	[m]  	[m]          	          	          	[?C]    	[?C]          	[m/s]	[?]      	[?]     	[m]  	[kg/m3]
0                       	873.5	20.9                   	46                    	1.4  	246                	-113.450100	46.892700       	1252 	1252         	429.066   	232.502   	8.9     	22.3          	0.0  	46.9     	360     	1    	1.035046
1                       	872.7	21.0                   	45                    	1.5  	244                	-113.450034	46.892741       	1260 	1260         	429.974   	232.201   	8.8     	22.4          	7.7  	48.9     	045     	11   	1.033816
2                       	871.9	21.1                   	45                    	1.6  	243                	-113.449969	46.892783       	1267 	1267         	430.883   	231.901   	8.6     	22.5          	7.7  	48.7     	046     	21   	1.032587
3                       	871.2	21.2                   	44                    	1.7  	241                	-113.449903	46.892824       	1275 	1275         	431.793   	231.602   	8.5     	22.6          	7.7  	48.7     	047     	31   	1.031360
4                       	870.4	21.3                   	44                    	1.8  	240                	-113.449838	46.892866       	1283 	1283         	432.718   	231.303   	8.4     	22.7          	7.7  	48.7     	047     	42   	1.030134
5                       	869.6	21.3                   	43                    	1.9  	239                	-113.449772	46.892907       	1291 	1291         	433.628   	231.004   	8.3     	22.7          	7.7  	48.7     	047     	52   	1.028910
6                       	868.8	21.4                   	43                    	2.0  	238                	-113.449707	46.892949       	1298 	1298         	434.539   	230.705   	8.2     	22.8          	7.7  	48.7     	047     	62   	1.027688
7                       	868.1	21.4                   	42                    	2.1  	237                	-113.449641	46.892990       	1306 	1306         	435.513   	230.471   	8.0     	22.8          	7.7  	48.7     	047     	72   	1.026749
8                       	867.3	21.3                   	42                    	2.3  	237                	-113.449576	46.893032       	1314 	1314         	436.590   	230.339   	7.9     	22.7          	7.7  	48.6     	047     	83   	1.026153
9                       	866.5	21.3                   	42                    	2.4  	236                	-113.449510	46.893073       	1321 	1321         	437.672   	230.213   	7.9     	22.6          	7.7  	48.6     	047     	93   	1.025557
10                      	865.8	21.2                   	42                    	2.5  	235                	-113.449445	46.893115       	1329 	1329         	438.771   	230.087   	7.8     	22.5          	7.7  	48.7     	047     	103  	1.024961
11                      	865.0	21.1                   	42                    	2.6  	235                	-113.449379	46.893156       	1337 	1337         	439.854   	229.961   	7.8     	22.4          	7.7  	48.7     	047     	114  	1.024366
12                      	864.2	21.0                   	42                    	2.7  	234                	-113.449314	46.893198       	1345 	1345         	440.937   	229.835   	7.7     	22.3          	7.7  	48.6     	047     	124  	1.023771
13                      	863.5	20.9                   	43                    	2.8  	234                	-113.449248	46.893239       	1352 	1352         	442.025   	229.713   	7.7     	22.2          	7.7  	48.6     	047     	134  	1.023195
14                      	862.7	20.8                   	43                    	2.9  	233                	-113.449183	46.893281       	1360 	1360         	443.112   	229.592   	7.7     	22.1          	7.7  	48.6     	047     	144  	1.022620
15                      	862.0	20.7                   	43                    	3.0  	233                	-113.449116	46.893321       	1368 	1368         	444.200   	229.471   	7.6     	22.1          	7.7  	48.6     	047     	155  	1.022045
16                      	861.2	20.6                   	43                    	3.1  	232                	-113.449037	46.893343       	1376 	1375         	445.303   	229.349   	7.6     	22.0          	7.7  	48.9     	048     	165  	1.021471
17                      	860.5	20.5                   	43                    	3.2  	232                	-113.448958	46.893364       	1383 	1383         	446.391   	229.228   	7.6     	21.9          	7.7  	49.0     	050     	174  	1.020897
18                      	859.7	20.4                   	43                    	3.3  	232                	-113.448879	46.893385       	1390 	1390         	447.322   	229.107   	7.5     	21.8          	6.7  	48.9     	051     	183  	1.020323
19                      	859.0	20.3                   	43                    	3.4  	231                	-113.448800	46.893406       	1397 	1396         	448.275   	229.009   	7.5     	21.7          	6.7  	48.9     	051     	193  	1.019851
20                      	858.4	20.2                   	43                    	3.5  	231                	-113.448721	46.893428       	1403 	1403         	449.212   	228.910   	7.4     	21.6          	6.7  	48.8     	052     	202  	1.019380
21                      	857.7	20.1                   	44                    	3.6  	231                	-113.448642	46.893449       	1410 	1410         	450.173   	228.818   	7.4     	21.5          	6.7  	48.7     	053     	211  	1.018941
22                      	857.0	20.0                   	44                    	3.7  	230                	-113.448563	46.893470       	1417 	1416         	451.133   	228.727   	7.3     	21.4          	6.7  	48.6     	054     	220  	1.018502
23                      	856.4	19.9                   	44                    	3.8  	230                	-113.448483	46.893491       	1423 	1423         	452.093   	228.635   	7.3     	21.3          	6.7  	48.6     	054     	229  	1.018064
24                      	855.7	19.8                   	44                    	3.9  	230                	-113.448404	46.893512       	1430 	1430         	453.038   	228.544   	7.2     	21.2          	6.7  	48.5     	055     	238  	1.017626
25                      	855.1	19.7                   	44                    	4.1  	230                	-113.448325	46.893534       	1437 	1437         	453.998   	228.452   	7.2     	21.1          	6.7  	48.4     	055     	247  	1.017188
26                      	854.4	19.6                   	44                    	4.2  	229                	-113.448246	46.893555       	1443 	1443         	454.959   	228.361   	7.1     	21.0          	6.7  	48.3     	056     	257  	1.016749
27                      	853.7	19.5                   	44                    	4.3  	229                	-113.448167	46.893576       	1450 	1450         	455.919   	228.269   	7.1     	20.8          	6.7  	48.3     	056     	266  	1.016310
28                      	853.1	19.4                   	44                    	4.4  	229                	-113.448088	46.893597       	1457 	1457         	456.864   	228.178   	7.0     	20.7          	6.7  	48.2     	057     	275  	1.015872
29                      	852.4	19.3                   	44                    	4.5  	229                	-113.448009	46.893619       	1463 	1463         	457.825   	228.086   	6.9     	20.6          	6.7  	48.2     	057     	284  	1.015435
30                      	851.8	19.2                   	45                    	4.6  	229                	-113.447930	46.893640       	1470 	1470         	458.785   	227.995   	6.9     	20.5          	6.7  	48.1     	058     	293  	1.014997
31                      	851.1	19.1                   	45                    	4.7  	230                	-113.447850	46.893661       	1477 	1477         	459.746   	227.904   	6.8     	20.4          	6.7  	48.1     	058     	303  	1.014559
32                      	850.4	19.0                   	45                    	4.9  	232                	-113.447771	46.893682       	1483 	1483         	460.690   	227.812   	6.8     	20.3          	6.7  	48.0     	058     	312  	1.014120
33                      	849.8	18.9                   	45                    	5.0  	233                	-113.447692	46.893703       	1490 	1490         	461.650   	227.720   	6.7     	20.2          	6.7  	48.0     	059     	321  	1.013682
