Flight Information:
Launch Date:            	     	                       	Thursday, 13 June 2019	     	                   	           	Launch Time:    	       	             	17:15:53  	          	        	End of Ascent:	     	         	01:32:09
Station name:           	     	                       	                      	     	                   	           	Number of sonde:	       	             	17045211
Ground values:
Pressure:               	     	                       	873.5 hPa             	     	                   	           	Temperature:    	       	             	20.9 ?C   	          	        	Humidity:     	     	         	46 %
Wind Direction:         	     	                       	246 ?                 	     	                   	           	Wind Speed:     	       	             	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-113.450 ?            	     	                   	           	Latitude:       	       	             	46.892 ?  	          	        	Altitude:     	     	         	1252 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                      	     	                   	           	
Events:
Highest Point:          	     	                       	17.1 hPa              	     	                   	           	27973 m
Tropopauses:            	     	                       	1.: 187.0 hPa         	     	                   	           	                	       	             	
Max Winds:              	     	                       	                      	     	                   	           	                	       	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                    	Ws   	Wd                 	Long.      	Lat.            	Alt    	Geopot       	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[?C]                   	[%]                   	[m/s]	[?]                	[?]        	[?]             	[m]    	[m]          	          	          	[?C]    	[?C]          	[m/s]	[?]      	[?]     	[m]    	[kg/m3]
0                       	873.5	20.9                   	46                    	1.4  	246                	-113.450000	46.892000       	1252   	1252         	429.066   	232.502   	8.9     	22.3          	0.0  	46.9     	000     	1      	1.035046
1                       	872.7	21.0                   	45                    	1.5  	245                	-113.449941	46.892090       	1260   	1260         	429.997   	232.192   	8.8     	22.4          	7.9  	36.3     	024     	14     	1.033781
2                       	871.9	21.1                   	45                    	1.6  	243                	-113.449882	46.892180       	1268   	1268         	430.928   	231.883   	8.6     	22.5          	7.9  	36.0     	024     	28     	1.032517
3                       	871.1	21.2                   	44                    	1.7  	242                	-113.449822	46.892270       	1276   	1276         	431.860   	231.575   	8.5     	22.6          	7.9  	35.9     	024     	41     	1.031255
4                       	870.3	21.3                   	44                    	1.8  	241                	-113.449763	46.892360       	1284   	1284         	432.792   	231.267   	8.4     	22.7          	7.9  	35.9     	024     	55     	1.029994
5                       	869.5	21.4                   	43                    	1.9  	240                	-113.449704	46.892450       	1292   	1292         	433.724   	230.959   	8.3     	22.8          	7.9  	35.9     	024     	68     	1.028735
6                       	868.7	21.5                   	42                    	2.0  	239                	-113.449645	46.892540       	1299   	1299         	434.657   	230.651   	8.1     	22.8          	7.9  	35.8     	024     	82     	1.027478
7                       	868.0	21.4                   	42                    	2.1  	239                	-113.449586	46.892630       	1307   	1307         	435.703   	230.457   	7.9     	22.8          	7.9  	35.8     	024     	95     	1.026716
8                       	867.2	21.3                   	42                    	2.3  	238                	-113.449526	46.892719       	1315   	1315         	436.820   	230.334   	7.9     	22.7          	7.9  	35.8     	024     	109    	1.026133
9                       	866.5	21.2                   	42                    	2.4  	238                	-113.449467	46.892809       	1323   	1323         	437.937   	230.211   	7.8     	22.6          	7.9  	35.8     	024     	122    	1.025550
10                      	865.7	21.1                   	42                    	2.5  	237                	-113.449408	46.892899       	1331   	1331         	439.055   	230.088   	7.8     	22.5          	7.9  	35.8     	024     	136    	1.024968
11                      	865.0	21.1                   	42                    	2.6  	236                	-113.449349	46.892989       	1338   	1338         	439.983   	229.965   	7.8     	22.4          	6.8  	35.4     	024     	149    	1.024386
