Flight Information:
Launch Date:            	     	                       	Thursday, 13 June 2019	     	                   	           	Launch Time:    	       	             	17:15:52  	          	        	End of Ascent:	     	         	01:31:52
Station name:           	     	                       	                      	     	                   	           	Number of sonde:	       	             	17045211
Ground values:
Pressure:               	     	                       	873.5 hPa             	     	                   	           	Temperature:    	       	             	20.9 ?C   	          	        	Humidity:     	     	         	46 %
Wind Direction:         	     	                       	246 ?                 	     	                   	           	Wind Speed:     	       	             	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-113.450 ?            	     	                   	           	Latitude:       	       	             	45.893 ?  	          	        	Altitude:     	     	         	1252 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                      	     	                   	           	
Events:
Highest Point:          	     	                       	17.2 hPa              	     	                   	           	27882 m
Tropopauses:            	     	                       	1.: 186.4 hPa         	     	                   	           	                	       	             	
Max Winds:              	     	                       	                      	     	                   	           	                	       	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                    	Ws   	Wd                 	Long.      	Lat.            	Alt    	Geopot       	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[?C]                   	[%]                   	[m/s]	[?]                	[?]        	[?]             	[m]    	[m]          	          	          	[?C]    	[?C]          	[m/s]	[?]      	[?]     	[m]    	[kg/m3]
0                       	873.5	20.9                   	46                    	1.4  	246                	-113.450060	45.892730       	1252   	1252         	429.066   	232.502   	8.9     	22.3          	0.0  	45.9     	360     	1      	1.035046
1                       	873.0	21.0                   	45                    	1.5  	244                	-113.449998	45.960140       	1257   	1257         	429.612   	232.279   	8.8     	22.4          	4.9  	0.0      	000     	7494   	1.034164
2                       	872.5	21.1                   	45                    	1.6  	243                	-113.449936	46.027549       	1262   	1262         	430.143   	232.056   	8.6     	22.5          	4.9  	0.0      	000     	14989  	1.033282
3                       	872.0	21.2                   	44                    	1.7  	242                	-113.449874	46.094959       	1267   	1267         	430.689   	231.833   	8.5     	22.6          	4.9  	-0.1     	000     	22483  	1.032401
4                       	871.5	21.2                   	44                    	1.8  	241                	-113.449812	46.162368       	1271   	1271         	431.221   	231.611   	8.4     	22.7          	4.9  	-0.1     	000     	29977  	1.031521
5                       	871.1	21.3                   	43                    	1.9  	240                	-113.449750	46.229778       	1276   	1276         	431.768   	231.389   	8.3     	22.7          	4.9  	-0.1     	000     	37471  	1.030641
6                       	870.6	21.4                   	42                    	2.0  	239                	-113.449688	46.297187       	1281   	1281         	432.315   	231.167   	8.2     	22.8          	4.9  	-0.2     	000     	44966  	1.029763
7                       	870.1	21.4                   	42                    	2.1  	238                	-113.449626	46.364597       	1286   	1286         	432.919   	231.017   	7.9     	22.8          	4.9  	-0.2     	000     	52461  	1.029203
8                       	869.6	21.3                   	42                    	2.3  	237                	-113.449564	46.432006       	1291   	1291         	433.629   	230.958   	7.9     	22.7          	4.9  	-0.2     	000     	59955  	1.028930
