Flight Information:
Launch Date:            	     	                       	Thursday, 13 June 2019	     	                   	           	Launch Time:    	     	             	18:33:56	       	     	End of Ascent:	     	         	01:30:47
Station name:           	     	                       	                      	     	                   	           	Number of sonde:	     	             	17045843
Ground values:
Pressure:               	     	                       	873.3 hPa             	     	                   	           	Temperature:    	     	             	23.4 ?C 	       	     	Humidity:     	     	         	39 %
Wind Direction:         	     	                       	241 ?                 	     	                   	           	Wind Speed:     	     	             	2 m/s   	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-113.450 ?            	     	                   	           	Latitude:       	     	             	46.890 ?	       	     	Altitude:     	     	         	1252 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                      	     	                   	           	
Events:
Highest Point:          	     	                       	18.5 hPa              	     	                   	           	27450 m
Tropopauses:            	     	                       	1.: 190.8 hPa         	     	                   	           	                	     	             	
Max Winds:              	     	                       	                      	     	                   	           	                	     	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                    	Ws   	Wd                 	Long.      	Lat.            	Alt  	Geopot       	MRI     	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[?C]                   	[%]                   	[m/s]	[?]                	[?]        	[?]             	[m]  	[m]          	        	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]  	[kg/m3]
0                       	873.3	23.4                   	39                    	1.8  	241                	-113.450000	46.890000       	1252 	1252         	426.740 	230.176	8.7  	24.8          	0.0  	46.9     	000     	1    	1.026086
1                       	872.7	23.3                   	38                    	2.0  	242                	-113.449906	46.890204       	1258 	1258         	427.603 	230.050	8.2  	24.7          	6.3  	15.5     	017     	25   	1.025722
2                       	872.0	23.2                   	37                    	2.2  	242                	-113.449812	46.890409       	1265 	1265         	428.467 	229.925	7.6  	24.5          	6.3  	15.1     	017     	50   	1.025358
3                       	871.4	23.1                   	36                    	2.4  	243                	-113.449718	46.890613       	1271 	1271         	429.330 	229.799	7.1  	24.4          	6.3  	15.0     	017     	74   	1.024995
4                       	870.8	23.0                   	35                    	2.6  	243                	-113.449625	46.890818       	1277 	1277         	430.194 	229.673	6.6  	24.2          	6.3  	15.0     	017     	99   	1.024632
5                       	870.2	22.9                   	34                    	2.8  	243                	-113.449531	46.891022       	1284 	1283         	431.057 	229.548	6.0  	24.1          	6.3  	14.9     	017     	124  	1.024269
6                       	869.5	22.7                   	33                    	3.0  	244                	-113.449437	46.891227       	1290 	1290         	431.921 	229.422	5.5  	23.9          	6.3  	14.9     	017     	148  	1.023907
7                       	868.9	22.7                   	31                    	3.2  	244                	-113.449343	46.891431       	1296 	1296         	432.767 	229.280	4.9  	23.8          	6.3  	14.9     	017     	173  	1.023470
8                       	868.3	22.6                   	31                    	3.4  	244                	-113.449249	46.891635       	1302 	1302         	433.630 	229.154	4.6  	23.7          	6.3  	14.9     	017     	198  	1.022983
9                       	867.6	22.5                   	31                    	3.6  	244                	-113.449155	46.891840       	1309 	1309         	434.513 	229.047	4.6  	23.6          	6.3  	14.9     	017     	222  	1.022496
10                      	867.0	22.4                   	31                    	3.8  	245                	-113.449062	46.892044       	1315 	1315         	435.396 	228.941	4.5  	23.5          	6.3  	14.9     	017     	247  	1.022009
11                      	866.4	22.4                   	31                    	4.0  	245                	-113.448968	46.892249       	1321 	1321         	436.279 	228.834	4.5  	23.5          	6.3  	14.9     	017     	272  	1.021523
12                      	865.8	22.3                   	31                    	4.2  	245                	-113.448874	46.892453       	1328 	1328         	437.161 	228.728	4.4  	23.4          	6.3  	14.9     	017     	296  	1.021037
13                      	865.2	22.2                   	31                    	4.4  	245                	-113.448780	46.892658       	1334 	1334         	438.052 	228.630	4.4  	23.3          	6.3  	14.9     	017     	321  	1.020588
14                      	864.6	22.1                   	31                    	4.6  	245                	-113.448686	46.892862       	1340 	1340         	438.943 	228.532	4.3  	23.2          	6.3  	14.9     	017     	346  	1.020139
15                      	864.0	22.1                   	31                    	4.8  	245                	-113.448592	46.893066       	1347 	1346         	439.835 	228.434	4.3  	23.1          	6.3  	14.9     	017     	370  	1.019690
16                      	863.4	22.0                   	31                    	5.0  	245                	-113.448490	46.893212       	1353 	1352         	440.679 	228.336	4.2  	23.1          	6.0  	15.0     	018     	389  	1.019242
17                      	862.8	21.9                   	31                    	5.2  	245                	-113.448370	46.893244       	1358 	1358         	441.429 	228.238	4.2  	23.0          	5.5  	15.6     	019     	396  	1.018794
18                      	862.2	21.9                   	31                    	5.4  	245                	-113.448250	46.893277       	1363 	1363         	442.194 	228.141	4.1  	22.9          	5.5  	16.1     	020     	404  	1.018346
19                      	861.6	21.8                   	31                    	5.6  	246                	-113.448131	46.893310       	1369 	1369         	442.973 	228.056	4.1  	22.8          	5.5  	16.5     	021     	412  	1.017955
20                      	861.1	21.7                   	31                    	5.8  	246                	-113.448011	46.893343       	1374 	1374         	443.748 	227.967	4.1  	22.8          	5.5  	17.0     	022     	420  	1.017547
21                      	860.6	21.6                   	32                    	6.0  	246                	-113.447891	46.893376       	1380 	1380         	444.505 	227.877	4.1  	22.7          	5.5  	17.4     	023     	428  	1.017119
22                      	860.0	21.6                   	32                    	6.2  	246                	-113.447772	46.893409       	1385 	1385         	445.278 	227.786	4.0  	22.6          	5.5  	17.8     	024     	437  	1.016690
23                      	859.5	21.5                   	32                    	6.4  	246                	-113.447652	46.893442       	1391 	1391         	446.052 	227.696	4.0  	22.6          	5.5  	18.2     	025     	445  	1.016262
24                      	858.9	21.5                   	32                    	6.6  	246                	-113.447532	46.893475       	1396 	1396         	446.825 	227.606	4.0  	22.5          	5.5  	18.6     	026     	454  	1.015834
