Flight Information:
Launch Date:            	     	                       	Thursday, 20 June 2019	     	                        	           	Launch Time:    	     	            	16:59:52  	          	        	End of Ascent:	     	         	01:27:14
Station name:           	     	                       	                      	     	                        	           	Number of sonde:	     	            	17045693
Ground values:
Pressure:               	     	                       	898.1 hPa             	     	                        	           	Temperature:    	     	            	10.0 °C   	          	        	Humidity:     	     	         	62 %
Wind Direction:         	     	                       	310 °                 	     	                        	           	Wind Speed:     	     	            	3 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-113.985 °            	     	                        	           	Latitude:       	     	            	46.859 °  	          	        	Altitude:     	     	         	984 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                      	     	                        	           	
Events:
Highest Point:          	     	                       	15.6 hPa              	     	                        	           	28594 m
Tropopauses:            	     	                       	1.: 371.2 hPa         	     	                        	           	2.: 134.0 hPa   	     	            	
Max Winds:              	     	                       	                      	     	                        	           	                	     	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                    	Ws   	Wd                      	Long.      	Lat.            	Alt  	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[°C]                   	[%]                   	[m/s]	[°]                     	[°]        	[°]             	[m]  	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	898.1	10.0                   	62                    	3.4  	310                     	-113.985000	46.859000       	984  	984         	403.505   	249.017   	3.1     	10.9          	0.0  	46.9     	360     	1    	1.105163
1                       	897.4	10.0                   	61                    	3.4  	310                     	-113.984971	46.859016       	991  	991         	404.285   	248.776   	2.9     	10.9          	6.5  	66.1     	047     	8    	1.104284
2                       	896.7	10.0                   	60                    	3.5  	311                     	-113.984941	46.859031       	997  	997         	405.064   	248.535   	2.6     	10.9          	6.5  	66.3     	049     	15   	1.103405
3                       	896.0	10.0                   	59                    	3.5  	311                     	-113.984912	46.859047       	1004 	1004        	405.843   	248.294   	2.4     	10.9          	6.5  	66.4     	050     	22   	1.102528
4                       	895.3	10.0                   	58                    	3.6  	312                     	-113.984883	46.859062       	1010 	1010        	406.623   	248.053   	2.2     	10.9          	6.5  	66.4     	051     	29   	1.101651
5                       	894.6	10.0                   	57                    	3.6  	312                     	-113.984854	46.859078       	1016 	1016        	407.387   	247.812   	1.9     	10.9          	6.5  	66.4     	051     	36   	1.100774
6                       	893.9	10.0                   	56                    	3.6  	313                     	-113.984824	46.859093       	1023 	1023        	408.167   	247.572   	1.7     	10.9          	6.5  	66.4     	051     	43   	1.099899
7                       	893.2	10.0                   	55                    	3.7  	313                     	-113.984795	46.859109       	1029 	1029        	409.012   	247.396   	1.4     	10.8          	6.5  	66.4     	051     	50   	1.099309
8                       	892.5	9.9                    	54                    	3.7  	313                     	-113.984766	46.859124       	1036 	1036        	409.859   	247.223   	1.1     	10.7          	6.5  	66.4     	052     	57   	1.098729
9                       	891.8	9.8                    	53                    	3.8  	314                     	-113.984736	46.859140       	1042 	1042        	410.718   	247.061   	0.8     	10.6          	6.5  	66.5     	052     	64   	1.098149
10                      	891.1	9.7                    	54                    	3.8  	314                     	-113.984707	46.859155       	1049 	1049        	411.616   	246.938   	0.8     	10.5          	6.5  	66.5     	052     	71   	1.097570
11                      	890.4	9.7                    	54                    	3.8  	315                     	-113.984678	46.859171       	1055 	1055        	412.514   	246.816   	0.8     	10.4          	6.5  	66.5     	052     	78   	1.096991
12                      	889.7	9.6                    	54                    	3.9  	315                     	-113.984649	46.859186       	1062 	1062        	413.412   	246.694   	0.7     	10.4          	6.5  	66.5     	052     	85   	1.096412
13                      	889.0	9.5                    	54                    	3.9  	315                     	-113.984619	46.859202       	1068 	1068        	414.295   	246.571   	0.7     	10.3          	6.5  	66.5     	052     	92   	1.095832
14                      	888.3	9.5                    	54                    	4.0  	316                     	-113.984590	46.859217       	1075 	1075        	415.193   	246.449   	0.6     	10.2          	6.5  	66.5     	052     	99   	1.095253
15                      	887.6	9.4                    	54                    	4.0  	316                     	-113.984561	46.859233       	1081 	1081        	416.091   	246.327   	0.6     	10.2          	6.5  	66.5     	052     	107  	1.094674
16                      	887.0	9.3                    	54                    	4.1  	316                     	-113.984515	46.859195       	1088 	1088        	416.989   	246.205   	0.6     	10.1          	6.5  	67.5     	059     	113  	1.094096
17                      	886.3	9.2                    	54                    	4.1  	317                     	-113.984469	46.859157       	1094 	1094        	417.888   	246.083   	0.5     	10.0          	6.5  	68.2     	066     	119  	1.093518
18                      	885.6	9.2                    	54                    	4.1  	317                     	-113.984422	46.859119       	1101 	1101        	418.786   	245.961   	0.5     	9.9           	6.5  	68.5     	073     	126  	1.092940
19                      	884.9	9.1                    	55                    	4.2  	317                     	-113.984376	46.859081       	1107 	1107        	419.702   	245.856   	0.5     	9.9           	6.5  	68.6     	079     	133  	1.092439
20                      	884.3	9.0                    	55                    	4.2  	318                     	-113.984330	46.859043       	1113 	1113        	420.556   	245.752   	0.4     	9.8           	6.1  	68.4     	084     	140  	1.091939
