Flight Information:
Launch Date:            	                       	Thursday, 20 June 2019	   	                        	Launch Time:    	           	17:59:34    	     	End of Ascent:	     	           	01:29:20
Station name:           	                       	                      	   	                        	Number of sonde:	           	17045985
Ground values:
Pressure:               	                       	897.7 hPa             	   	                        	Temperature:    	           	11.8 ?C     	     	Humidity:     	     	           	53 %
Wind Direction:         	                       	89 ?                  	   	                        	Wind Speed:     	           	2 m/s       	     	Cloud group:  	     	           	9////
Position:
Longitude:              	                       	-113.985 ?            	   	                        	Latitude:       	           	46.859 ?    	     	Altitude:     	     	           	984 m
Staff:
Company:                	                       	
Operator:               	                       	                      	   	                        	
Events:
Highest Point:          	                       	12.0 hPa              	   	                        	30403 m
Tropopauses:            	                       	1.: 367.0 hPa         	   	                        	2.: 99.6 hPa    	           	
Max Winds:              	                       	                      	   	                        	                	           	
Remarks:

Profile Data:
Time                    	P                      	T                     	Hu 	Ws                      	Wd              	Long.      	Lat.        	Alt  	Geopot        	Dewp.	Virt. Temp 	Rs      	D
[sec]                   	[hPa]                  	[?C]                  	[%]	[m/s]                   	[?]             	[?]        	[?]         	[m]  	[m]           	[?C] 	[?C]       	[m/s]   	[kg/m3]
0                       	897.7                  	11.8                  	53 	2.2                     	089             	-113.985000	46.859000   	984  	984           	2.6  	12.7       	0.0     	1.097692
1                       	897.0                  	11.6                  	52 	2.3                     	084             	-113.984969	46.859020   	990  	990           	2.0  	12.4       	6.2     	1.097808
2                       	896.4                  	11.3                  	50 	2.4                     	079             	-113.984939	46.859040   	997  	997           	1.4  	12.1       	6.2     	1.097925
3                       	895.7                  	11.1                  	49 	2.5                     	073             	-113.984908	46.859060   	1003 	1003          	0.8  	11.9       	6.2     	1.098043
4                       	895.0                  	10.8                  	48 	2.7                     	066             	-113.984878	46.859080   	1009 	1009          	0.3  	11.6       	6.2     	1.098161
5                       	894.4                  	10.6                  	47 	2.8                     	058             	-113.984847	46.859100   	1015 	1015          	-0.3 	11.3       	6.2     	1.098281
6                       	893.7                  	10.3                  	45 	2.9                     	050             	-113.984817	46.859119   	1022 	1021          	-0.9 	11.0       	6.2     	1.098401
7                       	893.0                  	10.2                  	44 	3.0                     	041             	-113.984786	46.859139   	1028 	1028          	-1.3 	10.9       	6.2     	1.098052
8                       	892.3                  	10.1                  	45 	3.1                     	033             	-113.984756	46.859159   	1034 	1034          	-1.3 	10.8       	6.2     	1.097538
9                       	891.7                  	10.1                  	45 	3.2                     	024             	-113.984725	46.859179   	1040 	1040          	-1.3 	10.7       	6.2     	1.097024
10                      	891.0                  	10.0                  	45 	3.3                     	017             	-113.984695	46.859199   	1046 	1046          	-1.3 	10.6       	6.2     	1.096511
