Flight Information:
Launch Date:            	     	                       	Thursday, 20 June 2019	     	                        	           	Launch Time:    	     	            	18:55:08    	       	     	End of Ascent:	     	         	01:29:19
Station name:           	     	                       	                      	     	                        	           	Number of sonde:	     	            	17045195
Ground values:
Pressure:               	     	                       	897.9 hPa             	     	                        	           	Temperature:    	     	            	11.2 ?C     	       	     	Humidity:     	     	         	55 %
Wind Direction:         	     	                       	30 ?                  	     	                        	           	Wind Speed:     	     	            	2 m/s       	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-113.985 ?            	     	                        	           	Latitude:       	     	            	46.895 ?    	       	     	Altitude:     	     	         	984 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                      	     	                        	           	
Events:
Highest Point:          	     	                       	9.8 hPa               	     	                        	           	31777 m
Tropopauses:            	     	                       	1.: 342.0 hPa         	     	                        	           	2.: 169.7 hPa   	     	            	3.: 97.8 hPa
Max Winds:              	     	                       	                      	     	                        	           	                	     	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                    	Ws   	Wd                      	Long.      	Lat.            	Alt  	Geopot      	MRI         	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[?C]                   	[%]                   	[m/s]	[?]                     	[?]        	[?]             	[m]  	[m]         	            	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]  	[kg/m3]
0                       	897.9	11.2                   	55                    	1.8  	030                     	-113.985000	46.895000       	984  	984         	402.065     	247.577	2.5  	12.1          	0.0  	46.9     	360     	1    	1.100254
1                       	897.2	10.8                   	55                    	2.0  	030                     	-113.985069	46.892668       	991  	991         	403.218     	247.710	2.2  	11.7          	6.5  	1.5      	181     	259  	1.100836
2                       	896.5	10.5                   	55                    	2.2  	030                     	-113.985139	46.890335       	997  	997         	404.372     	247.843	1.8  	11.3          	6.5  	1.5      	181     	519  	1.101420
3                       	895.8	10.1                   	55                    	2.4  	030                     	-113.985208	46.888003       	1004 	1004        	405.542     	247.977	1.4  	10.9          	6.5  	1.5      	181     	778  	1.102006
4                       	895.1	9.7                    	55                    	2.5  	030                     	-113.985278	46.885670       	1010 	1010        	406.697     	248.112	1.1  	10.5          	6.5  	1.5      	181     	1038 	1.102594
5                       	894.4	9.3                    	55                    	2.7  	030                     	-113.985347	46.883338       	1017 	1017        	407.853     	248.247	0.7  	10.1          	6.5  	1.5      	181     	1297 	1.103185
6                       	893.7	9.0                    	55                    	2.9  	030                     	-113.985416	46.881005       	1023 	1023        	409.009     	248.382	0.3  	9.7           	6.5  	1.4      	181     	1556 	1.103778
7                       	893.0	8.7                    	55                    	3.1  	030                     	-113.985486	46.878673       	1030 	1030        	410.047     	248.384	0.1  	9.5           	6.5  	1.4      	181     	1816 	1.103762
8                       	892.3	8.7                    	55                    	3.3  	030                     	-113.985555	46.876340       	1036 	1036        	410.956     	248.273	0.1  	9.4           	6.5  	1.4      	181     	2075 	1.103200
9                       	891.6	8.6                    	55                    	3.5  	030                     	-113.985624	46.874008       	1043 	1043        	411.866     	248.162	0.1  	9.3           	6.5  	1.4      	181     	2335 	1.102638
10                      	890.9	8.5                    	55                    	3.6  	030                     	-113.985694	46.871675       	1049 	1049        	412.776     	248.051	0.1  	9.2           	6.5  	1.4      	181     	2594 	1.102077
