Flight Information:
Launch Date:            	     	                       	Monday, 14 June 2021	        	                        	           	Launch Time: 	       	             	16:31:09  	          	        	End of Ascent:	     	         	01:24:27
Station name:           	     	                       	                    	        	                        	           	Serialnumber:	       	             	20028108
Ground values:
Pressure:               	     	                       	975.0 hPa           	        	                        	           	Temperature: 	       	             	22.7 °C   	          	        	Humidity:     	     	         	48 %
Wind Direction:         	     	                       	92 °                	        	                        	           	Wind Speed:  	       	             	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-113.985 °          	        	                        	           	Latitude:    	       	             	46.860 °  	          	        	Altitude:     	     	         	977 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                    	        	                        	           	
Events:
Highest Point:          	     	                       	14.8 hPa            	        	                        	           	29454 m
Tropopauses:            	     	                       	1.: 210.0 hPa       	        	                        	           	2.: 112.8 hPa	       	             	
Max Winds:              	     	                       	1.: 172.4 hPa       	        	                        	           	             	       	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                  	Ws      	Wd                      	Long.      	Lat.         	Alt    	Geopot       	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                 	[m/s]   	[°]                     	[°]        	[°]          	[m]    	[m]          	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	975.0	22.7                   	48                  	0.5     	092                     	-113.985088	46.859622    	977    	977          	411.172   	257.783   	11.1    	24.2          	0.0  	46.9     	360     	1      	1.148289
1                       	974.3	22.7                   	47                  	0.5     	088                     	-113.985074	46.859609    	983    	983          	411.879   	257.548   	10.9    	24.2          	6.0  	77.6     	133     	7      	1.147373
2                       	973.7	22.8                   	47                  	0.5     	084                     	-113.985061	46.859597    	989    	989          	412.570   	257.313   	10.7    	24.3          	6.0  	76.0     	138     	13     	1.146458
3                       	973.0	22.8                   	46                  	0.6     	078                     	-113.985048	46.859585    	995    	995          	413.277   	257.078   	10.5    	24.3          	6.0  	75.4     	140     	19     	1.145543
4                       	972.3	22.8                   	45                  	0.6     	071                     	-113.985034	46.859573    	1001   	1001         	413.985   	256.843   	10.3    	24.3          	6.0  	75.2     	141     	25     	1.144630
5                       	971.7	22.9                   	44                  	0.6     	064                     	-113.985021	46.859561    	1007   	1007         	414.692   	256.609   	10.1    	24.3          	6.0  	75.0     	141     	31     	1.143717
6                       	971.0	22.9                   	44                  	0.6     	055                     	-113.985007	46.859549    	1013   	1013         	415.384   	256.375   	9.9     	24.3          	6.0  	74.8     	141     	38     	1.142805
7                       	970.3	22.9                   	43                  	0.7     	046                     	-113.984994	46.859537    	1019   	1019         	416.102   	256.150   	9.7     	24.3          	6.0  	74.8     	142     	44     	1.141921
8                       	969.7	22.9                   	43                  	0.7     	036                     	-113.984981	46.859525    	1025   	1025         	416.913   	256.020   	9.7     	24.3          	6.0  	74.7     	142     	50     	1.141302
9                       	969.0	22.8                   	43                  	0.7     	026                     	-113.984967	46.859513    	1031   	1031         	417.709   	255.889   	9.7     	24.2          	6.0  	74.6     	142     	56     	1.140684
10                      	968.3	22.8                   	43                  	0.7     	017                     	-113.984954	46.859501    	1037   	1037         	418.520   	255.758   	9.7     	24.2          	6.0  	74.6     	142     	62     	1.140066
11                      	967.7	22.8                   	44                  	0.8     	009                     	-113.984941	46.859489    	1043   	1043         	419.332   	255.628   	9.8     	24.2          	6.0  	74.6     	142     	69     	1.139448
12                      	967.0	22.7                   	44                  	0.8     	002                     	-113.984927	46.859477    	1049   	1049         	420.127   	255.497   	9.8     	24.1          	6.0  	74.5     	142     	75     	1.138831
13                      	966.4	22.7                   	44                  	0.8     	356                     	-113.984914	46.859465    	1055   	1055         	420.939   	255.367   	9.8     	24.1          	6.0  	74.5     	142     	81     	1.138214
14                      	965.7	22.6                   	44                  	0.8     	351                     	-113.984900	46.859453    	1061   	1061         	421.750   	255.236   	9.8     	24.0          	6.0  	74.5     	142     	87     	1.137597
15                      	965.0	22.6                   	44                  	0.9     	347                     	-113.984887	46.859441    	1067   	1067         	422.562   	255.106   	9.8     	24.0          	6.0  	74.5     	142     	93     	1.136980
16                      	964.4	22.5                   	44                  	0.9     	343                     	-113.984874	46.859429    	1073   	1073         	423.358   	254.976   	9.8     	24.0          	6.0  	74.5     	142     	100    	1.136363
17                      	963.7	22.5                   	45                  	0.9     	340                     	-113.984867	46.859424    	1079   	1078         	424.170   	254.845   	9.8     	23.9          	6.0  	74.9     	142     	106    	1.135747
18                      	963.0	22.5                   	45                  	0.9     	338                     	-113.984862	46.859421    	1085   	1084         	424.982   	254.715   	9.9     	23.9          	6.0  	75.5     	142     	111    	1.135132
19                      	962.4	22.4                   	45                  	0.9     	336                     	-113.984858	46.859419    	1090   	1090         	425.780   	254.587   	9.9     	23.8          	5.9  	76.1     	142     	117    	1.134525
20                      	961.7	22.4                   	45                  	1.0     	334                     	-113.984854	46.859417    	1096   	1096         	426.588   	254.469   	9.9     	23.8          	5.9  	76.5     	141     	123    	1.133965
21                      	961.1	22.3                   	45                  	1.0     	332                     	-113.984849	46.859415    	1102   	1102         	427.401   	254.356   	9.8     	23.7          	5.9  	77.0     	141     	129    	1.133429
22                      	960.4	22.2                   	45                  	1.0     	331                     	-113.984845	46.859412    	1108   	1108         	428.198   	254.242   	9.8     	23.7          	5.9  	77.4     	141     	135    	1.132894
23                      	959.8	22.2                   	45                  	1.0     	329                     	-113.984841	46.859410    	1114   	1114         	429.012   	254.129   	9.8     	23.6          	5.9  	77.7     	141     	141    	1.132359
24                      	959.1	22.1                   	45                  	1.1     	328                     	-113.984836	46.859408    	1120   	1120         	429.825   	254.016   	9.8     	23.5          	5.9  	78.1     	141     	146    	1.131824
25                      	958.5	22.1                   	46                  	1.1     	327                     	-113.984832	46.859405    	1126   	1126         	430.638   	253.903   	9.8     	23.5          	5.9  	78.4     	140     	152    	1.131289
26                      	957.8	22.0                   	46                  	1.1     	326                     	-113.984828	46.859403    	1132   	1132         	431.451   	253.790   	9.8     	23.4          	5.9  	78.7     	140     	158    	1.130755
27                      	957.2	21.9                   	46                  	1.1     	325                     	-113.984823	46.859401    	1138   	1137         	432.265   	253.677   	9.8     	23.3          	5.9  	78.9     	140     	164    	1.130221
28                      	956.5	21.9                   	46                  	1.2     	325                     	-113.984819	46.859398    	1143   	1143         	433.078   	253.564   	9.7     	23.3          	5.9  	79.2     	140     	170    	1.129687
29                      	955.9	21.8                   	46                  	1.2     	324                     	-113.984815	46.859396    	1149   	1149         	433.891   	253.451   	9.7     	23.2          	5.9  	79.4     	140     	176    	1.129153
30                      	955.2	21.8                   	46                  	1.2     	323                     	-113.984810	46.859394    	1155   	1155         	434.705   	253.338   	9.7     	23.2          	5.9  	79.6     	140     	182    	1.128620
31                      	954.6	21.7                   	46                  	1.2     	323                     	-113.984806	46.859392    	1161   	1161         	435.518   	253.226   	9.7     	23.1          	5.9  	79.8     	140     	187    	1.128086
32                      	953.9	21.6                   	46                  	1.1     	322                     	-113.984802	46.859389    	1167   	1167         	436.316   	253.113   	9.7     	23.0          	5.9  	80.0     	139     	193    	1.127553
33                      	953.3	21.6                   	47                  	1.1     	322                     	-113.984797	46.859387    	1173   	1173         	437.129   	253.000   	9.7     	23.0          	5.9  	80.2     	139     	199    	1.127018
34                      	952.6	21.5                   	47                  	1.1     	322                     	-113.984793	46.859385    	1179   	1179         	437.942   	252.886   	9.6     	22.9          	5.9  	80.4     	139     	205    	1.126483
35                      	952.0	21.5                   	47                  	1.1     	321                     	-113.984789	46.859382    	1185   	1185         	438.755   	252.772   	9.6     	22.9          	5.9  	80.5     	139     	211    	1.125948
36                      	951.4	21.4                   	47                  	1.0     	320                     	-113.984785	46.859380    	1191   	1190         	439.567   	252.659   	9.6     	22.8          	5.9  	80.7     	139     	217    	1.125414
37                      	950.7	21.3                   	47                  	1.0     	320                     	-113.984780	46.859378    	1196   	1196         	440.380   	252.545   	9.6     	22.7          	5.9  	80.8     	139     	223    	1.124878
38                      	950.1	21.3                   	47                  	1.0     	319                     	-113.984776	46.859375    	1202   	1202         	441.193   	252.431   	9.6     	22.7          	5.9  	80.9     	139     	229    	1.124343
