Flight Information:
Launch Date:            	     	                       	Wednesday, 08 June 2022	     	                   	           	Launch Time: 	     	            	19:01:29	       	     	End of Ascent:	     	         	01:35:44
Station name:           	     	                       	                       	     	                   	           	Serialnumber:	     	            	20054432
Ground values:
Pressure:               	     	                       	906.0 hPa              	     	                   	           	Temperature: 	     	            	17.3 °C 	       	     	Humidity:     	     	         	63 %
Wind Direction:         	     	                       	170 °                  	     	                   	           	Wind Speed:  	     	            	1 m/s   	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-113.985 °             	     	                   	           	Latitude:    	     	            	46.860 °	       	     	Altitude:     	     	         	877 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                       	     	                   	           	
Events:
Highest Point:          	     	                       	8.2 hPa                	     	                   	           	32858 m
Tropopauses:            	     	                       	1.: 206.0 hPa          	     	                   	           	             	     	            	
Max Winds:              	     	                       	1.: 188.1 hPa          	     	                   	           	             	     	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                     	Ws   	Wd                 	Long.      	Lat.         	Alt  	Geopot      	MRI     	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[°C]                   	[%]                    	[m/s]	[°]                	[°]        	[°]          	[m]  	[m]         	        	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	906.0	17.3                   	63                     	0.7  	170                	-113.985002	46.859636    	877  	877         	382.532 	244.843	10.2 	18.8          	0.0  	46.9     	000     	1    	1.086863
1                       	904.7	17.2                   	64                     	0.8  	163                	-113.985040	46.859649    	889  	889         	384.209 	244.651	10.2 	18.7          	11.9 	74.3     	301     	13   	1.085879
2                       	903.5	17.0                   	64                     	0.8  	156                	-113.985079	46.859661    	901  	901         	385.901 	244.460	10.2 	18.5          	11.9 	74.5     	299     	25   	1.084897
3                       	902.2	16.9                   	65                     	0.9  	149                	-113.985118	46.859674    	913  	913         	387.579 	244.269	10.2 	18.4          	11.9 	74.5     	298     	38   	1.083915
4                       	900.9	16.7                   	65                     	1.0  	143                	-113.985157	46.859687    	925  	925         	389.256 	244.078	10.2 	18.2          	11.9 	74.6     	297     	50   	1.082935
5                       	899.7	16.6                   	66                     	1.1  	138                	-113.985195	46.859700    	937  	937         	390.950 	243.888	10.2 	18.1          	11.9 	74.6     	297     	62   	1.081955
6                       	898.4	16.4                   	66                     	1.1  	133                	-113.985234	46.859712    	949  	949         	392.628 	243.698	10.2 	18.0          	11.9 	74.6     	297     	75   	1.080977
7                       	897.2	16.3                   	67                     	1.2  	129                	-113.985273	46.859725    	961  	961         	394.321 	243.507	10.2 	17.8          	11.9 	74.6     	296     	87   	1.079995
8                       	895.9	16.2                   	67                     	1.3  	125                	-113.985312	46.859738    	973  	973         	395.976 	243.294	10.0 	17.7          	11.9 	74.6     	296     	99   	1.079015
9                       	894.7	16.0                   	67                     	1.3  	122                	-113.985351	46.859751    	984  	984         	397.627 	243.076	9.9  	17.5          	11.9 	74.6     	296     	112  	1.078036
10                      	893.4	15.9                   	67                     	1.4  	119                	-113.985389	46.859764    	996  	996         	399.294 	242.859	9.7  	17.3          	11.9 	74.6     	296     	124  	1.077058
11                      	892.2	15.7                   	67                     	1.5  	117                	-113.985428	46.859776    	1008 	1008        	400.945 	242.642	9.6  	17.2          	11.9 	74.6     	296     	137  	1.076081
12                      	890.9	15.6                   	67                     	1.6  	114                	-113.985467	46.859789    	1020 	1020        	402.597 	242.425	9.4  	17.0          	11.9 	74.6     	296     	149  	1.075105
13                      	889.6	15.4                   	67                     	1.6  	112                	-113.985506	46.859802    	1032 	1032        	404.263 	242.208	9.3  	16.9          	11.9 	74.6     	296     	161  	1.074125
14                      	888.4	15.3                   	67                     	1.7  	111                	-113.985544	46.859815    	1044 	1044        	405.914 	241.991	9.1  	16.7          	11.9 	74.6     	296     	174  	1.073147
15                      	887.1	15.2                   	67                     	1.8  	109                	-113.985578	46.859823    	1056 	1056        	407.566 	241.774	9.0  	16.6          	11.9 	74.8     	296     	186  	1.072170
16                      	885.9	15.0                   	67                     	1.8  	108                	-113.985604	46.859826    	1068 	1068        	409.233 	241.557	8.8  	16.4          	11.9 	75.1     	295     	198  	1.071193
17                      	884.7	14.9                   	66                     	1.9  	106                	-113.985630	46.859830    	1080 	1080        	410.885 	241.341	8.7  	16.3          	11.9 	75.5     	295     	210  	1.070219
18                      	883.4	14.7                   	66                     	2.0  	105                	-113.985657	46.859833    	1092 	1092        	412.537 	241.124	8.6  	16.1          	11.9 	75.7     	294     	222  	1.069245
19                      	882.7	14.6                   	66                     	2.1  	104                	-113.985683	46.859836    	1101 	1101        	413.939 	241.050	8.4  	15.9          	9.3  	75.8     	294     	232  	1.068910
20                      	882.0	14.4                   	66                     	2.1  	103                	-113.985710	46.859840    	1108 	1108        	414.858 	240.981	8.3  	15.8          	6.4  	75.7     	293     	238  	1.068577
21                      	881.3	14.3                   	67                     	2.2  	102                	-113.985736	46.859843    	1114 	1114        	415.795 	240.913	8.2  	15.6          	6.4  	75.7     	293     	245  	1.068243
22                      	880.6	14.2                   	67                     	2.3  	101                	-113.985762	46.859846    	1120 	1120        	416.716 	240.845	8.0  	15.5          	6.4  	75.6     	292     	252  	1.067910
23                      	879.8	14.0                   	67                     	2.3  	101                	-113.985789	46.859850    	1127 	1127        	417.653 	240.777	7.9  	15.3          	6.4  	75.5     	292     	258  	1.067577
24                      	879.1	13.9                   	67                     	2.4  	100                	-113.985815	46.859853    	1133 	1133        	418.574 	240.709	7.8  	15.2          	6.4  	75.4     	292     	265  	1.067244
25                      	878.5	13.7                   	67                     	2.5  	099                	-113.985842	46.859856    	1139 	1139        	419.525 	240.654	7.7  	15.0          	6.4  	75.3     	291     	272  	1.066972
26                      	877.8	13.6                   	67                     	2.6  	099                	-113.985868	46.859860    	1146 	1146        	420.459 	240.600	7.6  	14.9          	6.4  	75.3     	291     	278  	1.066700
27                      	877.1	13.4                   	67                     	2.6  	098                	-113.985894	46.859863    	1152 	1152        	421.410 	240.546	7.4  	14.7          	6.4  	75.2     	291     	285  	1.066428
28                      	876.5	13.3                   	67                     	2.7  	098                	-113.985921	46.859866    	1158 	1158        	422.345 	240.492	7.3  	14.6          	6.4  	75.1     	290     	291  	1.066156
29                      	875.8	13.2                   	67                     	2.7  	097                	-113.985947	46.859869    	1165 	1165        	423.295 	240.437	7.2  	14.4          	6.4  	75.1     	290     	298  	1.065885
30                      	875.2	13.0                   	67                     	2.8  	097                	-113.985973	46.859873    	1171 	1171        	424.246 	240.383	7.1  	14.3          	6.4  	75.0     	290     	305  	1.065614
31                      	874.5	12.9                   	67                     	2.8  	097                	-113.986000	46.859876    	1177 	1177        	425.181 	240.329	6.9  	14.1          	6.4  	75.0     	290     	311  	1.065341
32                      	873.8	12.7                   	67                     	2.7  	098                	-113.986026	46.859879    	1184 	1184        	426.131 	240.274	6.8  	13.9          	6.4  	74.9     	289     	318  	1.065069
33                      	873.2	12.6                   	67                     	2.7  	099                	-113.986053	46.859883    	1190 	1190        	427.065 	240.219	6.7  	13.8          	6.4  	74.9     	289     	325  	1.064796
34                      	872.5	12.4                   	67                     	2.7  	100                	-113.986079	46.859886    	1197 	1196        	428.014 	240.164	6.6  	13.6          	6.4  	74.8     	289     	331  	1.064524
