Flight Information:
Launch Date:       	                        	                        	Wednesday, 15 June 2022	   	                   	   	Launch Time: 	         	    	17:33:19    	        	       	End of Ascent:	           	     	         	00:25:30
Station name:      	                        	                        	                       	   	                   	   	Serialnumber:	         	    	20054087
Ground Values:
Pressure:          	                        	                        	905.8 hPa              	   	                   	   	Temperature: 	         	    	10.9 °C     	        	       	Humidity:     	           	     	         	61 %
Wind direction:    	                        	                        	11 °                   	   	                   	   	Wind speed:  	         	    	1 m/s       	        	       	Cloud group:  	           	     	         	9////
Position:
Longitude:         	                        	                        	-113.985 °             	   	                   	   	Latitude:    	         	    	46.860 °    	        	       	Altitude:     	           	     	         	981 m
Staff:
Company:           	                        	                        	
Operator:          	                        	                        	                       	   	                   	   	
Events:
Highest Point:     	                        	                        	298.5 hPa              	   	                   	   	9416 m
Tropopauses:       	                        	                        	                       	   	                   	   	             	         	    	
Max Winds:         	                        	                        	1.: 314.9 hPa          	   	                   	   	             	         	    	
Remarks:

Profile Data:
Time               	UTC Time                	P                       	T                      	Hu 	Ws                 	Wd 	Long.        	Lat.     	Alt 	Geopot      	MRI     	RI     	Dewp.         	Virt. Temp 	Rs   	Elevation	Azimuth 	Range	D
[sec]              	[HH:mm:ss]              	[hPa]                   	[°C]                   	[%]	[m/s]              	[°]	[°]          	[°]      	[m] 	[m]         	        	       	[°C]          	[°C]       	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                  	17:33:19                	905.8                   	10.9                   	61 	0.5                	011	-113.984873  	46.859556	981 	981         	404.294 	250.277	3.7           	11.8       	0.0  	46.9     	360     	1    	1.111106
1                  	17:33:20                	904.8                   	12.2                   	57 	3.5                	257	-113.984799  	46.859571	994 	994         	404.730 	248.672	4.1           	13.2       	13.0 	66.0     	071     	15   	1.104746
2                  	17:33:21                	903.8                   	12.8                   	54 	3.5                	257	-113.984725  	46.859585	1007	1007        	405.880 	247.766	3.7           	13.7       	13.0 	66.0     	072     	29   	1.101450
3                  	17:33:22                	902.9                   	12.8                   	50 	3.5                	257	-113.984651  	46.859600	1020	1020        	407.508 	247.352	2.7           	13.6       	13.0 	65.9     	073     	43   	1.100318
4                  	17:33:23                	901.9                   	12.6                   	44 	3.5                	257	-113.984578  	46.859614	1026	1026        	407.958 	246.907	0.9           	13.4       	5.7  	62.5     	073     	51   	1.099522
5                  	17:33:24                	900.9                   	12.5                   	45 	3.5                	257	-113.984504  	46.859629	1031	1031        	408.639 	246.819	0.9           	13.2       	4.9  	59.6     	073     	58   	1.099016
6                  	17:33:25                	899.9                   	12.3                   	46 	3.6                	259	-113.984430  	46.859643	1036	1036        	409.317 	246.744	1.2           	13.1       	4.9  	57.3     	073     	65   	1.098384
7                  	17:33:26                	899.3                   	12.3                   	48 	6.0                	276	-113.984356  	46.859658	1040	1040        	410.022 	246.679	1.5           	13.1       	4.9  	55.5     	074     	73   	1.097848
8                  	17:33:27                	898.6                   	12.2                   	48 	6.0                	276	-113.984282  	46.859672	1046	1045        	410.687 	246.543	1.6           	13.1       	5.1  	54.1     	074     	80   	1.097142
9                  	17:33:28                	898.0                   	12.2                   	48 	6.0                	276	-113.984208  	46.859687	1052	1052        	411.553 	246.405	1.6           	13.0       	6.5  	53.5     	074     	89   	1.096496
10                 	17:33:29                	897.4                   	12.1                   	48 	6.0                	276	-113.984135  	46.859701	1058	1058        	412.463 	246.294	1.5           	13.0       	6.5  	53.0     	074     	97   	1.095984
11                 	17:33:30                	896.7                   	12.1                   	48 	6.0                	276	-113.984061  	46.859716	1065	1065        	413.381 	246.192	1.5           	12.9       	6.5  	52.6     	074     	106  	1.095463
12                 	17:33:31                	896.1                   	12.1                   	49 	6.0                	276	-113.983987  	46.859730	1071	1071        	414.229 	246.035	1.6           	12.9       	6.5  	52.2     	074     	115  	1.094696
13                 	17:33:32                	895.4                   	12.1                   	49 	6.0                	276	-113.983913  	46.859745	1078	1078        	415.041 	245.827	1.7           	12.9       	6.5  	51.9     	074     	124  	1.093712
14                 	17:33:33                	894.7                   	12.1                   	49 	6.0                	276	-113.983839  	46.859759	1084	1084        	415.849 	245.630	1.8           	13.0       	6.4  	51.6     	074     	132  	1.092789
15                 	17:33:34                	894.1                   	12.1                   	49 	6.0                	276	-113.983767  	46.859773	1090	1090        	416.662 	245.485	1.8           	12.9       	6.1  	51.3     	074     	141  	1.092117
16                 	17:33:35                	893.4                   	12.0                   	49 	6.0                	276	-113.983711  	46.859779	1096	1096        	417.520 	245.385	1.7           	12.8       	6.1  	51.5     	074     	148  	1.091687
17                 	17:33:36                	892.7                   	11.9                   	49 	6.0                	276	-113.983654  	46.859785	1103	1103        	418.412 	245.304	1.5           	12.7       	6.1  	51.7     	074     	156  	1.091352
18                 	17:33:37                	892.1                   	11.8                   	49 	5.9                	276	-113.983598  	46.859792	1109	1109        	419.276 	245.210	1.4           	12.6       	6.1  	51.8     	075     	163  	1.090958
19                 	17:33:38                	891.5                   	11.7                   	49 	5.7                	273	-113.983541  	46.859798	1115	1115        	420.147 	245.123	1.3           	12.5       	6.1  	51.9     	075     	171  	1.090573
