Flight Information:
Launch Date:       	                        	                       	Wednesday, 22 June 2022	   	                   	   	Launch Time: 	         	     	15:48:52    	        	       	End of Ascent:	           	     	         	02:20:49
Station name:      	                        	                       	                       	   	                   	   	Serialnumber:	         	     	20051194
Ground Values:
Pressure:          	                        	                       	909.5 hPa              	   	                   	   	Temperature: 	         	     	15.4 °C     	        	       	Humidity:     	           	     	         	58 %
Wind direction:    	                        	                       	14 °                   	   	                   	   	Wind speed:  	         	     	1 m/s       	        	       	Cloud group:  	           	     	         	9////
Position:
Longitude:         	                        	                       	-113.985 °             	   	                   	   	Latitude:    	         	     	46.860 °    	        	       	Altitude:     	           	     	         	981 m
Staff:
Company:           	                        	                       	
Operator:          	                        	                       	                       	   	                   	   	
Events:
Highest Point:     	                        	                       	6.4 hPa                	   	                   	   	34602 m
Tropopauses:       	                        	                       	1.: 184.4 hPa          	   	                   	   	             	         	     	
Max Winds:         	                        	                       	                       	   	                   	   	             	         	     	
Remarks:

Profile Data:
Time               	UTC Time                	P                      	T                      	Hu 	Ws                 	Wd 	Long.        	Lat.     	Alt  	Geopot      	MRI     	RI     	Dewp.         	Virt. Temp 	Rs   	Elevation	Azimuth 	Range	D
[sec]              	[HH:mm:ss]              	[hPa]                  	[°C]                   	[%]	[m/s]              	[°]	[°]          	[°]      	[m]  	[m]         	        	       	[°C]          	[°C]       	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                  	15:48:52                	909.5                  	15.4                   	58 	0.7                	014	-113.984996  	46.859562	981  	981         	401.177 	247.191	7.2           	16.6       	0.0  	43.8     	360     	1    	1.098246
1                  	15:48:53                	908.9                  	16.8                   	56 	2.0                	341	-113.984993  	46.859561	986  	986         	400.611 	245.762	7.9           	18.0       	5.5  	86.4     	040     	6    	1.092380
2                  	15:48:54                	908.3                  	16.7                   	54 	2.0                	341	-113.984990  	46.859560	992  	992         	401.320 	245.592	7.2           	17.9       	5.5  	87.4     	068     	11   	1.092051
3                  	15:48:55                	907.7                  	16.5                   	52 	2.0                	341	-113.984987  	46.859559	997  	997         	402.065 	245.474	6.5           	17.7       	5.5  	87.5     	082     	17   	1.091914
4                  	15:48:56                	907.2                  	16.5                   	53 	2.0                	341	-113.984983  	46.859558	1003 	1003        	402.872 	245.417	6.8           	17.6       	5.4  	87.5     	089     	22   	1.091425
5                  	15:48:57                	906.6                  	16.4                   	54 	2.0                	341	-113.984980  	46.859558	1008 	1008        	403.690 	245.387	7.2           	17.6       	5.4  	87.5     	093     	28   	1.090934
6                  	15:48:58                	906.0                  	16.3                   	55 	2.0                	341	-113.984977  	46.859557	1014 	1014        	404.469 	245.318	7.4           	17.6       	5.4  	87.5     	096     	33   	1.090468
7                  	15:48:59                	905.4                  	16.3                   	55 	1.8                	350	-113.984974  	46.859556	1019 	1019        	405.248 	245.233	7.3           	17.5       	5.4  	87.5     	098     	39   	1.090080
8                  	15:49:00                	904.9                  	16.2                   	55 	1.7                	351	-113.984971  	46.859555	1025 	1025        	405.999 	245.137	7.2           	17.4       	5.4  	87.5     	100     	44   	1.089656
9                  	15:49:01                	904.3                  	16.1                   	55 	1.7                	353	-113.984968  	46.859554	1030 	1030        	406.712 	245.034	7.1           	17.4       	5.2  	87.4     	101     	49   	1.089196
10                 	15:49:02                	903.8                  	16.1                   	55 	1.7                	353	-113.984964  	46.859554	1035 	1035        	407.405 	244.926	7.2           	17.3       	5.1  	87.4     	102     	55   	1.088670
11                 	15:49:03                	903.2                  	16.1                   	56 	1.7                	353	-113.984961  	46.859553	1040 	1040        	408.056 	244.791	7.2           	17.3       	5.1  	87.4     	103     	60   	1.088003
12                 	15:49:04                	902.7                  	16.1                   	56 	1.7                	355	-113.984958  	46.859552	1045 	1045        	408.687 	244.622	7.3           	17.4       	5.1  	87.4     	103     	65   	1.087204
13                 	15:49:05                	902.2                  	16.2                   	56 	1.7                	355	-113.984955  	46.859551	1050 	1050        	409.331 	244.481	7.4           	17.4       	5.1  	87.3     	104     	70   	1.086552
14                 	15:49:06                	901.7                  	16.1                   	56 	1.7                	355	-113.984952  	46.859550	1055 	1055        	410.047 	244.396	7.3           	17.4       	5.1  	87.3     	104     	75   	1.086175
15                 	15:49:07                	901.3                  	16.0                   	56 	1.7                	355	-113.984949  	46.859550	1060 	1060        	410.670 	244.329	7.2           	17.3       	4.4  	87.3     	105     	79   	1.085897
16                 	15:49:08                	900.8                  	16.0                   	56 	1.7                	355	-113.984942  	46.859545	1064 	1064        	411.222 	244.253	7.1           	17.2       	4.0  	87.0     	109     	83   	1.085596
17                 	15:49:09                	900.3                  	15.9                   	55 	1.7                	355	-113.984935  	46.859540	1068 	1068        	411.756 	244.158	7.0           	17.1       	4.0  	86.7     	114     	87   	1.085199
18                 	15:49:10                	899.8                  	15.9                   	55 	1.6                	354	-113.984928  	46.859535	1072 	1072        	412.285 	244.059	7.0           	17.1       	4.0  	86.4     	117     	91   	1.084762
19                 	15:49:11                	899.5                  	15.9                   	55 	1.1                	344	-113.984921  	46.859530	1076 	1076        	412.842 	243.988	6.9           	17.1       	4.0  	86.1     	119     	95   	1.084440
20                 	15:49:12                	899.2                  	15.8                   	55 	0.9                	336	-113.984914  	46.859525	1080 	1080        	413.419 	243.938	6.9           	17.0       	4.0  	85.8     	121     	99   	1.084205
21                 	15:49:13                	898.8                  	15.8                   	55 	0.7                	326	-113.984907  	46.859520	1083 	1083        	413.867 	243.899	6.9           	17.0       	3.1  	85.5     	122     	102  	1.084015
22                 	15:49:14                	898.5                  	15.7                   	55 	0.7                	318	-113.984900  	46.859514	1085 	1085        	414.249 	243.872	6.8           	16.9       	2.6  	85.2     	124     	105  	1.083877
23                 	15:49:15                	898.2                  	15.6                   	56 	0.6                	312	-113.984893  	46.859509	1088 	1088        	414.624 	243.840	6.8           	16.8       	2.6  	84.9     	125     	108  	1.083716
24                 	15:49:16                	897.8                  	15.6                   	56 	0.6                	308	-113.984886  	46.859504	1091 	1090        	415.000 	243.791	6.7           	16.8       	2.6  	84.6     	126     	111  	1.083490
25                 	15:49:17                	897.5                  	15.6                   	56 	0.6                	297	-113.984879  	46.859499	1093 	1093        	415.331 	243.715	6.7           	16.7       	2.6  	84.4     	126     	113  	1.083138
26                 	15:49:18                	897.1                  	15.5                   	56 	0.6                	297	-113.984872  	46.859494	1096 	1096        	415.697 	243.641	6.7           	16.7       	2.9  	84.1     	127     	116  	1.082797
27                 	15:49:19                	896.7                  	15.5                   	56 	0.6                	292	-113.984865  	46.859489	1100 	1100        	416.279 	243.579	6.7           	16.7       	4.1  	84.0     	128     	120  	1.082502
28                 	15:49:20                	896.3                  	15.4                   	56 	0.5                	287	-113.984858  	46.859484	1104 	1104        	416.858 	243.515	6.6           	16.6       	4.1  	83.8     	128     	124  	1.082195
29                 	15:49:21                	895.9                  	15.4                   	56 	0.7                	249	-113.984851  	46.859478	1108 	1108        	417.423 	243.436	6.7           	16.6       	4.1  	83.7     	129     	129  	1.081819
30                 	15:49:22                	895.5                  	15.4                   	56 	0.7                	249	-113.984844  	46.859473	1112 	1112        	417.975 	243.344	6.7           	16.6       	4.1  	83.5     	129     	133  	1.081388
31                 	15:49:23                	895.1                  	15.4                   	56 	0.7                	253	-113.984837  	46.859468	1116 	1116        	418.513 	243.238	6.7           	16.6       	4.1  	83.4     	129     	137  	1.080890
32                 	15:49:24                	894.7                  	15.4                   	56 	0.7                	266	-113.984830  	46.859463	1121 	1121        	419.072 	243.138	6.7           	16.6       	4.1  	83.3     	130     	141  	1.080417
33                 	15:49:25                	894.2                  	15.4                   	56 	0.7                	274	-113.984823  	46.859458	1125 	1125        	419.623 	243.045	6.7           	16.6       	4.1  	83.2     	130     	145  	1.079981
34                 	15:49:26                	893.8                  	15.3                   	56 	0.7                	278	-113.984816  	46.859453	1129 	1129        	420.179 	242.958	6.7           	16.5       	4.1  	83.1     	130     	149  	1.079563
35                 	15:49:27                	893.4                  	15.3                   	56 	0.7                	282	-113.984809  	46.859448	1133 	1133        	420.737 	242.872	6.7           	16.5       	4.1  	82.9     	131     	154  	1.079151
36                 	15:49:28                	892.9                  	15.3                   	57 	0.7                	286	-113.984801  	46.859443	1137 	1137        	421.298 	242.789	6.7           	16.5       	4.1  	82.9     	131     	158  	1.078755
37                 	15:49:29                	892.5                  	15.2                   	57 	0.7                	286	-113.984794  	46.859437	1141 	1141        	421.891 	242.723	6.7           	16.4       	4.1  	82.8     	131     	162  	1.078430
38                 	15:49:30                	892.2                  	15.2                   	57 	0.8                	288	-113.984787  	46.859432	1145 	1145        	422.407 	242.658	6.7           	16.4       	3.8  	82.7     	131     	166  	1.078113
39                 	15:49:31                	891.8                  	15.1                   	57 	0.8                	288	-113.984780  	46.859427	1149 	1148        	422.907 	242.592	6.7           	16.3       	3.6  	82.5     	132     	169  	1.077793
40                 	15:49:32                	891.4                  	15.1                   	57 	0.8                	288	-113.984773  	46.859422	1152 	1152        	423.390 	242.526	6.7           	16.3       	3.6  	82.4     	132     	173  	1.077466
41                 	15:49:33                	891.0                  	15.1                   	57 	0.8                	288	-113.984766  	46.859417	1156 	1156        	423.885 	242.455	6.7           	16.3       	3.6  	82.3     	132     	177  	1.077116
42                 	15:49:34                	890.6                  	15.1                   	57 	0.8                	292	-113.984759  	46.859412	1159 	1159        	424.348 	242.369	6.7           	16.3       	3.6  	82.2     	132     	180  	1.076704
43                 	15:49:35                	890.2                  	15.1                   	57 	0.8                	292	-113.984752  	46.859407	1163 	1163        	424.825 	242.281	6.7           	16.3       	3.6  	82.2     	132     	184  	1.076287
44                 	15:49:36                	889.9                  	15.0                   	58 	0.9                	295	-113.984745  	46.859401	1166 	1166        	425.293 	242.199	6.7           	16.2       	3.5  	82.1     	132     	188  	1.075893
45                 	15:49:37                	889.5                  	15.0                   	58 	0.9                	303	-113.984738  	46.859396	1170 	1170        	425.782 	242.139	6.7           	16.2       	3.5  	82.0     	132     	191  	1.075590
46                 	15:49:38                	889.1                  	15.0                   	58 	0.9                	306	-113.984739  	46.859389	1173 	1173        	426.271 	242.079	6.7           	16.2       	3.5  	82.0     	134     	195  	1.075292
47                 	15:49:39                	888.8                  	14.9                   	58 	0.9                	311	-113.984744  	46.859380	1177 	1177        	426.788 	242.031	6.7           	16.1       	3.5  	82.0     	136     	198  	1.075047
48                 	15:49:40                	888.4                  	14.8                   	58 	1.0                	315	-113.984749  	46.859372	1180 	1180        	427.301 	241.994	6.7           	16.0       	3.5  	82.0     	138     	202  	1.074852
49                 	15:49:41                	888.0                  	14.8                   	58 	1.1                	321	-113.984753  	46.859364	1184 	1184        	427.809 	241.952	6.6           	16.0       	3.5  	82.0     	139     	205  	1.074631
50                 	15:49:42                	887.6                  	14.7                   	58 	1.2                	324	-113.984758  	46.859355	1188 	1188        	428.354 	241.901	6.6           	15.9       	3.8  	82.0     	141     	209  	1.074372
51                 	15:49:43                	887.2                  	14.6                   	58 	1.3                	326	-113.984762  	46.859347	1192 	1192        	428.921 	241.840	6.6           	15.8       	4.0  	82.0     	143     	213  	1.074070
52                 	15:49:44                	886.8                  	14.6                   	59 	1.4                	331	-113.984767  	46.859338	1196 	1196        	429.483 	241.774	6.6           	15.8       	4.0  	82.1     	144     	217  	1.073750
53                 	15:49:45                	886.3                  	14.6                   	59 	1.4                	333	-113.984772  	46.859330	1200 	1200        	430.043 	241.705	6.6           	15.8       	4.0  	82.0     	146     	221  	1.073412
54                 	15:49:46                	885.9                  	14.5                   	59 	1.5                	334	-113.984776  	46.859322	1204 	1204        	430.601 	241.636	6.6           	15.7       	4.0  	82.0     	148     	225  	1.073071
55                 	15:49:47                	885.5                  	14.5                   	59 	1.6                	335	-113.984781  	46.859313	1208 	1208        	431.161 	241.568	6.6           	15.7       	4.0  	82.0     	149     	229  	1.072743
56                 	15:49:48                	885.1                  	14.4                   	59 	1.7                	337	-113.984785  	46.859305	1212 	1211        	431.709 	241.503	6.5           	15.6       	3.9  	82.0     	150     	233  	1.072429
57                 	15:49:49                	884.7                  	14.4                   	59 	1.7                	341	-113.984790  	46.859296	1215 	1215        	432.212 	241.426	6.5           	15.6       	3.7  	82.0     	152     	237  	1.072067
58                 	15:49:50                	884.3                  	14.4                   	59 	1.7                	344	-113.984795  	46.859288	1219 	1219        	432.710 	241.327	6.5           	15.6       	3.7  	81.9     	153     	241  	1.071633
59                 	15:49:51                	883.9                  	14.4                   	59 	1.7                	346	-113.984799  	46.859279	1223 	1223        	433.166 	241.202	6.4           	15.6       	3.7  	81.9     	154     	245  	1.071124
60                 	15:49:52                	883.5                  	14.4                   	58 	1.7                	349	-113.984804  	46.859271	1227 	1226        	433.636 	241.076	6.3           	15.6       	3.7  	81.9     	155     	249  	1.070632
61                 	15:49:53                	883.0                  	14.4                   	58 	1.7                	353	-113.984808  	46.859263	1230 	1230        	434.076 	240.935	6.2           	15.5       	3.7  	81.8     	156     	252  	1.070085
62                 	15:49:54                	882.5                  	14.3                   	58 	1.7                	355	-113.984813  	46.859254	1235 	1235        	434.694 	240.830	6.1           	15.5       	4.6  	81.8     	158     	257  	1.069684
63                 	15:49:55                	882.0                  	14.3                   	57 	1.7                	358	-113.984818  	46.859246	1240 	1240        	435.439 	240.728	5.9           	15.4       	5.3  	81.8     	159     	262  	1.069286
64                 	15:49:56                	881.5                  	14.3                   	57 	1.7                	002	-113.984822  	46.859237	1246 	1245        	436.074 	240.530	5.9           	15.5       	5.3  	81.8     	160     	268  	1.068458
65                 	15:49:57                	881.0                  	14.4                   	57 	1.6                	004	-113.984827  	46.859229	1251 	1251        	436.650 	240.275	6.0           	15.6       	5.3  	81.8     	161     	273  	1.067360
66                 	15:49:58                	880.5                  	14.6                   	57 	1.6                	007	-113.984831  	46.859221	1256 	1256        	437.187 	239.980	6.1           	15.8       	5.3  	81.8     	162     	278  	1.066079
