Flight Information:
Launch Date:       	                        	                        	Wednesday, 29 June 2022	   	                   	   	Launch Time: 	         	    	19:33:43   	        	       	End of Ascent:	           	      	         	00:19:48
Station name:      	                        	                        	                       	   	                   	   	Serialnumber:	         	    	20051121
Ground Values:
Pressure:          	                        	                        	906.7 hPa              	   	                   	   	Temperature: 	         	    	19.6 °C    	        	       	Humidity:     	           	      	         	40 %
Wind direction:    	                        	                        	287 °                  	   	                   	   	Wind speed:  	         	    	2 m/s      	        	       	Cloud group:  	           	      	         	9////
Position:
Longitude:         	                        	                        	-113.985 °             	   	                   	   	Latitude:    	         	    	46.860 °   	        	       	Altitude:     	           	      	         	985 m
Staff:
Company:           	                        	                        	
Operator:          	                        	                        	                       	   	                   	   	
Events:
Highest Point:     	                        	                        	509.5 hPa              	   	                   	   	5834 m
Tropopauses:       	                        	                        	                       	   	                   	   	             	         	    	
Max Winds:         	                        	                        	                       	   	                   	   	             	         	    	
Remarks:

Profile Data:
Time               	UTC Time                	P                       	T                      	Hu 	Ws                 	Wd 	Long.        	Lat.     	Alt 	Geopot     	MRI     	RI     	Dewp.         	Virt. Temp 	Rs    	Elevation	Azimuth 	Range	D
[sec]              	[HH:mm:ss]              	[hPa]                   	[°C]                   	[%]	[m/s]              	[°]	[°]          	[°]      	[m] 	[m]        	        	       	[°C]          	[°C]       	[m/s] 	[°]      	[°]     	[m]  	[kg/m3]
0                  	19:33:43                	906.7                   	19.6                   	40 	2.4                	287	-113.984947  	46.859581	985 	985        	396.649 	242.082	5.7           	20.7       	0.0   	46.9     	000     	1    	1.079157
1                  	19:33:44                	905.9                   	20.7                   	39 	2.5                	249	-113.984902  	46.859593	994 	994        	396.916 	240.937	6.3           	21.9       	9.0   	68.1     	064     	10   	1.074229
2                  	19:33:45                	905.1                   	20.6                   	38 	2.5                	249	-113.984858  	46.859604	1003	1003       	398.167 	240.759	6.0           	21.7       	9.0   	68.2     	067     	20   	1.073582
3                  	19:33:46                	904.3                   	20.5                   	38 	2.5                	249	-113.984813  	46.859616	1010	1010       	399.084 	240.577	5.6           	21.6       	7.1   	66.6     	068     	28   	1.072922
4                  	19:33:47                	903.5                   	20.5                   	38 	2.5                	249	-113.984768  	46.859627	1017	1016       	399.986 	240.396	5.6           	21.6       	6.9   	65.6     	068     	36   	1.072098
5                  	19:33:48                	902.7                   	20.5                   	37 	2.5                	249	-113.984724  	46.859639	1023	1023       	400.829 	240.171	5.5           	21.6       	6.9   	64.9     	068     	43   	1.071128
6                  	19:33:49                	901.9                   	20.5                   	37 	2.7                	253	-113.984679  	46.859650	1030	1030       	401.715 	239.974	5.3           	21.6       	6.9   	64.5     	068     	51   	1.070305
7                  	19:33:50                	901.2                   	20.4                   	37 	5.9                	275	-113.984634  	46.859662	1037	1037       	402.648 	239.839	5.2           	21.5       	6.9   	64.2     	069     	59   	1.069749
8                  	19:33:51                	900.5                   	20.2                   	37 	5.9                	275	-113.984590  	46.859673	1044	1044       	403.674 	239.797	4.9           	21.3       	6.8   	63.9     	069     	66   	1.069590
9                  	19:33:52                	899.8                   	20.0                   	36 	5.9                	275	-113.984545  	46.859685	1051	1050       	404.667 	239.738	4.7           	21.1       	6.7   	63.7     	069     	74   	1.069341
10                 	19:33:53                	899.1                   	19.8                   	36 	5.9                	275	-113.984500  	46.859696	1057	1057       	405.680 	239.715	4.5           	20.9       	6.7   	63.4     	069     	82   	1.069252
11                 	19:33:54                	898.4                   	19.6                   	36 	5.9                	275	-113.984456  	46.859708	1064	1064       	406.699 	239.682	4.3           	20.7       	6.7   	63.3     	069     	89   	1.069116
