Flight Information:
Launch Date:       	                        	                       	Wednesday, 29 June 2022	   	                   	   	Launch Time: 	         	     	19:19:23     	          	       	End of Ascent:	           	     	         	01:41:22
Station name:      	                        	                       	                       	   	                   	   	Serialnumber:	         	     	20026292
Ground Values:
Pressure:          	                        	                       	906.6 hPa              	   	                   	   	Temperature: 	         	     	21.2 °C      	          	       	Humidity:     	           	     	         	37 %
Wind direction:    	                        	                       	313 °                  	   	                   	   	Wind speed:  	         	     	3 m/s        	          	       	Cloud group:  	           	     	         	9////
Position:
Longitude:         	                        	                       	-113.985 °             	   	                   	   	Latitude:    	         	     	46.860 °     	          	       	Altitude:     	           	     	         	981 m
Staff:
Company:           	                        	                       	
Operator:          	                        	                       	                       	   	                   	   	
Events:
Highest Point:     	                        	                       	247.5 hPa              	   	                   	   	31159 m
Tropopauses:       	                        	                       	                       	   	                   	   	             	         	     	
Max Winds:         	                        	                       	1.: 345.5 hPa          	   	                   	   	             	         	     	
Remarks:

Profile Data:
Time               	UTC Time                	P                      	T                      	Hu 	Ws                 	Wd 	Long.        	Lat.     	Alt  	Geopot       	MRI       	RI     	Dewp.         	Virt. Temp 	Rs   	Elevation	Azimuth 	Range	D
[sec]              	[HH:mm:ss]              	[hPa]                  	[°C]                   	[%]	[m/s]              	[°]	[°]          	[°]      	[m]  	[m]          	          	       	[°C]          	[°C]       	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                  	19:19:23                	906.6                  	21.2                   	37 	2.9                	313	-113.984874  	46.859563	981  	981          	394.618   	240.601	6.0           	22.3       	0.0  	46.9     	000     	1    	1.073173
1                  	19:19:24                	905.9                  	20.6                   	33 	4.5                	297	-113.984823  	46.859556	989  	989          	396.013   	240.756	3.9           	21.6       	7.9  	64.9     	096     	9    	1.074569
2                  	19:19:25                	905.3                  	20.3                   	32 	4.5                	297	-113.984772  	46.859549	997  	997          	397.302   	240.804	3.1           	21.2       	7.9  	64.2     	098     	18   	1.075016
3                  	19:19:26                	904.6                  	20.1                   	32 	4.5                	297	-113.984721  	46.859542	1004 	1004         	398.494   	240.803	2.9           	21.0       	7.6  	63.7     	099     	27   	1.074982
4                  	19:19:27                	903.9                  	19.9                   	32 	4.5                	297	-113.984670  	46.859536	1009 	1009         	399.214   	240.754	2.8           	20.8       	4.9  	61.3     	100     	33   	1.074736
5                  	19:19:28                	903.3                  	19.8                   	32 	4.5                	297	-113.984620  	46.859529	1014 	1014         	399.876   	240.646	2.8           	20.8       	4.9  	59.7     	100     	39   	1.074226
6                  	19:19:29                	902.6                  	19.8                   	32 	4.5                	297	-113.984569  	46.859522	1019 	1019         	400.485   	240.502	2.9           	20.7       	4.9  	58.4     	100     	45   	1.073541
7                  	19:19:30                	902.1                  	19.8                   	33 	4.6                	298	-113.984518  	46.859515	1024 	1024         	401.108   	240.356	3.0           	20.8       	4.9  	57.5     	100     	51   	1.072840
8                  	19:19:31                	901.6                  	19.9                   	33 	4.9                	299	-113.984467  	46.859508	1029 	1029         	401.748   	240.226	3.1           	20.8       	4.9  	56.8     	100     	58   	1.072213
9                  	19:19:32                	901.1                  	19.7                   	33 	4.9                	299	-113.984417  	46.859502	1034 	1034         	402.450   	240.191	3.1           	20.7       	4.7  	56.2     	100     	64   	1.072014
10                 	19:19:33                	900.7                  	19.6                   	33 	4.9                	299	-113.984366  	46.859495	1038 	1038         	403.196   	240.214	3.1           	20.5       	4.5  	55.6     	101     	70   	1.072062
11                 	19:19:34                	900.2                  	19.5                   	34 	4.9                	299	-113.984315  	46.859488	1043 	1043         	403.851   	240.163	3.1           	20.4       	4.5  	55.1     	101     	76   	1.071792
12                 	19:19:35                	899.7                  	19.5                   	34 	5.0                	298	-113.984264  	46.859481	1047 	1047         	404.418   	240.023	3.2           	20.5       	4.5  	54.6     	101     	82   	1.071120
13                 	19:19:36                	899.2                  	19.5                   	34 	5.0                	299	-113.984213  	46.859474	1052 	1052         	405.023   	239.906	3.3           	20.5       	4.5  	54.2     	101     	88   	1.070549
14                 	19:19:37                	898.8                  	19.5                   	34 	5.0                	299	-113.984163  	46.859468	1056 	1056         	405.623   	239.800	3.4           	20.5       	4.5  	53.9     	101     	94   	1.070025
15                 	19:19:38                	898.3                  	19.5                   	34 	5.0                	299	-113.984103  	46.859457	1061 	1060         	406.227   	239.729	3.4           	20.4       	4.3  	53.2     	101     	100  	1.069659
16                 	19:19:39                	897.9                  	19.4                   	35 	5.0                	299	-113.984029  	46.859442	1065 	1065         	406.827   	239.669	3.5           	20.4       	4.3  	52.0     	101     	107  	1.069347
17                 	19:19:40                	897.4                  	19.3                   	35 	5.0                	299	-113.983954  	46.859427	1069 	1069         	407.467   	239.634	3.5           	20.3       	4.3  	51.0     	102     	114  	1.069150
18                 	19:19:41                	896.9                  	19.3                   	35 	5.0                	299	-113.983880  	46.859412	1073 	1073         	408.052   	239.559	3.5           	20.2       	4.3  	50.1     	102     	121  	1.068781
19                 	19:19:42                	896.5                  	19.2                   	35 	5.1                	297	-113.983806  	46.859397	1078 	1077         	408.660   	239.492	3.5           	20.2       	4.3  	49.3     	103     	128  	1.068454
20                 	19:19:43                	896.1                  	19.2                   	35 	5.3                	293	-113.983732  	46.859382	1082 	1081         	409.231   	239.436	3.5           	20.1       	4.0  	48.5     	103     	135  	1.068177
21                 	19:19:44                	895.7                  	19.1                   	35 	5.4                	290	-113.983658  	46.859366	1085 	1085         	409.774   	239.397	3.5           	20.1       	3.7  	47.7     	103     	141  	1.067982
22                 	19:19:45                	895.3                  	19.0                   	35 	5.6                	288	-113.983583  	46.859351	1089 	1089         	410.313   	239.356	3.4           	20.0       	3.7  	47.0     	103     	148  	1.067773
23                 	19:19:46                	894.9                  	19.0                   	36 	5.6                	287	-113.983509  	46.859336	1093 	1093         	410.833   	239.295	3.4           	19.9       	3.7  	46.3     	103     	155  	1.067478
24                 	19:19:47                	894.5                  	18.9                   	36 	5.7                	286	-113.983435  	46.859321	1096 	1096         	411.335   	239.216	3.4           	19.9       	3.7  	45.7     	104     	162  	1.067107
25                 	19:19:48                	894.2                  	18.9                   	36 	5.8                	285	-113.983361  	46.859306	1100 	1100         	411.842   	239.142	3.4           	19.9       	3.7  	45.2     	104     	168  	1.066761
26                 	19:19:49                	893.9                  	18.9                   	36 	5.8                	284	-113.983287  	46.859291	1104 	1103         	412.320   	239.071	3.4           	19.9       	3.5  	44.6     	104     	175  	1.066428
27                 	19:19:50                	893.5                  	18.9                   	36 	5.9                	284	-113.983212  	46.859275	1107 	1107         	412.738   	239.002	3.4           	19.8       	3.1  	44.0     	104     	181  	1.066108
28                 	19:19:51                	893.2                  	18.8                   	36 	5.9                	284	-113.983138  	46.859260	1110 	1110         	413.161   	238.938	3.4           	19.8       	3.1  	43.4     	104     	188  	1.065807
29                 	19:19:52                	892.8                  	18.8                   	36 	6.4                	279	-113.983064  	46.859245	1113 	1113         	413.587   	238.877	3.4           	19.8       	3.1  	42.9     	104     	194  	1.065518
30                 	19:19:53                	892.5                  	18.8                   	36 	6.4                	279	-113.982990  	46.859230	1116 	1116         	414.012   	238.816	3.4           	19.7       	3.1  	42.4     	104     	201  	1.065229
31                 	19:19:54                	892.1                  	18.7                   	36 	6.4                	279	-113.982916  	46.859215	1119 	1119         	414.475   	238.744	3.4           	19.7       	3.3  	42.0     	104     	207  	1.064889
32                 	19:19:55                	891.7                  	18.7                   	36 	6.4                	280	-113.982841  	46.859200	1123 	1123         	415.007   	238.681	3.4           	19.7       	3.9  	41.7     	104     	214  	1.064581
33                 	19:19:56                	891.3                  	18.7                   	36 	6.3                	281	-113.982767  	46.859184	1127 	1127         	415.563   	238.624	3.4           	19.6       	3.9  	41.4     	105     	221  	1.064301
34                 	19:19:57                	890.9                  	18.6                   	36 	6.4                	282	-113.982693  	46.859169	1131 	1131         	416.100   	238.564	3.5           	19.6       	3.9  	41.2     	105     	228  	1.064003
35                 	19:19:58                	890.5                  	18.6                   	37 	6.4                	283	-113.982619  	46.859154	1135 	1135         	416.644   	238.496	3.5           	19.5       	3.9  	40.9     	105     	235  	1.063671
36                 	19:19:59                	890.1                  	18.5                   	37 	6.4                	283	-113.982545  	46.859139	1139 	1138         	417.168   	238.423	3.5           	19.5       	3.9  	40.7     	105     	242  	1.063320
37                 	19:20:00                	889.8                  	18.5                   	37 	6.4                	284	-113.982471  	46.859124	1142 	1142         	417.678   	238.352	3.5           	19.5       	3.7  	40.4     	105     	249  	1.062976
38                 	19:20:01                	889.4                  	18.5                   	37 	6.4                	284	-113.982396  	46.859109	1146 	1146         	418.206   	238.284	3.5           	19.4       	3.7  	40.2     	105     	256  	1.062648
39                 	19:20:02                	889.0                  	18.4                   	37 	6.4                	284	-113.982322  	46.859093	1150 	1150         	418.728   	238.225	3.5           	19.4       	3.7  	40.0     	105     	263  	1.062360
40                 	19:20:03                	888.6                  	18.4                   	37 	6.4                	284	-113.982248  	46.859078	1153 	1153         	419.246   	238.163	3.5           	19.3       	3.7  	39.8     	105     	270  	1.062056
41                 	19:20:04                	888.2                  	18.3                   	37 	6.4                	284	-113.982174  	46.859063	1157 	1157         	419.768   	238.104	3.5           	19.3       	3.7  	39.6     	105     	277  	1.061769
42                 	19:20:05                	887.8                  	18.3                   	37 	6.4                	284	-113.982100  	46.859048	1161 	1161         	420.322   	238.045	3.5           	19.3       	3.8  	39.5     	105     	284  	1.061482
43                 	19:20:06                	887.3                  	18.2                   	37 	6.4                	284	-113.982025  	46.859033	1166 	1166         	420.996   	237.966	3.5           	19.2       	4.8  	39.5     	105     	291  	1.061101
44                 	19:20:07                	886.8                  	18.2                   	38 	6.4                	284	-113.981951  	46.859018	1171 	1171         	421.669   	237.885	3.5           	19.1       	4.8  	39.5     	105     	299  	1.060714
45                 	19:20:08                	886.3                  	18.1                   	38 	6.3                	285	-113.981877  	46.859002	1175 	1175         	422.341   	237.803	3.5           	19.1       	4.8  	39.4     	105     	307  	1.060322
46                 	19:20:09                	885.8                  	18.1                   	38 	6.3                	285	-113.981797  	46.858986	1180 	1180         	423.012   	237.720	3.5           	19.0       	4.8  	39.4     	105     	315  	1.059929
47                 	19:20:10                	885.3                  	18.0                   	38 	6.3                	286	-113.981715  	46.858968	1185 	1185         	423.679   	237.634	3.5           	19.0       	4.8  	39.3     	105     	323  	1.059518
48                 	19:20:11                	884.8                  	18.0                   	38 	6.2                	287	-113.981632  	46.858950	1190 	1190         	424.320   	237.537	3.4           	18.9       	4.7  	39.2     	105     	331  	1.059068
49                 	19:20:12                	884.4                  	17.9                   	38 	6.1                	288	-113.981549  	46.858932	1194 	1194         	424.936   	237.447	3.4           	18.9       	4.5  	39.1     	105     	339  	1.058645
50                 	19:20:13                	883.9                  	17.9                   	38 	6.1                	289	-113.981467  	46.858914	1199 	1199         	425.574   	237.363	3.4           	18.8       	4.5  	39.0     	105     	347  	1.058252
51                 	19:20:14                	883.4                  	17.8                   	38 	6.0                	290	-113.981384  	46.858896	1203 	1203         	426.201   	237.283	3.4           	18.8       	4.5  	38.9     	105     	355  	1.057876
52                 	19:20:15                	883.0                  	17.8                   	38 	6.0                	291	-113.981301  	46.858879	1208 	1208         	426.823   	237.198	3.4           	18.7       	4.5  	38.8     	106     	363  	1.057478
53                 	19:20:16                	882.5                  	17.7                   	38 	5.9                	291	-113.981218  	46.858861	1212 	1212         	427.456   	237.109	3.4           	18.7       	4.5  	38.7     	106     	371  	1.057061
54                 	19:20:17                	882.0                  	17.7                   	38 	5.8                	292	-113.981136  	46.858843	1217 	1217         	428.109   	237.025	3.4           	18.7       	4.7  	38.6     	106     	379  	1.056664
55                 	19:20:18                	881.5                  	17.6                   	38 	5.8                	293	-113.981053  	46.858825	1222 	1222         	428.780   	236.942	3.3           	18.6       	4.8  	38.6     	106     	387  	1.056274
56                 	19:20:19                	881.0                  	17.6                   	39 	5.7                	293	-113.980970  	46.858807	1227 	1227         	429.446   	236.870	3.3           	18.5       	4.8  	38.5     	106     	395  	1.055929
57                 	19:20:20                	880.5                  	17.5                   	39 	5.7                	294	-113.980887  	46.858789	1231 	1231         	430.120   	236.791	3.3           	18.5       	4.8  	38.5     	106     	403  	1.055554
58                 	19:20:21                	880.0                  	17.4                   	39 	5.7                	294	-113.980805  	46.858772	1236 	1236         	430.784   	236.701	3.3           	18.4       	4.8  	38.4     	106     	411  	1.055134
59                 	19:20:22                	879.5                  	17.4                   	39 	5.7                	294	-113.980722  	46.858754	1241 	1241         	431.443   	236.606	3.3           	18.4       	4.8  	38.4     	106     	420  	1.054694
60                 	19:20:23                	879.0                  	17.3                   	39 	5.8                	294	-113.980639  	46.858736	1246 	1246         	432.215   	236.530	3.2           	18.3       	5.4  	38.4     	106     	428  	1.054334
61                 	19:20:24                	878.4                  	17.3                   	39 	5.8                	293	-113.980557  	46.858718	1252 	1252         	432.981   	236.432	3.2           	18.2       	5.5  	38.4     	106     	437  	1.053882
62                 	19:20:25                	877.8                  	17.2                   	39 	5.8                	293	-113.980474  	46.858700	1257 	1257         	433.737   	236.325	3.2           	18.2       	5.5  	38.4     	106     	445  	1.053381
63                 	19:20:26                	877.3                  	17.2                   	39 	5.9                	293	-113.980391  	46.858682	1263 	1263         	434.488   	236.213	3.2           	18.1       	5.5  	38.5     	106     	454  	1.052859
64                 	19:20:27                	876.7                  	17.1                   	39 	5.9                	293	-113.980308  	46.858664	1268 	1268         	435.252   	236.113	3.1           	18.1       	5.5  	38.5     	106     	463  	1.052393
65                 	19:20:28                	876.1                  	17.0                   	39 	6.0                	293	-113.980226  	46.858647	1274 	1274         	436.039   	236.021	3.1           	18.0       	5.6  	38.5     	106     	471  	1.051957
66                 	19:20:29                	875.6                  	17.0                   	39 	6.1                	292	-113.980143  	46.858629	1280 	1280         	436.814   	235.917	3.1           	17.9       	5.7  	38.5     	106     	480  	1.051471
67                 	19:20:30                	874.9                  	17.0                   	39 	6.2                	291	-113.980060  	46.858611	1285 	1285         	437.569   	235.777	3.1           	17.9       	5.7  	38.6     	106     	489  	1.050823
68                 	19:20:31                	874.3                  	16.9                   	39 	6.3                	290	-113.979977  	46.858593	1291 	1291         	438.302   	235.631	3.1           	17.9       	5.7  	38.6     	106     	497  	1.050150
69                 	19:20:32                	873.6                  	16.9                   	40 	6.4                	290	-113.979895  	46.858575	1297 	1297         	439.060   	235.493	3.1           	17.9       	5.7  	38.6     	106     	506  	1.049515
70                 	19:20:33                	873.0                  	16.8                   	40 	6.5                	289	-113.979812  	46.858557	1303 	1303         	439.893   	235.369	3.1           	17.8       	6.1  	38.7     	106     	515  	1.048942
71                 	19:20:34                	872.4                  	16.8                   	40 	6.6                	288	-113.979729  	46.858540	1310 	1310         	440.912   	235.258	3.0           	17.7       	7.1  	38.9     	106     	525  	1.048425
72                 	19:20:35                	871.7                  	16.7                   	40 	6.7                	287	-113.979647  	46.858522	1317 	1317         	441.919   	235.150	3.0           	17.6       	7.1  	39.0     	106     	534  	1.047926
73                 	19:20:36                	871.0                  	16.6                   	40 	6.8                	287	-113.979564  	46.858504	1324 	1324         	442.927   	235.027	2.9           	17.6       	7.1  	39.2     	106     	544  	1.047354
74                 	19:20:37                	870.3                  	16.5                   	40 	7.0                	286	-113.979481  	46.858486	1331 	1331         	443.919   	234.905	2.9           	17.5       	7.1  	39.3     	106     	554  	1.046781
75                 	19:20:38                	869.6                  	16.5                   	40 	7.1                	285	-113.979398  	46.858468	1339 	1338         	444.929   	234.785	2.9           	17.4       	7.1  	39.5     	106     	563  	1.046217
76                 	19:20:39                	868.9                  	16.4                   	40 	7.2                	284	-113.979316  	46.858451	1345 	1345         	445.875   	234.663	2.8           	17.3       	6.8  	39.6     	106     	573  	1.045644
77                 	19:20:40                	868.2                  	16.3                   	40 	7.3                	284	-113.979238  	46.858444	1352 	1352         	446.783   	234.535	2.8           	17.3       	6.6  	39.7     	106     	581  	1.045046
78                 	19:20:41                	867.5                  	16.3                   	40 	7.4                	284	-113.979160  	46.858438	1359 	1358         	447.688   	234.404	2.8           	17.2       	6.6  	39.8     	106     	590  	1.044434
79                 	19:20:42                	866.9                  	16.2                   	40 	7.4                	284	-113.979082  	46.858432	1365 	1365         	448.630   	234.294	2.7           	17.1       	6.6  	39.9     	106     	599  	1.043918
80                 	19:20:43                	866.2                  	16.1                   	40 	7.4                	284	-113.979004  	46.858426	1372 	1372         	449.554   	234.181	2.7           	17.1       	6.6  	40.1     	106     	608  	1.043395
81                 	19:20:44                	865.6                  	16.1                   	41 	7.5                	284	-113.978926  	46.858419	1378 	1378         	450.476   	234.067	2.7           	17.0       	6.6  	40.2     	106     	616  	1.042872
82                 	19:20:45                	865.0                  	16.0                   	41 	7.4                	283	-113.978848  	46.858413	1385 	1385         	451.367   	233.953	2.6           	16.9       	6.4  	40.3     	106     	625  	1.042353
83                 	19:20:46                	864.3                  	15.9                   	41 	7.4                	283	-113.978770  	46.858407	1390 	1390         	452.100   	233.838	2.6           	16.9       	5.5  	40.3     	105     	633  	1.041825
