Flight Information:
Launch Date:       	                        	                       	Wednesday, 06 July 2022	   	                   	   	Launch Time: 	         	     	17:11:45     	          	       	End of Ascent:	           	     	         	01:42:57
Station name:      	                        	                       	                       	   	                   	   	Serialnumber:	         	     	22002939
Ground Values:
Pressure:          	                        	                       	902.7 hPa              	   	                   	   	Temperature: 	         	     	21.2 °C      	          	       	Humidity:     	           	     	         	57 %
Wind direction:    	                        	                       	95 °                   	   	                   	   	Wind speed:  	         	     	0 m/s        	          	       	Cloud group:  	           	     	         	9////
Position:
Longitude:         	                        	                       	-113.985 °             	   	                   	   	Latitude:    	         	     	46.860 °     	          	       	Altitude:     	           	     	         	978 m
Staff:
Company:           	                        	                       	
Operator:          	                        	                       	                       	   	                   	   	
Events:
Highest Point:     	                        	                       	8.8 hPa                	   	                   	   	32528 m
Tropopauses:       	                        	                       	1.: 200.3 hPa          	   	                   	   	             	         	     	
Max Winds:         	                        	                       	1.: 185.4 hPa          	   	                   	   	             	         	     	
Remarks:

Profile Data:
Time               	UTC Time                	P                      	T                      	Hu 	Ws                 	Wd 	Long.        	Lat.     	Alt  	Geopot       	MRI       	RI     	Dewp.         	Virt. Temp 	Rs   	Elevation	Azimuth 	Range	D
[sec]              	[HH:mm:ss]              	[hPa]                  	[°C]                   	[%]	[m/s]              	[°]	[°]          	[°]      	[m]  	[m]          	          	       	[°C]          	[°C]       	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                  	17:11:45                	902.7                  	21.2                   	57 	0.1                	095	-113.985000  	46.517000	978  	978          	393.980   	240.434	12.4          	23.0       	0.0  	-0.2     	180     	38089	1.068557
1                  	17:11:46                	901.8                  	21.1                   	55 	3.2                	179	-113.984998  	46.539737	989  	989          	395.424   	240.198	11.6          	22.8       	10.7 	-0.1     	180     	35562	1.067944
2                  	17:11:47                	901.0                  	20.9                   	52 	3.2                	179	-113.984996  	46.562473	999  	999          	396.890   	240.000	10.8          	22.5       	10.7 	-0.1     	180     	33034	1.067494
3                  	17:11:48                	900.1                  	20.8                   	51 	3.2                	179	-113.984994  	46.585210	1009 	1009         	398.215   	239.849	10.4          	22.4       	9.4  	-0.1     	180     	30506	1.066982
4                  	17:11:49                	899.3                  	20.7                   	54 	3.2                	179	-113.984992  	46.607947	1015 	1015         	399.137   	239.782	11.0          	22.3       	6.3  	0.0      	180     	27978	1.066248
5                  	17:11:50                	898.4                  	20.7                   	54 	3.2                	179	-113.984990  	46.630683	1021 	1021         	399.975   	239.615	11.1          	22.3       	6.3  	0.0      	180     	25450	1.065390
6                  	17:11:51                	897.5                  	20.6                   	54 	3.1                	180	-113.984988  	46.653420	1028 	1028         	400.762   	239.413	10.9          	22.2       	6.3  	0.0      	180     	22922	1.064554
7                  	17:11:52                	896.8                  	20.6                   	53 	0.9                	230	-113.984986  	46.676157	1034 	1034         	401.616   	239.262	10.8          	22.2       	6.3  	0.1      	180     	20395	1.063945
8                  	17:11:53                	896.1                  	20.4                   	53 	0.9                	230	-113.984984  	46.698893	1040 	1040         	402.530   	239.187	10.6          	22.0       	6.3  	0.1      	180     	17867	1.063646
9                  	17:11:54                	895.4                  	20.3                   	53 	0.9                	230	-113.984982  	46.721630	1047 	1047         	403.557   	239.116	10.4          	21.8       	6.9  	0.2      	180     	15339	1.063336
10                 	17:11:55                	894.7                  	20.1                   	53 	0.9                	230	-113.984980  	46.744367	1054 	1054         	404.581   	239.040	10.3          	21.7       	7.1  	0.3      	180     	12811	1.062951
11                 	17:11:56                	894.0                  	20.0                   	53 	0.9                	230	-113.984978  	46.767103	1062 	1062         	405.583   	238.928	10.3          	21.6       	7.1  	0.4      	180     	10283	1.062414
12                 	17:11:57                	893.3                  	19.9                   	53 	0.9                	230	-113.984976  	46.789840	1069 	1069         	406.634   	238.864	10.1          	21.4       	7.1  	0.6      	180     	7755 	1.062120
13                 	17:11:58                	892.7                  	19.7                   	53 	0.9                	230	-113.984974  	46.812577	1076 	1076         	407.705   	238.820	10.0          	21.3       	7.1  	1.1      	180     	5228 	1.061949
14                 	17:11:59                	892.1                  	19.7                   	53 	0.9                	230	-113.984972  	46.835314	1081 	1081         	408.483   	238.704	9.8           	21.2       	5.7  	2.2      	180     	2701 	1.061471
