Flight Information:
Launch Date:       	                        	                       	Wednesday, 13 July 2022	   	                        	   	Launch Time: 	         	     	18:00:28     	        	       	End of Ascent:	           	     	         	01:53:25
Station name:      	                        	                       	                       	   	                        	   	Serialnumber:	         	     	22002933
Ground Values:
Pressure:          	                        	                       	903.1 hPa              	   	                        	   	Temperature: 	         	     	21.9 °C      	        	       	Humidity:     	           	     	         	50 %
Wind direction:    	                        	                       	0 °                    	   	                        	   	Wind speed:  	         	     	0 m/s        	        	       	Cloud group:  	           	     	         	9////
Position:
Longitude:         	                        	                       	-113.985 °             	   	                        	   	Latitude:    	         	     	46.860 °     	        	       	Altitude:     	           	     	         	978 m
Staff:
Company:           	                        	                       	
Operator:          	                        	                       	                       	   	                        	   	
Events:
Highest Point:     	                        	                       	8.7 hPa                	   	                        	   	32682 m
Tropopauses:       	                        	                       	1.: 194.7 hPa          	   	                        	   	2.: 125.3 hPa	         	     	
Max Winds:         	                        	                       	1.: 179.4 hPa          	   	                        	   	             	         	     	
Remarks:

Profile Data:
Time               	UTC Time                	P                      	T                      	Hu 	Ws                      	Wd 	Long.        	Lat.     	Alt  	Geopot       	MRI     	RI     	Dewp.         	Virt. Temp 	Rs   	Elevation	Azimuth 	Range	D
[sec]              	[HH:mm:ss]              	[hPa]                  	[°C]                   	[%]	[m/s]                   	[°]	[°]          	[°]      	[m]  	[m]          	        	       	[°C]          	[°C]       	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                  	18:00:28                	903.1                  	21.9                   	50 	0.0                     	360	-113.985027  	46.859585	978  	978          	393.209 	239.663	11.0          	23.5       	0.0  	46.9     	360     	1    	1.066494
1                  	18:00:29                	902.4                  	21.6                   	51 	7.5                     	086	-113.985141  	46.859591	988  	988          	394.881 	239.734	11.0          	23.3       	10.2 	50.4     	277     	14   	1.066671
2                  	18:00:30                	901.8                  	21.5                   	51 	7.5                     	086	-113.985255  	46.859597	998  	998          	396.453 	239.705	10.8          	23.1       	10.2 	49.9     	275     	27   	1.066516
3                  	18:00:31                	901.1                  	21.4                   	51 	7.5                     	086	-113.985369  	46.859603	1005 	1005         	397.428 	239.612	10.7          	22.9       	6.8  	46.4     	275     	38   	1.066111
4                  	18:00:32                	900.4                  	21.3                   	51 	7.5                     	086	-113.985484  	46.859608	1009 	1009         	397.900 	239.487	10.7          	22.9       	3.8  	41.9     	275     	47   	1.065531
5                  	18:00:33                	899.8                  	21.2                   	51 	7.5                     	086	-113.985598  	46.859614	1013 	1013         	398.368 	239.342	10.6          	22.8       	3.8  	38.9     	275     	56   	1.064898
6                  	18:00:34                	899.1                  	21.2                   	50 	7.6                     	086	-113.985712  	46.859620	1017 	1017         	398.829 	239.207	10.4          	22.7       	3.8  	36.7     	275     	65   	1.064355
7                  	18:00:35                	898.6                  	21.1                   	50 	8.2                     	090	-113.985826  	46.859626	1021 	1021         	399.326 	239.107	10.3          	22.7       	3.8  	35.0     	275     	75   	1.063950
8                  	18:00:36                	898.1                  	21.2                   	50 	8.2                     	090	-113.985941  	46.859632	1025 	1025         	399.838 	238.882	10.3          	22.8       	4.6  	34.2     	275     	85   	1.062979
9                  	18:00:37                	897.6                  	21.4                   	50 	8.2                     	090	-113.986055  	46.859637	1030 	1030         	400.358 	238.585	10.5          	23.0       	5.2  	33.9     	275     	95   	1.061685
10                 	18:00:38                	897.1                  	21.6                   	50 	8.2                     	090	-113.986169  	46.859643	1036 	1036         	400.895 	238.306	10.6          	23.2       	5.2  	33.6     	274     	105  	1.060475
11                 	18:00:39                	896.6                  	21.7                   	49 	8.2                     	090	-113.986283  	46.859649	1041 	1041         	401.486 	238.081	10.6          	23.3       	5.2  	33.3     	274     	115  	1.059498
12                 	18:00:40                	896.0                  	21.8                   	49 	8.2                     	090	-113.986397  	46.859655	1046 	1046         	402.105 	237.883	10.7          	23.4       	5.2  	33.1     	274     	125  	1.058639
13                 	18:00:41                	895.5                  	21.8                   	49 	8.2                     	090	-113.986512  	46.859661	1051 	1051         	402.780 	237.742	10.6          	23.4       	5.1  	32.9     	274     	135  	1.058029
14                 	18:00:42                	895.0                  	21.7                   	49 	8.2                     	090	-113.986626  	46.859666	1056 	1056         	403.486 	237.662	10.5          	23.3       	5.0  	32.7     	274     	145  	1.057694
15                 	18:00:43                	894.5                  	21.6                   	49 	8.2                     	090	-113.986738  	46.859671	1061 	1061         	404.226 	237.602	10.4          	23.2       	5.0  	32.6     	274     	155  	1.057450
16                 	18:00:44                	894.0                  	21.5                   	49 	8.2                     	090	-113.986810  	46.859652	1066 	1066         	404.897 	237.488	10.3          	23.1       	5.0  	33.1     	273     	163  	1.056971
17                 	18:00:45                	893.4                  	21.6                   	49 	8.2                     	090	-113.986882  	46.859634	1071 	1071         	405.528 	237.318	10.3          	23.1       	5.0  	33.5     	272     	170  	1.056224
18                 	18:00:46                	892.9                  	21.6                   	49 	8.2                     	090	-113.986954  	46.859615	1076 	1076         	406.155 	237.160	10.3          	23.2       	5.0  	33.9     	271     	177  	1.055512
19                 	18:00:47                	892.3                  	21.6                   	49 	8.1                     	089	-113.987026  	46.859596	1082 	1081         	406.824 	237.028	10.3          	23.2       	5.0  	34.3     	271     	185  	1.054910
20                 	18:00:48                	891.8                  	21.5                   	49 	8.1                     	085	-113.987098  	46.859578	1087 	1087         	407.601 	236.910	10.3          	23.1       	5.7  	34.7     	270     	192  	1.054381
21                 	18:00:49                	891.2                  	21.5                   	49 	8.0                     	083	-113.987170  	46.859559	1093 	1093         	408.410 	236.809	10.2          	23.0       	5.8  	35.2     	269     	200  	1.053932
22                 	18:00:50                	890.6                  	21.4                   	48 	8.0                     	081	-113.987242  	46.859541	1099 	1099         	409.261 	236.749	10.1          	22.9       	5.8  	35.6     	268     	208  	1.053670
23                 	18:00:51                	890.0                  	21.2                   	48 	8.0                     	079	-113.987314  	46.859522	1105 	1105         	410.114 	236.707	9.9           	22.7       	5.8  	36.0     	268     	216  	1.053490
24                 	18:00:52                	889.4                  	21.1                   	48 	7.9                     	078	-113.987386  	46.859503	1110 	1110         	410.946 	236.629	9.8           	22.6       	5.8  	36.4     	267     	224  	1.053144
