Flight Information:
Launch Date:       	                        	                       	Wednesday, 20 July 2022	   	                   	   	Launch Time: 	         	    	17:01:28     	        	       	End of Ascent:	           	     	         	00:31:05
Station name:      	                        	                       	                       	   	                   	   	Serialnumber:	         	    	22002965
Ground Values:
Pressure:          	                        	                       	908.9 hPa              	   	                   	   	Temperature: 	         	    	20.8 °C      	        	       	Humidity:     	           	     	         	36 %
Wind direction:    	                        	                       	50 °                   	   	                   	   	Wind speed:  	         	    	1 m/s        	        	       	Cloud group:  	           	     	         	9////
Position:
Longitude:         	                        	                       	-113.985 °             	   	                   	   	Latitude:    	         	    	46.860 °     	        	       	Altitude:     	           	     	         	978 m
Staff:
Company:           	                        	                       	
Operator:          	                        	                       	                       	   	                   	   	
Events:
Highest Point:     	                        	                       	382.3 hPa              	   	                   	   	7884 m
Tropopauses:       	                        	                       	                       	   	                   	   	             	         	    	
Max Winds:         	                        	                       	                       	   	                   	   	             	         	    	
Remarks:

Profile Data:
Time               	UTC Time                	P                      	T                      	Hu 	Ws                 	Wd 	Long.        	Lat.     	Alt 	Geopot       	MRI     	RI     	Dewp.         	Virt. Temp 	Rs   	Elevation	Azimuth 	Range	D
[sec]              	[HH:mm:ss]              	[hPa]                  	[°C]                   	[%]	[m/s]              	[°]	[°]          	[°]      	[m] 	[m]          	        	       	[°C]          	[°C]       	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                  	17:01:28                	908.9                  	20.8                   	36 	0.5                	050	-113.984920  	46.859633	978 	978          	395.041 	241.495	5.2           	21.9       	0.0  	46.9     	360     	1    	1.077360
1                  	17:01:29                	908.1                  	21.2                   	34 	1.6                	302	-113.984912  	46.859633	987 	986          	395.752 	240.871	4.7           	22.3       	8.5  	85.5     	056     	9    	1.074966
2                  	17:01:30                	907.4                  	21.0                   	32 	1.6                	302	-113.984904  	46.859633	995 	995          	396.911 	240.712	3.7           	22.0       	8.5  	85.9     	071     	17   	1.074631
3                  	17:01:31                	906.6                  	20.7                   	30 	1.6                	302	-113.984896  	46.859634	1003	1003         	398.145 	240.705	2.5           	21.6       	7.9  	85.9     	076     	25   	1.074975
4                  	17:01:32                	905.8                  	20.6                   	31 	1.6                	302	-113.984889  	46.859634	1009	1009         	399.104 	240.675	3.0           	21.5       	6.4  	85.7     	079     	32   	1.074605
5                  	17:01:33                	905.1                  	20.5                   	32 	1.6                	302	-113.984881  	46.859634	1016	1016         	400.018 	240.585	3.1           	21.4       	6.4  	85.5     	081     	38   	1.074090
6                  	17:01:34                	904.3                  	20.5                   	32 	1.6                	302	-113.984873  	46.859634	1022	1022         	400.788 	240.366	3.0           	21.4       	6.4  	85.4     	082     	44   	1.073136
7                  	17:01:35                	903.7                  	20.5                   	31 	1.6                	285	-113.984866  	46.859634	1028	1028         	401.640 	240.213	3.0           	21.4       	6.4  	85.3     	083     	51   	1.072486
8                  	17:01:36                	903.2                  	20.4                   	31 	1.7                	282	-113.984858  	46.859634	1035	1035         	402.525 	240.108	2.8           	21.3       	6.4  	85.2     	084     	57   	1.072037
9                  	17:01:37                	902.6                  	20.3                   	31 	1.7                	281	-113.984850  	46.859635	1040	1040         	403.276 	240.043	2.7           	21.2       	5.1  	85.1     	084     	62   	1.071744
10                 	17:01:38                	902.0                  	20.2                   	31 	1.7                	281	-113.984842  	46.859635	1045	1045         	403.964 	239.962	2.7           	21.1       	4.9  	85.0     	084     	67   	1.071359
11                 	17:01:39                	901.5                  	20.2                   	31 	1.7                	281	-113.984835  	46.859635	1050	1050         	404.630 	239.859	2.7           	21.1       	4.9  	84.8     	085     	72   	1.070872
12                 	17:01:40                	900.9                  	20.1                   	31 	1.7                	281	-113.984827  	46.859635	1054	1054         	405.277 	239.736	2.7           	21.0       	4.9  	84.7     	085     	77   	1.070311
13                 	17:01:41                	900.5                  	20.1                   	31 	1.7                	281	-113.984819  	46.859635	1059	1059         	405.991 	239.665	2.6           	21.0       	4.9  	84.6     	085     	82   	1.070001
14                 	17:01:42                	900.0                  	20.0                   	31 	1.7                	281	-113.984812  	46.859635	1064	1064         	406.596 	239.564	2.5           	21.0       	4.5  	84.5     	086     	87   	1.069578
15                 	17:01:43                	899.6                  	20.1                   	31 	1.7                	281	-113.984804  	46.859631	1068	1068         	407.064 	239.435	2.5           	21.0       	3.8  	84.4     	089     	91   	1.069021
16                 	17:01:44                	899.2                  	20.1                   	31 	1.7                	281	-113.984797  	46.859624	1072	1072         	407.531 	239.305	2.5           	21.0       	3.8  	84.3     	094     	94   	1.068447
17                 	17:01:45                	898.7                  	20.1                   	31 	1.7                	281	-113.984790  	46.859618	1075	1075         	408.037 	239.215	2.5           	21.0       	3.8  	84.2     	098     	98   	1.068032
18                 	17:01:46                	898.3                  	20.0                   	31 	1.7                	281	-113.984783  	46.859611	1079	1079         	408.577 	239.159	2.5           	20.9       	3.8  	84.0     	101     	102  	1.067759
19                 	17:01:47                	897.9                  	19.9                   	31 	1.4                	285	-113.984776  	46.859605	1083	1083         	409.120 	239.104	2.5           	20.8       	3.8  	83.9     	104     	106  	1.067489
20                 	17:01:48                	897.5                  	19.9                   	31 	1.3                	288	-113.984769  	46.859599	1087	1087         	409.693 	239.034	2.5           	20.8       	4.1  	83.7     	107     	110  	1.067147
21                 	17:01:49                	897.0                  	19.8                   	32 	1.2                	292	-113.984762  	46.859592	1091	1091         	410.271 	238.953	2.5           	20.8       	4.2  	83.6     	109     	114  	1.066756
