Flight Information:
Launch Date:            	                       	Wednesday, 27 July 2022	                   	Launch Time: 	             	16:06:03	End of Ascent:	01:55:29
Station name:           	                       	                       	                   	Serialnumber:	             	20027541
Ground Values:
Pressure:               	                       	907.2 hPa              	                   	Temperature: 	             	23.0 °C 	Humidity:     	51 %
Wind direction:         	                       	270 °                  	                   	Wind speed:  	             	1 m/s   	Cloud group:  	9////
Position:
Longitude:              	                       	-113.985 °             	                   	Latitude:    	             	46.860 °	Altitude:     	980 m
Staff:
Company:                	                       	
Operator:               	                       	                       	                   	
Events:
Highest Point:          	                       	7.0 hPa                	                   	34104 m
Tropopauses:            	                       	1.: 177.1 hPa          	                   	             	             	
Max Winds:              	                       	                       	                   	             	             	
Remarks:

Profile Data:
Time                    	UTC Time               	P                      	T                  	             	Hu           	Ws      	Wd            	Geopot  	Dewp.
[sec]                   	[HH:mm:ss]             	[hPa]                  	[°C]               	             	[%]          	[m/s]   	[°]           	[m]     	[°C]
0                       	16:06:03               	907.2                  	23.0               	             	51           	0.8     	270           	980     	12.3
2                       	16:06:05               	906.1                  	22.1               	             	45           	0.8     	315           	994     	9.7
4                       	16:06:07               	905.0                  	21.9               	             	45           	0.8     	315           	1003    	9.6
6                       	16:06:09               	903.9                  	21.9               	             	46           	0.8     	318           	1012    	9.7
8                       	16:06:11               	902.7                  	21.8               	             	47           	0.6     	055           	1022    	9.9
10                      	16:06:13               	901.6                  	21.7               	             	48           	0.6     	055           	1034    	10.2
12                      	16:06:15               	900.4                  	21.6               	             	49           	0.6     	055           	1045    	10.3
14                      	16:06:17               	899.2                  	21.5               	             	49           	0.6     	055           	1057    	10.4
16                      	16:06:19               	898.0                  	21.4               	             	50           	0.6     	055           	1069    	10.5
18                      	16:06:21               	896.8                  	21.2               	             	51           	0.6     	055           	1081    	10.6
20                      	16:06:23               	895.6                  	21.0               	             	51           	0.3     	051           	1092    	10.6
22                      	16:06:25               	894.4                  	21.0               	             	52           	0.2     	034           	1103    	10.7
24                      	16:06:27               	893.2                  	20.8               	             	52           	0.1     	360           	1115    	10.7
26                      	16:06:29               	892.0                  	20.7               	             	52           	0.1     	333           	1127    	10.7
28                      	16:06:31               	890.8                  	20.7               	             	53           	0.1     	315           	1138    	10.7
30                      	16:06:33               	889.6                  	20.6               	             	53           	0.3     	270           	1150    	10.7
32                      	16:06:35               	888.7                  	20.5               	             	53           	0.5     	252           	1159    	10.7
34                      	16:06:37               	887.7                  	20.4               	             	54           	0.8     	243           	1169    	10.7
36                      	16:06:39               	886.8                  	20.3               	             	54           	0.9     	243           	1178    	10.7
38                      	16:06:41               	886.0                  	20.3               	             	54           	1.1     	241           	1185    	10.7
40                      	16:06:43               	885.2                  	20.2               	             	54           	1.1     	242           	1193    	10.7
42                      	16:06:45               	884.4                  	20.2               	             	54           	1.1     	240           	1201    	10.6
44                      	16:06:47               	883.6                  	20.1               	             	54           	1.2     	241           	1208    	10.6
46                      	16:06:49               	882.8                  	20.1               	             	54           	1.0     	242           	1216    	10.6
48                      	16:06:51               	882.1                  	20.1               	             	55           	1.0     	242           	1223    	10.6
