Profile Data:
Time                    	UTC Time               	P                  	T    	 	Hu           	Ws   	Wd 	Geopot	Dewp.
[sec]                   	[HH:mm:ss]             	[hPa]              	[°C] 	 	[%]          	[m/s]	[°]	[m]   	[°C]
0                       	16:32:51               	905.2              	20.4 	 	42           	5.0  	036	978   	7.1
2                       	16:32:53               	903.6              	21.8 	 	35           	1.8  	167	998   	5.6
4                       	16:32:55               	902.0              	21.4 	 	32           	1.8  	167	1012  	4.1
6                       	16:32:57               	900.5              	21.4 	 	35           	1.8  	167	1023  	5.2
8                       	16:32:59               	899.3              	21.2 	 	36           	1.0  	258	1035  	5.6
10                      	16:33:01               	898.2              	21.0 	 	37           	1.2  	272	1046  	5.7
12                      	16:33:03               	897.0              	20.9 	 	38           	1.3  	275	1057  	5.9
14                      	16:33:05               	895.9              	20.8 	 	38           	1.3  	277	1067  	6.0
16                      	16:33:07               	894.7              	20.7 	 	38           	1.5  	280	1079  	5.9
18                      	16:33:09               	893.6              	20.6 	 	38           	1.5  	280	1090  	5.7
20                      	16:33:11               	892.6              	20.5 	 	37           	1.1  	278	1101  	5.5
22                      	16:33:13               	891.6              	20.5 	 	37           	0.9  	273	1110  	5.2
24                      	16:33:15               	890.5              	20.6 	 	35           	0.8  	274	1119  	4.8
26                      	16:33:17               	889.5              	20.6 	 	34           	0.7  	270	1128  	4.3
28                      	16:33:19               	888.4              	20.8 	 	33           	0.7  	270	1139  	3.9
30                      	16:33:21               	887.3              	21.5 	 	32           	0.4  	254	1150  	3.9
32                      	16:33:23               	886.2              	22.2 	 	30           	1.2  	237	1162  	4.0
34                      	16:33:25               	885.0              	22.6 	 	29           	1.6  	235	1173  	3.8
36                      	16:33:27               	883.9              	22.6 	 	28           	1.8  	235	1184  	3.3
38                      	16:33:29               	882.8              	22.5 	 	28           	2.0  	235	1196  	3.1
40                      	16:33:31               	881.7              	22.5 	 	28           	2.0  	234	1206  	2.9
42                      	16:33:33               	880.6              	22.4 	 	28           	2.1  	234	1217  	2.8
44                      	16:33:35               	879.5              	22.3 	 	27           	2.1  	233	1227  	2.6
46                      	16:33:37               	878.5              	22.2 	 	27           	2.0  	231	1237  	2.5
48                      	16:33:39               	877.4              	22.2 	 	27           	2.2  	230	1248  	2.3
50                      	16:33:41               	876.4              	22.1 	 	27           	2.3  	229	1258  	2.2
52                      	16:33:43               	875.5              	22.0 	 	27           	2.4  	226	1267  	2.0
54                      	16:33:45               	874.5              	21.9 	 	27           	2.3  	225	1277  	1.9
56                      	16:33:47               	873.5              	21.8 	 	27           	2.3  	223	1286  	1.9
58                      	16:33:49               	872.4              	21.7 	 	27           	2.4  	221	1297  	1.8
60                      	16:33:51               	871.4              	21.6 	 	27           	2.6  	218	1307  	1.7
62                      	16:33:53               	870.5              	21.6 	 	27           	2.8  	217	1317  	1.6
64                      	16:33:55               	869.5              	21.5 	 	27           	2.8  	215	1326  	1.6
66                      	16:33:57               	868.6              	21.4 	 	27           	3.0  	215	1335  	1.6
68                      	16:33:59               	867.7              	21.3 	 	27           	3.1  	214	1344  	1.5
70                      	16:34:01               	866.8              	21.3 	 	27           	3.3  	215	1353  	1.5
72                      	16:34:03               	866.0              	21.2 	 	27           	3.4  	216	1362  	1.4
74                      	16:34:05               	865.2              	21.2 	 	27           	3.5  	218	1370  	1.4
76                      	16:34:07               	864.4              	21.1 	 	27           	3.7  	219	1377  	1.3
78                      	16:34:09               	863.6              	21.0 	 	27           	3.6  	220	1385  	1.3
80                      	16:34:11               	862.8              	21.0 	 	27           	3.7  	222	1393  	1.3
82                      	16:34:13               	861.9              	20.9 	 	27           	3.7  	224	1402  	1.2
84                      	16:34:15               	861.1              	20.8 	 	27           	3.7  	225	1410  	1.2
86                      	16:34:17               	860.2              	20.7 	 	27           	3.7  	226	1419  	1.1
88                      	16:34:19               	859.3              	20.7 	 	27           	3.7  	227	1428  	1.1
90                      	16:34:21               	858.5              	20.6 	 	27           	3.8  	227	1437  	1.0
92                      	16:34:23               	857.5              	20.5 	 	27           	3.8  	226	1446  	0.9
94                      	16:34:25               	856.6              	20.4 	 	27           	3.8  	226	1455  	0.9
96                      	16:34:27               	855.7              	20.3 	 	27           	3.8  	225	1465  	0.8
98                      	16:34:29               	854.7              	20.3 	 	27           	3.8  	223	1474  	0.7
100                     	16:34:31               	853.8              	20.2 	 	27           	3.8  	221	1484  	0.7
102                     	16:34:33               	852.8              	20.2 	 	27           	3.8  	220	1494  	0.6
104                     	16:34:35               	851.8              	20.2 	 	27           	3.8  	218	1503  	0.6
106                     	16:34:37               	850.9              	20.1 	 	27           	3.8  	218	1513  	0.6
108                     	16:34:39               	849.9              	20.1 	 	27           	3.8  	217	1523  	0.5
110                     	16:34:41               	848.9              	20.0 	 	27           	3.9  	214	1533  	0.5
112                     	16:34:43               	847.9              	19.9 	 	27           	4.0  	212	1543  	0.4
114                     	16:34:45               	846.9              	19.8 	 	27           	4.0  	210	1553  	0.3
116                     	16:34:47               	845.9              	19.6 	 	27           	4.1  	209	1563  	0.2
118                     	16:34:49               	844.9              	19.5 	 	27           	4.2  	208	1573  	0.2
120                     	16:34:51               	843.8              	19.5 	 	27           	4.3  	207	1585  	0.2
122                     	16:34:53               	842.7              	19.4 	 	27           	4.4  	207	1596  	0.1
124                     	16:34:55               	841.7              	19.2 	 	27           	4.5  	208	1607  	0.1
126                     	16:34:57               	840.6              	19.1 	 	28           	4.5  	208	1618  	0.0
128                     	16:34:59               	839.5              	19.0 	 	28           	4.6  	209	1629  	0.0
130                     	16:35:01               	838.5              	18.9 	 	28           	4.7  	210	1639  	0.0
132                     	16:35:03               	837.4              	18.8 	 	28           	4.7  	211	1650  	0.0
134                     	16:35:05               	836.5              	18.7 	 	28           	4.7  	213	1661  	-0.1
136                     	16:35:07               	835.5              	18.6 	 	28           	4.8  	215	1670  	-0.1
138                     	16:35:09               	834.6              	18.5 	 	29           	4.9  	217	1679  	0.0
